"","age","period","D","Y"
"1",25,1955,3,1e+07
"2",25,1960,3,1e+07
"3",25,1965,1,1e+07
"4",25,1970,4,1e+07
"5",25,1975,12,1e+07
"6",30,1955,16,9411765
"7",30,1960,17,9444444
"8",30,1965,11,9166667
"9",30,1970,8,1e+07
"10",30,1975,8,8888889
"11",35,1955,24,7500000
"12",35,1960,29,9354839
"13",35,1965,33,9428572
"14",35,1970,39,9285715
"15",35,1975,30,9375000
"16",40,1955,79,7596154
"17",40,1960,76,7238096
"18",40,1965,82,9010989
"19",40,1970,95,9134616
"20",40,1975,115,9055118
"21",45,1955,234,8181819
"22",45,1960,185,7341270
"23",45,1965,183,7011495
"24",45,1970,267,8782895
"25",45,1975,285,9018987
"26",50,1955,458,6897591
"27",50,1960,552,7852063
"28",50,1965,450,6998445
"29",50,1970,431,6671827
"30",50,1975,723,8536009
"31",55,1955,720,5664831
"32",55,1960,867,6474981
"33",55,1965,1069,7326936
"34",55,1970,974,6653006
"35",55,1975,1004,6129427
"36",60,1955,890,4425659
"37",60,1960,1230,5129275
"38",60,1965,1550,5807419
"39",60,1970,1840,6678766
"40",60,1975,1811,6347704
"41",65,1955,891,3651640
"42",65,1960,1266,3817853
"43",65,1965,1829,4342356
"44",65,1970,2395,5013607
"45",65,1975,3028,6011515
"46",70,1955,920,2804023
"47",70,1960,1243,2937840
"48",70,1965,1584,2996028
"49",70,1970,2292,3472201
"50",70,1975,3176,4255091
"51",75,1955,831,1824769
"52",75,1960,937,1954527
"53",75,1965,1285,2070911
"54",75,1970,1787,2111046
"55",75,1975,2659,2551579
