"","age","per","sex","risk","dt","rt","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15"
"1",0,43,1,224654,12072,53.736,3.494,0.098,0.085,0.347,0.089,1.282,0.013,0.036,10.826,0.027,5.092,0.125,1.34,29.962,0.921
"2",0,43,2,212730,8688,40.841,2.994,0.061,0.056,0.259,0.127,1.011,0.009,0.033,8.739,0.038,3.685,0.132,1.02,21.976,0.7
"3",0,48,1,202692,7035,34.708,1.692,0.074,0.039,0.222,0.074,0.834,0.015,0.049,6.276,0.054,1.919,0.049,0.745,21.718,0.947
"4",0,48,2,192602,5001,25.965,1.516,0.078,0.067,0.119,0.036,0.597,0.021,0.026,4.875,0.042,1.231,0.062,0.633,15.919,0.742
"5",0,53,1,193164,5797,30.011,0.601,0.119,0.036,0.14,0.026,0.766,0.047,0.047,3.018,0.031,1.066,0.031,0.564,22.81,0.709
"6",0,53,2,182400,3991,21.88,0.45,0.088,0.044,0.088,0.016,0.488,0,0.055,2.489,0.033,0.691,0.027,0.378,16.541,0.493
"7",0,58,1,189052,4778,25.273,0.291,0.122,0.048,0.069,0.042,0.492,0.005,0.042,1.751,0.032,0.635,0.021,0.587,20.74,0.397
"8",0,58,2,180474,3421,18.956,0.233,0.089,0.044,0.061,0.006,0.382,0,0.039,1.402,0.022,0.521,0.033,0.277,15.454,0.393
"9",0,63,1,211414,4521,21.385,0.17,0.099,0.043,0.047,0.024,0.449,0.047,0.052,0.856,0.061,0.71,0.033,0.553,17.828,0.412
"10",0,63,2,201162,3026,15.043,0.159,0.129,0.065,0.065,0.005,0.313,0.025,0.099,0.621,0.055,0.507,0.025,0.298,12.313,0.363
"11",0,68,1,187977,3148,16.747,0.356,0.122,0.043,0.112,0.011,0.372,0.005,0.059,0.606,0.032,0.245,0.027,0.612,13.81,0.335
"12",0,68,2,177703,2096,11.795,0.321,0.079,0.034,0.09,0.011,0.203,0.017,0.09,0.445,0.023,0.174,0.011,0.355,9.679,0.264
"13",0,73,1,176624,2098,11.878,0.362,0.045,0.028,0.147,0.04,0.266,0.006,0.057,0.391,0.017,0.119,0.034,0.628,9.5,0.238
"14",0,73,2,168436,1430,8.49,0.255,0.071,0.012,0.03,0.018,0.243,0.018,0.042,0.208,0.024,0.042,0.006,0.511,6.816,0.196
"15",0,78,1,147534,1399,9.483,0.183,0.068,0.014,0.034,0.014,0.251,0.007,0.027,0.441,0.014,0.068,0.02,1.24,6.798,0.305
"16",0,78,2,140915,1001,7.104,0.185,0.057,0,0.064,0.035,0.248,0,0.028,0.334,0.007,0.043,0,0.944,4.982,0.177
"17",0,83,1,136309,1253,9.192,0.235,0.044,0.022,0.059,0.015,0.154,0.007,0.022,0.183,0,0.044,0,1.995,6.273,0.139
"18",0,83,2,129970,875,6.732,0.185,0.115,0.008,0.092,0.008,0.162,0.031,0.031,0.138,0,0.031,0.008,1.239,4.563,0.123
"19",0,88,1,108740,1075,9.886,0.175,0.074,0.018,0.129,0,0.175,0.018,0.009,0.092,0.009,0.046,0.009,2.382,6.64,0.11
"20",0,88,2,102814,794,7.723,0.224,0.049,0.039,0.136,0.019,0.233,0.019,0.019,0.165,0.01,0.029,0,1.634,4.99,0.156
"21",1,43,1,212257,948,4.466,1.145,0.122,0.042,0.075,0.014,0.391,0.005,0.118,1.173,0.009,0.377,0.033,0.104,0.052,0.806
"22",1,43,2,202125,795,3.933,1.316,0.059,0.025,0.054,0.045,0.366,0,0.114,0.955,0.01,0.282,0.04,0.114,0.064,0.49
"23",1,48,1,208730,611,2.927,0.527,0.134,0.038,0.024,0.014,0.273,0.01,0.081,0.623,0.005,0.24,0.014,0.062,0.139,0.743
"24",1,48,2,198867,468,2.353,0.453,0.121,0.035,0.04,0.01,0.272,0.005,0.075,0.603,0.01,0.176,0.015,0.055,0.091,0.392
"25",1,53,1,192263,395,2.054,0.135,0.109,0.031,0.026,0.005,0.239,0,0.01,0.484,0.01,0.094,0.016,0.031,0.25,0.614
"26",1,53,2,181757,316,1.739,0.11,0.077,0.028,0.05,0.006,0.231,0.022,0.022,0.341,0.017,0.072,0.006,0.044,0.358,0.358
"27",1,58,1,187930,273,1.453,0.048,0.096,0.005,0.059,0,0.17,0,0.011,0.303,0.005,0.064,0,0.027,0.303,0.362
