"","agr","per","sex","risk","dt","rt","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15"
"1",0,38,1,996019,14079,14.135,1.315,0.127,0.052,0.099,0.033,0.453,0.005,0.067,2.819,0.009,1.325,0.045,0.341,6.777,0.667
"2",5,38,1,802334,726,0.905,0.222,0.045,0.015,0.006,0.004,0.066,0.001,0.047,0.045,0.002,0.076,0.03,0.009,0.01,0.327
"3",10,38,1,753017,600,0.797,0.151,0.054,0.019,0.011,0.007,0.045,0.004,0.072,0.028,0.004,0.057,0.027,0.007,0.025,0.287
"4",15,38,1,773393,1167,1.509,0.304,0.07,0.021,0.012,0.008,0.076,0.004,0.078,0.047,0.001,0.098,0.027,0.021,0.036,0.707
"5",20,38,1,813882,2031,2.495,0.587,0.102,0.021,0.022,0.009,0.103,0.009,0.098,0.084,0.005,0.118,0.05,0.021,0.026,1.241
"6",25,38,1,789990,1862,2.357,0.586,0.123,0.038,0.019,0.015,0.081,0.009,0.078,0.073,0.013,0.12,0.051,0.016,0.028,1.106
"7",30,38,1,800394,1973,2.465,0.577,0.205,0.037,0.022,0.01,0.125,0.025,0.149,0.09,0.016,0.155,0.054,0.031,0.025,0.943
"8",35,38,1,769731,2192,2.848,0.534,0.309,0.064,0.044,0.014,0.131,0.027,0.269,0.099,0.022,0.251,0.09,0.03,0.027,0.937
"9",40,38,1,694051,2639,3.802,0.598,0.535,0.086,0.04,0.012,0.147,0.049,0.524,0.164,0.056,0.352,0.124,0.117,0.04,0.958
"10",45,38,1,622257,3480,5.593,0.619,0.99,0.159,0.084,0.031,0.225,0.09,1.088,0.331,0.095,0.427,0.193,0.183,0.061,1.017
"11",50,38,1,538966,4463,8.281,0.707,1.863,0.2,0.126,0.054,0.289,0.243,1.972,0.458,0.134,0.534,0.354,0.243,0.056,1.046
"12",55,38,1,471018,6029,12.8,0.856,3.047,0.265,0.272,0.036,0.41,0.499,3.66,0.737,0.251,0.667,0.569,0.359,0.085,1.089
"13",60,38,1,403174,8055,19.979,0.938,4.762,0.253,0.456,0.144,0.637,1.089,6.538,1.059,0.337,0.853,1.094,0.479,0.159,1.181
"14",65,38,1,328692,10674,32.474,0.98,7.502,0.295,0.818,0.237,1.013,2.136,11.439,1.798,0.566,1.174,2.312,0.639,0.225,1.339
"15",70,38,1,230092,12131,52.722,1.121,11.117,0.265,1.356,0.417,2.495,3.694,19.431,3.468,0.665,1.586,4.459,0.834,0.382,1.43
"16",75,38,1,140112,12165,86.823,1.085,14.717,0.578,1.442,0.507,7.33,5.995,32.845,6.602,1.006,2.355,8.436,1.113,0.578,2.234
"17",80,38,1,67780,9845,145.25,1.077,17.557,0.679,1.697,0.841,21.703,10.15,54.146,13.854,1.239,2.995,13.691,1.003,0.752,3.865
"18",85,38,1,24661,5681,230.36,1.46,17.599,0.608,0.77,0.73,52.836,12.652,82.276,25.141,1.338,5.028,19.869,1.744,1.054,7.258
"19",90,38,1,5955,2061,346.1,0.84,16.289,0.672,0.168,0.672,118.89,14.945,117.88,33.417,1.343,6.717,19.312,0.672,2.183,12.091
"20",0,43,1,996019,14079,14.135,1.315,0.127,0.052,0.099,0.033,0.453,0.005,0.067,2.819,0.009,1.325,0.045,0.341,6.777,0.667
"21",5,43,1,802334,726,0.905,0.222,0.045,0.015,0.006,0.004,0.066,0.001,0.047,0.045,0.002,0.076,0.03,0.009,0.01,0.327
"22",10,43,1,753017,600,0.797,0.151,0.054,0.019,0.011,0.007,0.045,0.004,0.072,0.028,0.004,0.057,0.027,0.007,0.025,0.287
"23",15,43,1,773393,1167,1.509,0.304,0.07,0.021,0.012,0.008,0.076,0.004,0.078,0.047,0.001,0.098,0.027,0.021,0.036,0.707
"24",20,43,1,813882,2031,2.495,0.587,0.102,0.021,0.022,0.009,0.103,0.009,0.098,0.084,0.005,0.118,0.05,0.021,0.026,1.241
"25",25,43,1,789990,1862,2.357,0.586,0.123,0.038,0.019,0.015,0.081,0.009,0.078,0.073,0.013,0.12,0.051,0.016,0.028,1.106
"26",30,43,1,800394,1973,2.465,0.577,0.205,0.037,0.022,0.01,0.125,0.025,0.149,0.09,0.016,0.155,0.054,0.031,0.025,0.943
"27",35,43,1,769731,2192,2.848,0.534,0.309,0.064,0.044,0.014,0.131,0.027,0.269,0.099,0.022,0.251,0.09,0.03,0.027,0.937
"28",40,43,1,694051,2639,3.802,0.598,0.535,0.086,0.04,0.012,0.147,0.049,0.524,0.164,0.056,0.352,0.124,0.117,0.04,0.958
"29",45,43,1,622257,3480,5.593,0.619,0.99,0.159,0.084,0.031,0.225,0.09,1.088,0.331,0.095,0.427,0.193,0.183,0.061,1.017
"30",50,43,1,538966,4463,8.281,0.707,1.863,0.2,0.126,0.054,0.289,0.243,1.972,0.458,0.134,0.534,0.354,0.243,0.056,1.046
"31",55,43,1,471018,6029,12.8,0.856,3.047,0.265,0.272,0.036,0.41,0.499,3.66,0.737,0.251,0.667,0.569,0.359,0.085,1.089
"32",60,43,1,403174,8055,19.979,0.938,4.762,0.253,0.456,0.144,0.637,1.089,6.538,1.059,0.337,0.853,1.094,0.479,0.159,1.181
