"","A5","P5","C5","up","Ax","Px","Cx","D","Y"
"1",40,1943,1898,1,43.3333333333333,1944.66666666667,1901.33333333333,52,336233.833333333
"2",40,1943,1903,0,41.6666666666667,1946.33333333333,1904.66666666667,28,357812.666666667
"3",40,1948,1903,1,43.3333333333333,1949.66666666667,1906.33333333333,51,363783.666666667
"4",40,1948,1908,0,41.6666666666667,1951.33333333333,1909.66666666667,30,390985.833333333
"5",40,1953,1908,1,43.3333333333333,1954.66666666667,1911.33333333333,50,391925.333333333
"6",40,1953,1913,0,41.6666666666667,1956.33333333333,1914.66666666667,23,377515.333333333
"7",40,1958,1913,1,43.3333333333333,1959.66666666667,1916.33333333333,56,365575.5
"8",40,1958,1918,0,41.6666666666667,1961.33333333333,1919.66666666667,43,383689
"9",40,1963,1918,1,43.3333333333333,1964.66666666667,1921.33333333333,44,385878.5
"10",40,1963,1923,0,41.6666666666667,1966.33333333333,1924.66666666667,38,371361.5
"11",40,1968,1923,1,43.3333333333333,1969.66666666667,1926.33333333333,54,359837.333333333
"12",40,1968,1928,0,41.6666666666667,1971.33333333333,1929.66666666667,43,349721.166666667
"13",40,1973,1928,1,43.3333333333333,1974.66666666667,1931.33333333333,56,343597.666666667
"14",40,1973,1933,0,41.6666666666667,1976.33333333333,1934.66666666667,30,351612.5
"15",40,1978,1933,1,43.3333333333333,1979.66666666667,1936.33333333333,62,361389.333333333
"16",40,1978,1938,0,41.6666666666667,1981.33333333333,1939.66666666667,28,394873.666666667
"17",40,1983,1938,1,43.3333333333333,1984.66666666667,1941.33333333333,56,419781
"18",40,1983,1943,0,41.6666666666667,1986.33333333333,1944.66666666667,60,521621
"19",40,1988,1943,1,43.3333333333333,1989.66666666667,1946.33333333333,95,542641.166666667
"20",40,1988,1948,0,41.6666666666667,1991.33333333333,1949.66666666667,54,483820.166666667
"21",40,1993,1948,1,43.3333333333333,1994.66666666667,1951.33333333333,64,450011
"22",40,1993,1953,0,41.6666666666667,1996.33333333333,1954.66666666667,27,302939.166666667
"23",45,1943,1893,1,48.3333333333333,1944.66666666667,1896.33333333333,70,301376.5
"24",45,1943,1898,0,46.6666666666667,1946.33333333333,1899.66666666667,65,320880.166666667
