"","year","month","m","f"
"1",1901,1,2948,2786
"5",1901,2,2851,2695
"6",1901,3,3476,3284
"7",1901,4,3326,3143
"8",1901,5,3324,3141
"9",1901,6,3151,2978
"10",1901,7,3152,2979
"11",1901,8,3224,3046
"12",1901,9,3185,3010
"2",1901,10,3047,2879
"3",1901,11,2944,2782
"4",1901,12,3017,2851
"13",1902,1,3092,2922
"17",1902,2,2943,2781
"18",1902,3,3322,3140
"19",1902,4,3187,3012
"20",1902,5,3201,3024
"21",1902,6,3032,2865
"22",1902,7,3092,2921
"23",1902,8,3193,3017
"24",1902,9,3078,2909
"14",1902,10,3085,2915
"15",1902,11,3039,2872
"16",1902,12,3032,2865
"25",1903,1,3175,3000
"29",1903,2,2959,2796
"30",1903,3,3360,3176
"31",1903,4,3293,3112
"32",1903,5,3400,3212
"33",1903,6,3077,2907
"34",1903,7,3014,2848
"35",1903,8,3116,2944
"36",1903,9,3095,2925
"26",1903,10,3021,2855
"27",1903,11,2760,2608
"28",1903,12,2928,2767
"37",1904,1,3141,2969
"41",1904,2,3164,2990
"42",1904,3,3487,3295
"43",1904,4,3242,3063
"44",1904,5,3256,3076
"45",1904,6,3113,2942
"46",1904,7,3111,2939
"47",1904,8,3278,3097
"48",1904,9,3121,2949
"38",1904,10,3038,2870
"39",1904,11,2884,2726
"40",1904,12,3057,2888
"49",1905,1,3213,3037
"53",1905,2,3020,2853
"54",1905,3,3393,3206
"55",1905,4,3399,3211
"56",1905,5,3313,3130
"57",1905,6,3084,2915
"58",1905,7,3058,2889
"59",1905,8,3183,3007
"60",1905,9,3142,2970
"50",1905,10,3040,2872
"51",1905,11,2812,2657
"52",1905,12,2919,2759
"61",1906,1,3098,2927
"65",1906,2,3020,2854
"66",1906,3,3438,3249
"67",1906,4,3284,3104
"68",1906,5,3268,3088
"69",1906,6,3116,2944
"70",1906,7,3156,2983
"71",1906,8,3276,3095
"72",1906,9,3262,3082
"62",1906,10,3132,2960
"63",1906,11,3020,2854
"64",1906,12,3087,2917
"73",1907,1,3185,3010
"77",1907,2,3018,2852
"78",1907,3,3492,3299
"79",1907,4,3273,3092
"80",1907,5,3323,3140
"81",1907,6,3143,2970
"82",1907,7,3196,3021
"83",1907,8,3212,3036
"84",1907,9,3269,3090
"74",1907,10,3133,2961
"75",1907,11,2980,2816
"76",1907,12,2973,2810
"85",1908,1,3230,3052
"89",1908,2,3210,3033
"90",1908,3,3476,3284
"91",1908,4,3526,3332
"92",1908,5,3492,3299
"93",1908,6,3361,3176
"94",1908,7,3237,3059
"95",1908,8,3313,3130
"96",1908,9,3072,2902
"86",1908,10,3388,3201
"87",1908,11,2895,2736
"88",1908,12,3048,2881
"97",1909,1,3210,3033
"101",1909,2,3120,2949
"102",1909,3,3679,3477
"103",1909,4,3388,3201
"104",1909,5,3394,3208
"105",1909,6,3173,2999
"106",1909,7,3221,3044
"107",1909,8,3338,3155
"108",1909,9,3285,3105
"98",1909,10,3240,3061
"99",1909,11,3044,2877
"100",1909,12,3136,2964
"109",1910,1,3303,3121
"113",1910,2,3024,2857
"114",1910,3,3525,3331
"115",1910,4,3392,3205
"116",1910,5,3383,3196
"117",1910,6,3141,2968
"118",1910,7,3225,3048
"119",1910,8,3245,3066
"120",1910,9,3197,3022
"110",1910,10,3102,2931
"111",1910,11,2981,2816
"112",1910,12,3172,2998
"121",1911,1,3193,3017
"125",1911,2,3082,2913
"126",1911,3,3407,3220
"127",1911,4,3245,3066
"128",1911,5,3306,3125
"129",1911,6,3069,2901
"130",1911,7,3194,3018
"131",1911,8,3181,3005
"132",1911,9,3171,2997
"122",1911,10,3112,2941
"123",1911,11,2972,2809
"124",1911,12,3079,2910
"133",1912,1,3294,3112
"137",1912,2,3123,2951
"138",1912,3,3440,3251
"139",1912,4,3348,3163
"140",1912,5,3251,3073
"141",1912,6,3093,2922
"142",1912,7,3235,3056
"143",1912,8,3163,2988
"144",1912,9,3175,3000
"134",1912,10,3154,2981
"135",1912,11,2986,2821
"136",1912,12,3126,2953
"145",1913,1,3144,2970
"149",1913,2,3004,2839
"150",1913,3,3345,3161
"151",1913,4,3353,3168
"152",1913,5,3260,3080
"153",1913,6,3050,2883
"154",1913,7,3047,2880
"155",1913,8,3190,3015
"156",1913,9,3011,2846
"146",1913,10,2916,2755
"147",1913,11,2811,2656
"148",1913,12,3096,2925
"157",1914,1,3099,2928
"161",1914,2,3044,2877
"162",1914,3,3454,3263
"163",1914,4,3312,3129
"164",1914,5,3310,3127
"165",1914,6,3024,2857
"166",1914,7,3146,2973
"167",1914,8,3104,2933
"168",1914,9,3060,2891
"158",1914,10,3059,2891
"159",1914,11,2890,2731
"160",1914,12,3029,2863
"169",1915,1,3238,3060
"173",1915,2,3053,2884
"174",1915,3,3453,3262
"175",1915,4,3103,2933
"176",1915,5,2960,2797
"177",1915,6,2968,2805
"178",1915,7,2879,2720
"179",1915,8,3001,2835
"180",1915,9,2916,2755
"170",1915,10,2900,2740
"171",1915,11,2686,2539
"172",1915,12,2928,2767
"181",1916,1,3001,2836
"185",1916,2,3064,2895
"186",1916,3,3387,3201
"187",1916,4,3363,3178
"188",1916,5,3267,3088
"189",1916,6,3019,2853
"190",1916,7,3031,2865
"191",1916,8,3013,2847
"192",1916,9,3020,2854
"182",1916,10,2883,2725
"183",1916,11,2826,2670
"184",1916,12,2917,2756
"193",1917,1,3028,2862
"197",1917,2,2819,2663
"198",1917,3,3341,3157
"199",1917,4,3304,3122
"200",1917,5,3228,3051
"201",1917,6,2938,2777
"202",1917,7,3004,2838
"203",1917,8,3007,2842
"204",1917,9,3012,2846
"194",1917,10,2949,2786
"195",1917,11,2721,2571
"196",1917,12,2802,2647
"205",1918,1,3040,2872
"209",1918,2,2998,2833
"210",1918,3,3423,3234
"211",1918,4,3326,3142
"212",1918,5,3201,3024
"213",1918,6,2982,2818
"214",1918,7,3099,2928
"215",1918,8,3096,2926
"216",1918,9,3141,2968
"206",1918,10,3095,2925
"207",1918,11,2865,2707
"208",1918,12,3014,2848
"217",1919,1,2945,2782
"221",1919,2,2788,2635
"222",1919,3,3076,2907
"223",1919,4,2927,2765
"224",1919,5,2916,2756
"225",1919,6,2723,2573
"226",1919,7,2738,2588
"227",1919,8,2743,2592
"228",1919,9,2826,2670
"218",1919,10,3015,2849
"219",1919,11,3264,3085
"220",1919,12,3372,3187
"229",1920,1,3626,3427
"233",1920,2,3668,3467
"234",1920,3,3913,3697
"235",1920,4,3645,3444
"236",1920,5,3627,3428
"237",1920,6,3240,3062
"238",1920,7,3216,3039
"239",1920,8,3213,3037
"240",1920,9,3172,2998
"230",1920,10,3048,2880
"231",1920,11,2807,2653
"232",1920,12,3045,2878
"241",1921,1,3396,3210
"245",1921,2,3306,3125
"246",1921,3,3767,3560
"247",1921,4,3610,3412
"248",1921,5,3649,3449
"249",1921,6,3266,3086
"250",1921,7,3352,3168
"251",1921,8,3299,3117
"252",1921,9,3258,3078
"242",1921,10,3152,2979
"243",1921,11,3146,2972
"244",1921,12,3320,3138
"253",1922,1,3412,3225
"257",1922,2,3296,3115
"258",1922,3,3483,3291
"259",1922,4,3420,3232
"260",1922,5,3382,3196
"261",1922,6,3159,2986
"262",1922,7,3178,3003
"263",1922,8,3206,3030
"264",1922,9,3017,2851
"254",1922,10,2760,2609
"255",1922,11,2711,2562
"256",1922,12,2969,2806
"265",1923,1,3273,3092
"269",1923,2,3155,2982
"270",1923,3,3628,3428
"271",1923,4,3431,3243
"272",1923,5,3428,3240
"273",1923,6,3192,3016
"274",1923,7,3258,3078
"275",1923,8,3150,2977
"276",1923,9,3146,2972
"266",1923,10,2979,2815
"267",1923,11,2888,2730
"268",1923,12,2944,2782
"277",1924,1,3068,2899
"281",1924,2,3060,2892
"282",1924,3,3537,3343
"283",1924,4,3376,3191
"284",1924,5,3419,3231
"285",1924,6,3210,3034
"286",1924,7,3116,2944
"287",1924,8,3155,2981
"288",1924,9,3109,2937
"278",1924,10,3060,2892
"279",1924,11,2872,2714
"280",1924,12,2965,2801
"289",1925,1,3012,2846
"293",1925,2,2992,2827
"294",1925,3,3415,3228
"295",1925,4,3293,3112
"296",1925,5,3453,3262
"297",1925,6,3061,2893
"298",1925,7,3130,2958
"299",1925,8,3040,2873
"300",1925,9,2940,2778
"290",1925,10,2879,2721
"291",1925,11,2791,2638
"292",1925,12,2959,2796
"301",1926,1,3145,2972
"305",1926,2,2984,2820
"306",1926,3,3321,3139
"307",1926,4,3197,3022
"308",1926,5,3205,3028
"309",1926,6,3042,2875
"310",1926,7,2987,2822
"311",1926,8,3093,2922
"312",1926,9,2936,2775
"302",1926,10,2818,2662
"303",1926,11,2742,2592
"304",1926,12,2897,2738
"313",1927,1,3079,2910
"317",1927,2,2865,2708
"318",1927,3,3253,3073
"319",1927,4,3096,2926
"320",1927,5,3152,2978
"321",1927,6,3003,2837
"322",1927,7,2980,2816
"323",1927,8,2926,2764
"324",1927,9,2828,2673
"314",1927,10,2483,2346
"315",1927,11,2528,2388
"316",1927,12,2783,2629
"325",1928,1,2982,2818
"329",1928,2,2843,2687
"330",1928,3,3283,3102
"331",1928,4,3178,3004
"332",1928,5,3115,2943
"333",1928,6,2885,2727
"334",1928,7,2884,2726
"335",1928,8,2938,2776
"336",1928,9,2792,2638
"326",1928,10,2813,2659
"327",1928,11,2731,2580
"328",1928,12,2783,2629
"337",1929,1,2906,2747
"341",1929,2,2840,2684
"342",1929,3,3071,2902
"343",1929,4,3011,2846
"344",1929,5,2987,2823
"345",1929,6,2861,2703
"346",1929,7,2813,2658
"347",1929,8,2775,2622
"348",1929,9,2764,2611
"338",1929,10,2527,2387
"339",1929,11,2401,2269
"340",1929,12,2617,2472
"349",1930,1,2679,2532
"353",1930,2,2757,2605
"354",1930,3,3137,2965
"355",1930,4,3087,2917
"356",1930,5,3087,2918
"357",1930,6,2880,2722
"358",1930,7,2806,2652
"359",1930,8,2906,2747
"360",1930,9,2655,2508
"350",1930,10,2714,2565
"351",1930,11,2695,2547
"352",1930,12,2680,2533
"361",1931,1,2816,2661
"365",1931,2,2691,2542
"366",1931,3,3173,2998
"367",1931,4,2917,2757
"368",1931,5,2989,2825
"369",1931,6,2654,2507
"370",1931,7,2800,2646
"371",1931,8,2827,2672
"372",1931,9,2673,2525
"362",1931,10,2568,2427
"363",1931,11,2411,2278
"364",1931,12,2524,2385
"373",1932,1,2700,2552
"377",1932,2,2839,2682
"378",1932,3,3172,2998
"379",1932,4,2936,2774
"380",1932,5,2963,2800
"381",1932,6,2786,2633
"382",1932,7,2814,2660
"383",1932,8,2747,2596
"384",1932,9,2758,2606
"374",1932,10,2599,2455
"375",1932,11,2385,2254
"376",1932,12,2538,2399
"385",1933,1,2656,2510
"389",1933,2,2602,2458
"390",1933,3,3030,2863
"391",1933,4,2856,2698
"392",1933,5,2840,2684
"393",1933,6,2586,2443
"394",1933,7,2716,2566
"395",1933,8,2695,2546
"396",1933,9,2711,2562
"386",1933,10,2591,2448
"387",1933,11,2417,2283
"388",1933,12,2555,2414
"397",1934,1,2817,2661
"401",1934,2,2718,2569
"402",1934,3,3144,2970
"403",1934,4,2891,2732
"404",1934,5,2940,2778
"405",1934,6,2825,2669
"406",1934,7,2750,2598
"407",1934,8,2769,2616
"408",1934,9,2667,2521
"398",1934,10,2633,2488
"399",1934,11,2620,2476
"400",1934,12,2706,2558
"409",1935,1,2829,2674
"413",1935,2,2813,2659
"414",1935,3,3183,3008
"415",1935,4,3026,2859
"416",1935,5,2942,2781
"417",1935,6,2790,2637
"418",1935,7,2799,2644
"419",1935,8,2820,2665
"420",1935,9,2671,2524
"410",1935,10,2644,2499
"411",1935,11,2487,2350
"412",1935,12,2529,2390
"421",1936,1,2680,2533
"425",1936,2,2814,2660
"426",1936,3,3207,3030
"427",1936,4,3019,2853
"428",1936,5,3157,2983
"429",1936,6,2858,2701
"430",1936,7,2823,2668
"431",1936,8,2868,2711
"432",1936,9,2834,2678
"422",1936,10,2662,2516
"423",1936,11,2600,2457
"424",1936,12,2628,2483
"433",1937,1,2750,2599
"437",1937,2,2714,2565
"438",1937,3,3191,3015
"439",1937,4,3204,3027
"440",1937,5,3218,3040
"441",1937,6,2906,2746
"442",1937,7,3012,2846
"443",1937,8,2847,2690
"444",1937,9,2666,2519
"434",1937,10,2619,2475
"435",1937,11,2667,2520
"436",1937,12,2881,2723
"445",1938,1,2921,2760
"449",1938,2,2873,2715
"450",1938,3,3303,3122
"451",1938,4,3133,2961
"452",1938,5,3198,3022
"453",1938,6,2886,2727
"454",1938,7,2902,2742
"455",1938,8,2929,2767
"456",1938,9,2865,2708
"446",1938,10,2704,2556
"447",1938,11,2676,2528
"448",1938,12,2808,2653
"457",1939,1,2856,2698
"461",1939,2,2679,2531
"462",1939,3,3228,3051
"463",1939,4,3176,3001
"464",1939,5,3164,2989
"465",1939,6,2915,2754
"466",1939,7,2963,2799
"467",1939,8,2839,2682
"468",1939,9,2860,2703
"458",1939,10,2799,2645
"459",1939,11,2656,2509
"460",1939,12,2785,2632
"469",1940,1,3006,2841
"473",1940,2,3133,2960
"474",1940,3,3371,3185
"475",1940,4,3234,3056
"476",1940,5,3163,2988
"477",1940,6,2859,2701
"478",1940,7,3004,2838
"479",1940,8,3032,2866
"480",1940,9,2952,2789
"470",1940,10,2873,2714
"471",1940,11,2767,2614
"472",1940,12,2661,2514
"481",1941,1,2735,2585
"485",1941,2,2880,2722
"486",1941,3,3352,3168
"487",1941,4,3257,3077
"488",1941,5,3324,3141
"489",1941,6,3038,2871
"490",1941,7,3170,2996
"491",1941,8,3138,2965
"492",1941,9,3086,2917
"482",1941,10,3004,2838
"483",1941,11,2841,2684
"484",1941,12,2837,2680
"493",1942,1,3026,2860
"497",1942,2,3140,2968
"498",1942,3,3671,3468
"499",1942,4,3577,3381
"500",1942,5,3718,3514
"501",1942,6,3459,3268
"502",1942,7,3460,3270
"503",1942,8,3628,3428
"504",1942,9,3519,3325
"494",1942,10,3309,3126
"495",1942,11,3150,2976
"496",1942,12,3262,3082
"505",1943,1,3380,3193
"509",1943,2,3298,3116
"510",1943,3,3874,3661
"511",1943,4,3897,3683
"512",1943,5,3912,3697
"513",1943,6,3463,3273
"514",1943,7,3732,3526
"515",1943,8,3686,3483
"516",1943,9,3625,3425
"506",1943,10,3512,3318
