"","strata","income","books","sportDays"
"1","M_area1",27985,10,98
"2","M_area1",7398,21,28
"3","M_area1",44608,20,121
"4","M_area1",13107,9,0
"5","M_area1",30573,25,0
"6","M_area1",17547,16,100
"7","M_area1",25941,6,0
"8","M_area1",25256,15,0
"9","M_area1",39031,6,0
"10","M_area1",27757,2,0
"11","M_area1",46479,0,119
"12","M_area1",43727,13,8
"13","M_area1",33632,14,0
"14","M_area1",14009,24,0
"15","M_area1",22542,5,0
"16","M_area1",42026,21,101
"17","M_area1",5165,4,0
"18","M_area1",7173,16,0
"19","M_area1",29587,2,72
"20","M_area1",10313,12,0
"21","M_area1",28186,9,0
"22","M_area1",41597,3,0
"23","M_area1",27147,8,0
"24","M_area1",18227,12,0
"25","M_area1",31456,20,49
"26","M_area1",5475,2,0
"27","M_area1",47409,9,39
"28","M_area1",32433,7,57
"29","M_area1",34892,7,17
"30","M_area1",36750,10,0
"31","M_area1",5322,18,23
"32","M_area1",41900,17,10
"33","M_area1",49141,23,6
"34","M_area1",13980,16,117
"35","M_area1",7576,5,0
"36","M_area1",45790,11,0
"37","M_area1",48957,1,0
"38","M_area1",8438,19,0
"39","M_area1",19890,25,16
"40","M_area1",18444,19,74
"41","M_area1",41374,23,0
"42","M_area1",25305,5,0
"43","M_area1",43043,14,0
"44","M_area1",22220,3,0
"45","M_area1",37205,2,131
"46","M_area1",33680,8,71
"47","M_area1",44872,20,26
"48","M_area1",15310,4,53
"49","M_area1",14154,5,7
"50","M_area1",23193,9,0
"51","M_area1",10874,3,0
"52","M_area1",21490,8,102
"53","M_area1",16706,9,0
"54","M_area1",38366,7,0
"55","M_area1",34149,20,0
"56","M_area1",25474,20,98
"57","M_area1",40960,13,126
"58","M_area1",21115,19,18
"59","M_area1",35732,0,123
"60","M_area1",18992,22,95
"61","M_area1",13029,25,92
"62","M_area1",47649,3,0
"63","M_area1",43950,3,0
"64","M_area1",49528,19,0
"65","M_area1",19281,23,0
"66","M_area1",24859,8,0
"67","M_area1",11171,2,0
"68","M_area1",15818,3,0
"69","M_area1",45578,20,0
"70","M_area1",9702,11,0
"71","M_area1",10443,15,64
"72","M_area1",38943,3,74
"73","M_area1",32261,21,51
"74","M_area1",6009,13,30
"75","M_area1",45089,24,0
"76","M_area1",10558,15,0
"77","M_area1",39210,17,0
"78","M_area1",34150,15,0
"79","M_area1",49459,18,0
"80","M_area1",13105,15,0
"81","M_area1",45704,3,44
"82","M_area1",10977,5,0
"83","M_area1",12313,8,0
"84","M_area1",38490,3,11
"85","M_area1",26163,20,0
"86","M_area1",41617,9,17
"87","M_area1",33725,21,48
"88","M_area1",48291,21,0
"89","M_area1",16775,21,0
"90","M_area1",29244,4,0
"91","M_area1",16887,8,0
"92","M_area1",17061,14,76
"93","M_area1",13234,18,54
"94","M_area1",36216,17,72
"95","M_area1",41224,23,0
"96","M_area1",21416,3,58
"97","M_area1",31198,3,0
"98","M_area1",23582,2,0
"99","M_area1",16482,10,0
"100","M_area1",40898,18,0
"101","M_area1",35352,16,11
"102","M_area1",22914,3,75
"103","M_area1",15156,20,133
"104","M_area1",6750,10,95
"105","M_area1",5169,17,10
"106","M_area1",32323,20,38
"107","M_area1",46059,6,59
"108","M_area1",10727,19,24
"109","M_area1",21798,11,2
"110","M_area1",29460,17,105
"111","M_area1",40639,8,102
"112","M_area1",27313,12,23
"113","M_area1",44666,7,30
"114","M_area1",39345,9,5
"115","M_area1",15001,19,2
"116","M_area1",19215,1,31
"117","M_area1",11444,24,116
"118","M_area1",47146,5,36
"119","M_area1",46023,21,44
"120","M_area1",39226,21,90
"121","M_area1",45669,15,51
"122","M_area1",47085,11,9
"123","M_area1",43817,8,95
"124","M_area1",42399,16,7
"125","F_area1",25100,13,7
"126","F_area1",9303,24,47
"127","F_area1",13956,15,22
"128","F_area1",5985,6,15
"129","F_area1",30930,20,76
"130","F_area1",15073,23,86
"131","F_area1",45533,17,68
"132","F_area1",49660,11,47
"133","F_area1",27064,5,132
"134","F_area1",24541,25,61
"135","F_area1",5266,9,4
"136","F_area1",33339,25,27
"137","F_area1",22242,16,26
"138","F_area1",36202,20,108
"139","F_area1",49804,9,49
"140","F_area1",49201,17,40
"141","F_area1",20061,6,106
"142","F_area1",20071,22,90
"143","F_area1",12186,19,94
"144","F_area1",20220,19,26
"145","F_area1",41878,6,37
"146","F_area1",19140,20,63
"147","F_area1",24131,12,99
"148","F_area1",5067,9,68
"149","F_area1",12806,24,87
"150","F_area1",27661,7,1
"151","F_area1",35202,12,71
"152","F_area1",25365,10,37
"153","F_area1",26761,10,115
"154","F_area1",38046,15,15
"155","F_area1",21975,5,109
"156","F_area1",9216,12,69
"157","F_area1",37003,8,41
"158","F_area1",12782,12,35
"159","F_area1",9728,1,79
"160","F_area1",41661,4,87
"161","F_area1",40645,14,65
"162","F_area1",5438,9,93
"163","F_area1",44037,4,45
"164","F_area1",33308,0,46
"165","F_area1",11764,17,82
"166","F_area1",46297,5,23
"167","F_area1",21119,5,40
"168","F_area1",14395,15,98
"169","F_area1",12004,23,18
"170","F_area1",49661,21,93
"171","F_area1",26065,12,115
"172","F_area1",43239,14,27
"173","F_area1",15754,13,86
"174","F_area1",31927,24,24
"175","F_area1",14115,16,25
"176","F_area1",22607,10,75
"177","F_area1",39367,16,81
"178","F_area1",18718,11,69
"179","F_area1",43288,22,61
"180","F_area1",28835,10,105
"181","F_area1",15575,12,73
"182","F_area1",24828,6,49
"183","F_area1",18832,9,37
"184","F_area1",48326,11,27
"185","F_area1",42488,9,98
"186","F_area1",6939,12,115
"187","F_area1",21742,10,16
"188","F_area1",41085,19,32
"189","F_area1",22241,4,135
"190","F_area1",24179,14,61
"191","F_area1",40178,8,12
"192","F_area1",21410,21,61
"193","F_area1",31726,21,50
"194","F_area1",45720,18,61
"195","F_area1",35189,14,111
"196","F_area1",44062,7,50
"197","F_area1",44826,10,45
"198","F_area1",40584,10,89
"199","F_area1",14569,7,133
"200","F_area1",48270,15,112
"201","F_area1",33795,14,28
"202","F_area1",10395,6,33
"203","F_area1",5902,16,67
"204","F_area1",30310,21,114
"205","F_area1",33073,11,64
"206","F_area1",28085,2,62
"207","F_area1",22472,8,36
"208","F_area1",21520,2,131
"209","F_area1",11603,9,89
"210","F_area1",45409,24,159
"211","F_area1",14214,10,27
"212","F_area1",35838,5,92
"213","F_area1",17508,8,138
"214","F_area1",48243,8,2
