"","I1","I2","B2","D","S","B1","Freq"
"1",1,1,1,1,1,1,6
"2",2,1,1,1,1,1,9
"3",1,2,1,1,1,1,30
"4",2,2,1,1,1,1,2
"5",1,1,2,1,1,1,1
"6",2,1,2,1,1,1,0
"7",1,2,2,1,1,1,4
"8",2,2,2,1,1,1,1
"9",1,1,1,2,1,1,6
"10",2,1,1,2,1,1,2
"11",1,2,1,2,1,1,47
"12",2,2,1,2,1,1,1
"13",1,1,2,2,1,1,1
"14",2,1,2,2,1,1,1
"15",1,2,2,2,1,1,6
"16",2,2,2,2,1,1,0
"17",1,1,1,1,2,1,3
"18",2,1,1,1,2,1,6
"19",1,2,1,1,2,1,6
"20",2,2,1,1,2,1,0
"21",1,1,2,1,2,1,1
"22",2,1,2,1,2,1,1
"23",1,2,2,1,2,1,2
"24",2,2,2,1,2,1,0
"25",1,1,1,2,2,1,1
"26",2,1,1,2,2,1,0
"27",1,2,1,2,2,1,17
"28",2,2,1,2,2,1,0
"29",1,1,2,2,2,1,0
"30",2,1,2,2,2,1,1
"31",1,2,2,2,2,1,1
"32",2,2,2,2,2,1,3
"33",1,1,1,1,1,2,9
"34",2,1,1,1,1,2,5
"35",1,2,1,1,1,2,20
"36",2,2,1,1,1,2,2
"37",1,1,2,1,1,2,59
"38",2,1,2,1,1,2,118
"39",1,2,2,1,1,2,299
"40",2,2,2,1,1,2,11
"41",1,1,1,2,1,2,7
"42",2,1,1,2,1,2,4
"43",1,2,1,2,1,2,62
"44",2,2,1,2,1,2,1
"45",1,1,2,2,1,2,45
"46",2,1,2,2,1,2,32
"47",1,2,2,2,1,2,407
"48",2,2,2,2,1,2,5
"49",1,1,1,1,2,2,4
"50",2,1,1,1,2,2,1
"51",1,2,1,1,2,2,7
"52",2,2,1,1,2,2,1
"53",1,1,2,1,2,2,53
"54",2,1,2,1,2,2,79
"55",1,2,2,1,2,2,102
"56",2,2,2,1,2,2,5
"57",1,1,1,2,2,2,5
"58",2,1,1,2,2,2,0
"59",1,2,1,2,2,2,18
"60",2,2,1,2,2,2,0
"61",1,1,2,2,2,2,37
"62",2,1,2,2,2,2,29
"63",1,2,2,2,2,2,206
"64",2,2,2,2,2,2,4
"65",1,NA,NA,1,1,1,17476
"66",2,NA,NA,1,1,1,6746
"67",1,NA,NA,2,1,1,22536
"68",2,NA,NA,2,1,1,1687
"69",1,NA,NA,1,2,1,6964
"70",2,NA,NA,1,2,1,3707
"71",1,NA,NA,2,2,1,11199
"72",2,NA,NA,2,2,1,1422
"73",1,NA,NA,1,1,2,2155
"74",2,NA,NA,1,1,2,583
"75",1,NA,NA,2,1,2,3006
"76",2,NA,NA,2,1,2,199
"77",1,NA,NA,1,2,2,728
"78",2,NA,NA,1,2,2,297
"79",1,NA,NA,2,2,2,1262
"80",2,NA,NA,2,2,2,117
