"","M","P","D","G","A","S","Freq"
"1",1,1,1,1,1,1,0
"2",1,1,1,2,1,1,2
"3",1,1,1,1,2,1,5
"4",1,1,1,2,2,1,3
"5",1,1,1,1,1,2,0
"6",1,1,1,2,1,2,0
"7",1,1,1,1,2,2,2
"8",1,1,1,2,2,2,1
"9",1,1,2,1,1,1,1
"10",1,1,2,2,1,1,0
"11",1,1,2,1,2,1,0
"12",1,1,2,2,2,1,0
"13",1,1,2,1,1,2,0
"14",1,1,2,2,1,2,0
"15",1,1,2,1,2,2,0
"16",1,1,2,2,2,2,1
"17",1,2,1,1,1,1,0
"18",1,2,1,2,1,1,0
"19",1,2,1,1,2,1,2
"20",1,2,1,2,2,1,2
"21",1,2,1,1,1,2,1
"22",1,2,1,2,1,2,1
"23",1,2,1,1,2,2,1
"24",1,2,1,2,2,2,0
"25",1,2,2,1,1,1,0
"26",1,2,2,2,1,1,2
"27",1,2,2,1,2,1,2
"28",1,2,2,2,2,1,0
"29",1,2,2,1,1,2,0
"30",1,2,2,2,1,2,0
"31",1,2,2,1,2,2,0
"32",1,2,2,2,2,2,0
"33",2,1,1,1,1,1,0
"34",2,1,1,2,1,1,0
"35",2,1,1,1,2,1,3
"36",2,1,1,2,2,1,1
"37",2,1,1,1,1,2,0
"38",2,1,1,2,1,2,0
"39",2,1,1,1,2,2,1
"40",2,1,1,2,2,2,2
"41",2,1,2,1,1,1,3
"42",2,1,2,2,1,1,1
"43",2,1,2,1,2,1,1
"44",2,1,2,2,2,1,2
"45",2,1,2,1,1,2,0
"46",2,1,2,2,1,2,1
"47",2,1,2,1,2,2,1
"48",2,1,2,2,2,2,0
"49",2,2,1,1,1,1,1
"50",2,2,1,2,1,1,1
"51",2,2,1,1,2,1,4
"52",2,2,1,2,2,1,6
"53",2,2,1,1,1,2,2
"54",2,2,1,2,1,2,0
"55",2,2,1,1,2,2,0
"56",2,2,1,2,2,2,2
"57",2,2,2,1,1,1,5
"58",2,2,2,2,1,1,10
"59",2,2,2,1,2,1,6
"60",2,2,2,2,2,1,8
"61",2,2,2,1,1,2,3
"62",2,2,2,2,1,2,5
"63",2,2,2,1,2,2,2
"64",2,2,2,2,2,2,4
"65",1,NA,1,1,1,1,0
"66",1,NA,1,2,1,1,0
"67",1,NA,1,1,2,1,0
"68",1,NA,1,2,2,1,0
"69",1,NA,1,1,1,2,0
"70",1,NA,1,2,1,2,0
"71",1,NA,1,1,2,2,0
"72",1,NA,1,2,2,2,0
"73",1,NA,2,1,1,1,0
"74",1,NA,2,2,1,1,0
"75",1,NA,2,1,2,1,1
"76",1,NA,2,2,2,1,0
"77",1,NA,2,1,1,2,0
"78",1,NA,2,2,1,2,0
"79",1,NA,2,1,2,2,0
"80",1,NA,2,2,2,2,0
"81",NA,1,1,1,1,1,2
"82",NA,1,1,2,1,1,0
"83",NA,1,1,1,2,1,5
"84",NA,1,1,2,2,1,3
"85",NA,1,1,1,1,2,1
"86",NA,1,1,2,1,2,1
"87",NA,1,1,1,2,2,2
"88",NA,1,1,2,2,2,0
"89",NA,1,2,1,1,1,1
"90",NA,1,2,2,1,1,1
"91",NA,1,2,1,2,1,0
"92",NA,1,2,2,2,1,3
"93",NA,1,2,1,1,2,0
"94",NA,1,2,2,1,2,0
"95",NA,1,2,1,2,2,0
"96",NA,1,2,2,2,2,1
"97",2,NA,1,1,1,1,0
"98",2,NA,1,2,1,1,0
"99",2,NA,1,1,2,1,0
"100",2,NA,1,2,2,1,0
"101",2,NA,1,1,1,2,0
"102",2,NA,1,2,1,2,0
"103",2,NA,1,1,2,2,0
"104",2,NA,1,2,2,2,0
"105",2,NA,2,1,1,1,0
"106",2,NA,2,2,1,1,0
"107",2,NA,2,1,2,1,0
"108",2,NA,2,2,2,1,0
"109",2,NA,2,1,1,2,0
"110",2,NA,2,2,1,2,0
"111",2,NA,2,1,2,2,0
"112",2,NA,2,2,2,2,0
"113",NA,2,1,1,1,1,1
"114",NA,2,1,2,1,1,0
"115",NA,2,1,1,2,1,0
"116",NA,2,1,2,2,1,0
"117",NA,2,1,1,1,2,0
"118",NA,2,1,2,1,2,0
"119",NA,2,1,1,2,2,1
"120",NA,2,1,2,2,2,2
"121",NA,2,2,1,1,1,1
"122",NA,2,2,2,1,1,3
"123",NA,2,2,1,2,1,2
"124",NA,2,2,2,2,1,1
"125",NA,2,2,1,1,2,1
"126",NA,2,2,2,1,2,1
"127",NA,2,2,1,2,2,0
"128",NA,2,2,2,2,2,0
"129",NA,NA,1,1,1,1,0
"130",NA,NA,1,2,1,1,1
"131",NA,NA,1,1,2,1,2
"132",NA,NA,1,2,2,1,2
"133",NA,NA,1,1,1,2,1
"134",NA,NA,1,2,1,2,0
"135",NA,NA,1,1,2,2,3
"136",NA,NA,1,2,2,2,1
"137",NA,NA,2,1,1,1,2
"138",NA,NA,2,2,1,1,8
"139",NA,NA,2,1,2,1,1
"140",NA,NA,2,2,2,1,2
"141",NA,NA,2,1,1,2,1
"142",NA,NA,2,2,1,2,1
"143",NA,NA,2,1,2,2,2
"144",NA,NA,2,2,2,2,2
