"","Symbol","Description"
"1","H15_NFCP_M2","CommercialPaper2MNonFin"
"2","H15_NFCP_M3","CommercialPaper3MNonFin"
"3","H15_FCP_M1","CommercialPaper1MFinancial"
"4","H15_FCP_M2","CommercialPaper2MFinancial"
"5","H15_FCP_M3","CommercialPaper3MFinancial"
"6","H15_CPFFWOUT_M3","CP3MCPFFwithoutsurcharge"
"7","H15_CPFFWITH_M3","CP3MCPFFwithsurcharge"
"8","H15_PRIME_NA","BankPrimeLoan"
"9","H15_DWPC_NA","DiscountWindowPrimaryCredit"
"10","H15_TB_WK4","TreasuryBill4W"
"11","H15_TB_M3","TreasuryBill3M"
"12","H15_TB_M6","TreasuryBill6M"
"13","H15_TB_Y1","TreasuryBill1Y"
"14","H15_TCMNOM_M1","TrConstMatNominal1M"
"15","H15_TCMNOM_M3","TrConstMatNominal3M"
"16","H15_TCMNOM_M6","TrConstMatNominal6M"
"17","H15_TCMNOM_Y1","TrConstMatNominal1Y"
"18","H15_TCMNOM_Y2","TrConstMatNominal2Y"
"19","H15_TCMNOM_Y3","TrConstMatNominal3Y"
"20","H15_TCMNOM_Y5","TrConstMatNominal5Y"
"21","H15_TCMNOM_Y7","TrConstMatNominal7Y"
"22","H15_TCMNOM_Y10","TrConstMatNominal10Y"
"23","H15_TCMNOM_Y20","TrConstMatNominal20Y"
"24","H15_TCMNOM_Y30","TrConstMatNominal30Y"
"25","H15_TCMII_Y5","TrConstMatInflationIdxd5Y"
"26","H15_TCMII_Y7","TrConstMatInflationIdxd7Y"
"27","H15_TCMII_Y10","TrConstMatInflationIdxd10Y"
"28","H15_TCMII_Y20","TrConstMatInflationIdxd20Y"
"29","H15_LTAVG_Y10P","TrConstMatInflationIdxd>20Y"
"30","H15_SWAPS_Y1","InterestRateSwaps1Y"
"31","H15_SWAPS_Y2","InterestRateSwaps2Y"
"32","H15_SWAPS_Y3","InterestRateSwaps3Y"
"33","H15_SWAPS_Y4","InterestRateSwaps4Y"
"34","H15_SWAPS_Y5","InterestRateSwaps5Y"
"35","H15_SWAPS_Y7","InterestRateSwaps7Y"
"36","H15_SWAPS_Y10","InterestRateSwaps10Y"
"37","H15_SWAPS_Y30","InterestRateSwaps30Y"
"38","H15_AAA_NA","MoodysSeasonedAaa"
"39","H15_BAA_NA","MoodysSeasonedBaa"
