"","Symbol","ISIN","Code","Name"
"1","AA","US0138171014","US0138171014CHF4","ALCOA"
"2","AAM","GB00B1XZS820","GB00B1XZS820CHF4","ANGLO PLC"
"3","AAPL","US0378331005","US0378331005CHF4","APPLE COMPUTER INC"
"4","ABBN","CH0012221716","CH0012221716CHF1","ABB LTD N"
"5","ABBNE","CH0037934822","CH0037934822CHF1","ABB LTD N 2. LINIE"
"6","ABSI","CH0042927431","CH0042927431USD4","ABSOLUTE INVEST I"
"7","ABSIE","CH0021119927","CH0021119927CHF4","ABSOLUTE INVEST I 2L"
"8","ABSP","CH0042927381","CH0042927381USD4","APE I"
"9","ABSPE","CH0021971509","CH0021971509CHF4","APE I 2. LINIE"
"10","ABT","US0028241000","US0028241000CHF4","ABBOTT LABOR"
"11","ABX","CA0679011084","CA0679011084CHF4","BARRICK GOLD"
"12","ACUN","CH0001366332","CH0001366332CHF4","ACCU N"
"13","ADBN","CH0021194664","CH0021194664CHF4","ADVANCED DIGITAL N"
"14","ADEN","CH0012138605","CH0012138605CHF1","ADECCO N"
"15","ADS","DE0005003404","DE0005003404CHF4","ADIDAS AG"
"16","ADVN","CH0008967926","CH0008967926CHF4","ADVAL TECH N"
"17","ADXN","CH0029850754","CH0029850754CHF4","ADDEX N"
"18","AFFN","CH0019107025","CH0019107025CHF4","AFFICHAGE N"
"19","AFG","CH0012132509","CH0012132509CHF4","ARBONIA I"
"20","AGEN","CH0012488190","CH0012488190CHF4","AGEN N"
"21","AGN","NL0000303709","NL0000303709CHF4","AEGON NV N"
"22","AHO","NL0006033250","NL0006033250CHF4","KONINKLIJKE AHOLD"
"23","AIRE","CH0010947627","CH0010947627CHF4","AIRESIS N"
"24","AKZO","NL0000009132","NL0000009132CHF4","AKZO NOBEL"
"25","ALLN","CH0008837566","CH0008837566CHF4","ALLREAL N"
"26","ALPN","CH0019199550","CH0019199550CHF4","ALPINE SELECT N"
"27","ALPNE","CH0042187747","CH0042187747CHF4","ALPINE SELECT N 2. LINIE"
"28","ALSN","CH0024590272","CH0024590272CHF4","ALSO N"
"29","ALTN","CH0014424524","CH0014424524USD4","ALTIN N"
"30","ALU","FR0000130007","FR0000130007CHF4","ALCATEL LUCENT"
"31","ALV","DE0008404005","DE0008404005CHF4","ALLIANZ N"
"32","AMGN","US0311621009","US0311621009CHF4","AMGEN INC"
"33","AMS","AT0000920863","AT0000920863CHF4","AUSTRIAMICROSYS"
"34","AN","DE0005151005","DE0005151005CHF4","BASF"
"35","ANFO","CH0014420829","CH0014420829CHF4","UBS SWISS ANFOS"
"36","ANG","ZAE000043485","ZAE000043485CHF4","ANGLOGOLD ASH"
"37","APEN","CH0009153310","CH0009153310CHF4","AIG N"
"38","ARPN","CH0021218067","CH0021218067CHF4","ARPIDA N"
"39","ASCN","CH0011339204","CH0011339204CHF4","ASCOM N 10"
"40","ASML","NL0006034001","NL0006034001CHF4","ASML HOLDING NV"
"41","ATHN","CH0034389707","CH0034389707CHF4","ATEL HOLDING N"
"42","ATLN","CH0010532478","CH0010532478CHF1","ACTELION N"
"43","AXA","FR0000120628","FR0000120628CHF4","AXA"
"44","AXP","US0258161092","US0258161092CHF4","AMEXCO"
"45","BA","US0970231058","US0970231058CHF4","BOEING"
"46","BAER","CH0029758650","CH0029758650CHF1","JULIUS BAER N"
"47","BAERE","CH0038146368","CH0038146368CHF1","JULIUS BAER N 2. LINIE"
"48","BALN","CH0012410517","CH0012410517CHF1","BALOISE N"
"49","BANB","CH0012530207","CH0012530207CHF4","BACHEM N -B-"
