"","Symbol","Name","MarketCap","Exchange"
"1","AA-P","Alcoa Inc.","$43.6","AMEX"
"2","AAC","Ableauctions.Com Inc","$4.3","AMEX"
"3","AAU","Almaden Minerals, Ltd.","$89.4","AMEX"
"4","ABL","American Biltrite Inc.","$19.1","AMEX"
"5","ABP","Abraxas Petroleum Corporation","$219.0","AMEX"
"6","ACU","Acme United Corporation.","$46.9","AMEX"
"7","ACY","AeroCentury Corp.","$19.2","AMEX"
"8","ADG","Allied Defense Group (The)","$40.8","AMEX"
"9","ADH","Adherex Technologies Inc","$26.9","AMEX"
"10","ADJ","Morgan Stanley","$0.0","AMEX"
"11","ADK","Adcare Health Systems Inc","$8.5","AMEX"
"12","ADK-WT","ADCARE HEALTH SYSTEMS INC","$0.0","AMEX"
"13","ADL","AMDL INC","$42.5","AMEX"
"14","AE","Adams Resources & Energy, Inc.","$143.6","AMEX"
"15","AEZ","American Oil & Gas, Inc.","$156.2","AMEX"
"16","AFO","Safety First Trust",NA,"AMEX"
"17","AFP","United Capital Corporation","$169.5","AMEX"
"18","AFT","AXESSTEL INC","$19.3","AMEX"
"19","AGB","Citigroup Inc.","$74.3","AMEX"
"20","AGT","Apollo Gold Corporation","$78.9","AMEX"
"21","AGW","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"22","AGX","Argan, Inc.","$161.6","AMEX"
"23","AID","Law Enforcement Associates Corporation","$6.4","AMEX"
"24","AIM","Aerosonic Corporation","$9.0","AMEX"
"25","AIP","American Israeli Paper Mills, Ltd.","$357.2","AMEX"
"26","AIS","Antares Pharma, Inc.","$48.4","AMEX"
"27","AKE","Safety First Trust",NA,"AMEX"
"28","AKN","Safety First Trust",NA,"AMEX"
"29","AMC","American Mortgage Acceptance Company","$4.3","AMEX"
"30","AMC-PA","American Mortgage Acceptance Company","$2.7","AMEX"
"31","AMK","Morgan Stanley","$0.0","AMEX"
"32","AMM","Safety First Trust",NA,"AMEX"
"33","AMS","American Shared Hospital Services","$9.6","AMEX"
"34","AMV","Alternative Asset Management Acquisition Corp","$481.3","AMEX"
"35","AMV-U","Alternative Asset Management Acquisition Corp","$0.0","AMEX"
"36","AMV-WT","Alternative Asset Management Acquisition Corp","$0.0","AMEX"
"37","AMY","AmREIT, Inc","$38.7","AMEX"
"38","ANE","American Community Newspapers Inc.","$2.9","AMEX"
"39","ANE-U","American Community Newspapers Inc.","$0.0","AMEX"
"40","ANE-WT","American Community Newspapers Inc.","$0.0","AMEX"
"41","ANO","Anooraq Resources Corporation","$446.8","AMEX"
"42","ANV","Allied Nevada Gold Corp","$341.2","AMEX"
"43","ANX","ADVENTRX Pharmaceuticals, Inc.","$32.7","AMEX"
"44","ANY","Morgan Stanley","$0.0","AMEX"
"45","AOG","Aurora Oil & Gas Corporation","$47.3","AMEX"
"46","API","Advanced Photonix, Inc.","$31.2","AMEX"
"47","APO","American Community Properties Trust","$58.8","AMEX"
"48","APP","American Apparel Inc","$439.7","AMEX"
"49","APT","Alpha Pro Tech, Ltd.","$25.8","AMEX"
"50","APY","Aspyra,  Inc.","$6.8","AMEX"
"51","AQQ","American Spectrum Realty, Inc.","$52.7","AMEX"
"52","ASY","Elecsys Corporation","$21.4","AMEX"
"53","ATA","Safety First Trust",NA,"AMEX"
"54","ATC","Cycle Country Accessories Corporation","$9.3","AMEX"
"55","ATF","Equity Income Fund, First Exchange Series","$951.7","AMEX"
"56","ATX","Cross (A.T.) Company","$100.1","AMEX"
"57","AUS","NETS Trust",NA,"AMEX"
"58","AVN","Morgan Stanley","$104.6","AMEX"
"59","AWO","Wachovia Corporation","$10.5","AMEX"
"60","AWX","Avalon Holdings Corporation","$11.9","AMEX"
"61","AXC","Advanced Technology Acquisition Corp","$205.9","AMEX"
"62","AXC-U","Advanced Technology Acquisition Corp","$0.0","AMEX"
"63","AXC-WT","Advanced Technology Acquisition Corp","$0.0","AMEX"
"64","AXD","Merrill Lynch & Co., Inc.",NA,"AMEX"
"65","AXF","AB Svensk Ekportkredit (Swedish Export Credit Corporation)","$51.0","AMEX"
"66","AXG","Atlas Acquisition Holdings Corp","$230.0","AMEX"
"67","AXG-U","Atlas Acquisition Holdings Corp","$0.0","AMEX"
"68","AXG-WT","Atlas Acquisition Holdings Corp","$0.0","AMEX"
"69","AXK","Accelr8 Technology Corporation","$43.2","AMEX"
"70","AXU","Alexco Resource Corp","$98.9","AMEX"
"71","AYA","Alyst Acquisition Corp","$72.5","AMEX"
"72","AYA-U","Alyst Acquisition Corp","$0.0","AMEX"
"73","AYA-WT","Alyst Acquisition Corp","$0.0","AMEX"
"74","AZB","MORGAN STANLEY","$40.5","AMEX"
"75","AZC","Augusta Resource Corporation","$505.0","AMEX"
"76","AZK","Aurizon Mines, Ltd.","$721.9","AMEX"
"77","AZP","Safety First Trust",NA,"AMEX"
"78","BAA","BANRO CORPORATION","$261.1","AMEX"
"79","BBH","Merrill Lynch Biotech HOLDRS","$1,185.1","AMEX"
"80","BCL","BlackRock California Municipal Income Trust II","$104.1","AMEX"
"81","BCP","Brooke Capital Corporation","$17.2","AMEX"
"82","BCT","BlackRock Broad Investment Grade 2009 Term Trust Inc. (The)","$40.5","AMEX"
"83","BCV","Bancroft Convertible Fund, Inc.","$98.3","AMEX"
"84","BDH","Merrill Lynch Broadband HOLDRS","$77.1","AMEX"
"85","BDL","Flanigan's Enterprises, Inc.","$11.8","AMEX"
"86","BDR","Blonder Tongue Laboratories, Inc.","$7.0","AMEX"
"87","BEM","MORGAN STANLEY","$28.1","AMEX"
"88","BFY","BlackRock New York Municipal Income Trust II","$66.6","AMEX"
"89","BGD","Morgan Stanley Dean Witter & Co.","$43.7","AMEX"
"90","BHB","Bar Harbor Bankshares, Inc.","$74.9","AMEX"
"91","BHH","Merrill Lynch B2B Internet HOLDRS","$4.2","AMEX"
"92","BHO","B+H Ocean Carriers Ltd.","$72.1","AMEX"
"93","BHV","BlackRock Virginia Municipal Bond Trust","$28.7","AMEX"
"94","BHZ","Morgan Stanley","$17.8","AMEX"
"95","BIK","SPDR Index Shares Fund","$259.0","AMEX"
"96","BIL","SPDR Series Trust","$128.5","AMEX"
"97","BIO","Bio-Rad Laboratories, Inc.","$1,752.4","AMEX"
"98","BIO-B","Bio-Rad Laboratories, Inc.","$412.4","AMEX"
"99","BIR-PA","Berkshire Income Realty, Inc.","$73.0","AMEX"
"100","BIV","Vanguard Bond Index Funds",NA,"AMEX"
"101","BJK","Market Vectors ETF Trust","$3.0","AMEX"
"102","BJT","Merrill Lynch & Co., Inc.",NA,"AMEX"
"103","BJV","AB Svensk Ekportkredit (Swedish Export Credit Corporation)","$33.4","AMEX"
"104","BJW","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"105","BKJ","Bancorp of New Jersey, Inc",NA,"AMEX"
"106","BKR","Baker (Michael) Corporation","$240.1","AMEX"
"107","BLB","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"108","BLD","Baldwin Technology Company, Inc.","$33.4","AMEX"
"109","BLE","BlackRock Municipal Income Trust II","$313.0","AMEX"
"110","BLJ","Blackrock New Jersey Municipal Bond Trust","$34.4","AMEX"
"111","BLM","Citigroup Inc.","$0.0","AMEX"
"112","BLV","Vanguard Bond Index Funds",NA,"AMEX"
"113","BMD","Birch Mountain Resources, Ltd.","$26.9","AMEX"
"114","BMJ","Birks & Mayors Inc.","$9.4","AMEX"
"115","BND","Vanguard Bond Index Funds",NA,"AMEX"
"116","BNP","Morgan Stanley","$0.0","AMEX"
"117","BNV","Beverly National Corporation","$51.3","AMEX"
"118","BNX","Banks.com, Inc","$5.9","AMEX"
"119","BOI","Morgan Stanley Dean Witter & Co.","$174.1","AMEX"
"120","BPF","Merrill Lynch & Co., Inc.",NA,"AMEX"
"121","BPG","BPI Industries, Inc.","$29.4","AMEX"
"122","BPS","BlackRock Pennsylvania Strategic Municipal Trust (The)","$24.8","AMEX"
"123","BPW","BPW Acquisition Corp","$380.1","AMEX"
"124","BPW-U","BPW Acquisition Corp","$0.0","AMEX"
"125","BPW-WT","BPW Acquisition Corp","$0.0","AMEX"
"126","BQI","Oilsands Quest Inc","$1,265.9","AMEX"
"127","BQI-WT","Oilsands Quest Inc","$0.0","AMEX"
"128","BQY","S&P Quality Rankings Glbl Equ Mngd Tr","$84.8","AMEX"
"129","BRD","Morgan Stanley Dean Witter & Co.","$56.0","AMEX"
"130","BRN","Barnwell Industries, Inc.","$86.8","AMEX"
"131","BSL","Morgan Stanley","$0.0","AMEX"
"132","BSV","Vanguard Bond Index Funds",NA,"AMEX"
"133","BTC","Community Bankers Trust Corporation.","$42.7","AMEX"
"134","BTC-U","Community Bankers Trust Corporation.","$0.0","AMEX"
"135","BTC-WT","Community Bankers Trust Corporation.","$0.0","AMEX"
"136","BTI","British American Tobacco  Industries, p.l.c.","$1,817.1","AMEX"
"137","BTN","Ballantyne of Omaha, Inc.","$57.5","AMEX"
"138","BTR","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"139","BUF","Minrad International, Inc.","$92.9","AMEX"
"140","BUN","Citigroup Inc.","$0.0","AMEX"
"141","BUS","Columbus Acquisition Corp.","$134.8","AMEX"
"142","BUS-U","Columbus Acquisition Corp.","$0.0","AMEX"
"143","BUS-WT","Columbus Acquisition Corp.","$0.0","AMEX"
"144","BVX","Bovie Medical Corporation","$113.2","AMEX"
"145","BWL-A","Bowl America, Inc.","$51.0","AMEX"
"146","BWN","MORGAN STANLEY","$12.5","AMEX"
"147","BWR","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"148","BWV","Barclays Bank PLC",NA,"AMEX"
"149","BWX","SPDR Series Trust","$603.3","AMEX"
"150","BXA","Merrill Lynch","$112.7","AMEX"
"151","BXB","Morgan Stanley Dean Witter & Co.","$29.6","AMEX"
"152","BXT","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"153","BXU","Merrill Lynch & Co., Inc.","$0.0","AMEX"
"154","BYL","Citigroup Inc.","$0.0","AMEX"
"155","BZC","Breeze-Eastern Corporation","$98.5","AMEX"
"156","BZI","XELR8 Holdings, Inc.","$13.2","AMEX"
"157","BZI-WTA","XELR8 Holdings, Inc.","$0.0","AMEX"
"158","BZI-WTB","XELR8 Holdings, Inc.","$0.0","AMEX"
"159","BZM","BlackRock Maryland Municipal Bond Trust","$32.8","AMEX"
"160","BZP","BPZ Resources, Inc","$1,993.4","AMEX"
"161","BZZ","Citigroup Inc.","$0.0","AMEX"
"162","CAA","Capital Alliance Income Trust Ltd.","$1.7","AMEX"
"163","CAV","Cavalier Homes, Inc.","$36.9","AMEX"
"164","CAW","CCA Industries, Inc.","$42.6","AMEX"
"165","CAX","MORGAN STANLEY","$27.8","AMEX"
"166","CBJ","AB Svensk Ekportkredit (Swedish Export Credit Corporation)","$56.0","AMEX"
"167","CCA","MFS California Insured Municipal Trust","$31.6","AMEX"
"168","CCF","Chase Corporation","$131.2","AMEX"
"169","CDY","Cardero Resource Corporation","$91.4","AMEX"
"170","CEF","Central Fund of Canada Limited","$1,748.1","AMEX"
"171","CEQ","Morgan Stanley","$12.0","AMEX"
"172","CET","Central Securities Corporation","$523.1","AMEX"
"173","CEV","Eaton Vance California Municipal Income Trust","$95.2","AMEX"
"174","CFK","CE Franklin Ltd.","$185.2","AMEX"
"175","CFP","Cornerstone Progressive Return Fund","$142.7","AMEX"
"176","CFS","COMFORCE Corp.","$29.7","AMEX"
"177","CFW","Cano Petroleum, Inc.","$269.3","AMEX"
