"","number","empty","full"
"1",1,43,469.5
"2",2,43,469.1
"3",3,43,469.4
"4",4,43,468.9
"5",5,42.8,469.35
"6",6,43,468.65
"7",7,42.8,470.1
"8",8,42.9,469.65
"9",9,43,469.65
"10",10,42.8,469.35
"11",11,42.8,469.05
"12",12,43.15,469.15
"13",13,43,469.25
"14",14,42.75,469.75
"15",15,42.85,470.65
"16",16,43.05,469.15
"17",17,42.85,470.05
"18",18,43.2,469.35
"19",19,42.7,469.15
"20",20,42.9,467.75
"21",21,42.9,466.75
"22",22,42.85,468.8
"23",23,42.85,469.15
"24",24,42.9,468.65
"25",25,42.8,468.7
"26",26,43.05,469.05
"27",27,43.1,468.65
"28",28,42.95,469.65
"29",29,43,469.2
"30",30,43.15,467.2
