"","capital","pindex","sales"
"1",78.945,105.164,18842
"2",79.317,106.081,16859
"3",79.868,107.877,19001
"4",80.266,108.536,18905
"5",80.525,109.536,17450
"6",80.166,112.836,20940
"7",80.698,112.653,18469
"8",80.403,115.178,19094
"9",80.419,114.139,19325
"10",80.819,112.901,18396
"11",81.163,110.162,16495
"12",81.163,109.025,12847
"13",81.273,106.438,18064
"14",81.466,105.901,18324
"15",81.353,109.37,22191
"16",81.395,109.675,19905
"17",80.873,109.99,19022
"18",80.869,113.609,20984
"19",81.19,112.561,17810
"20",81.063,114.461,20795
"21",81.49,115.364,19783
"22",81.406,112.022,20635
"23",81.832,110.596,20454
"24",82.445,109.851,14619
"25",82.578,108.232,21421
"26",83.012,108.69,19294
"27",83.491,112.206,24011
"28",83.564,111.355,21458
"29",83.788,113.69,25016
"30",84.021,116.559,23702
"31",83.993,115.758,20173
"32",84.174,120.491,27044
"33",84.044,120.073,23813
"34",84.406,117.949,23862
"35",84.628,115.608,25591
"36",85.065,114.916,18360
"37",85.056,114.29,25773
"38",84.737,112.573,23987
"39",84.6,115.336,25986
"40",83.999,114.808,22560
"41",83.71,117.094,24906
"42",83.518,118.854,25799
"43",83.31,117.202,20076
"44",83.858,120.602,26843
"45",83.683,119.773,23810
"46",82.967,117.354,27393
"47",82.991,114.902,24602
"48",82.872,114.149,16914
