"","type","time1","time2"
"1","NW",16,18
"2","NW",14,18
"3","NW",14,18
"4","W",14,16
"5","W",16,16
"6","W",15,16
"7","NW",13,18
"8","NW",12,15
"9","NW",15,16
"10","W",13,17
"11","W",14,20
"12","W",13,16
"13","NW",16,18
"14","NW",16,15
"15","NW",16,16
"16","W",15,18
"17","W",16,20
"18","W",16,17
"19","NW",16,16
"20","NW",17,13
"21","NW",18,16
"22","W",16,16
"23","W",16,21
"24","W",16,16
"25","NW",18,16
"26","NW",16,14
"27","NW",17,16
"28","W",19,16
"29","W",16,21
"30","W",18,16
"31","NW",16,16
"32","NW",16,13
"33","NW",16,16
"34","W",16,16
"35","W",16,22
"36","W",17,16
