"","odor","yellowing","hardness"
"1",4.54,2.36,82.64
"2",3.41,3.46,79.09
"3",4.41,1.45,87.5
"4",2.82,3.08,86.47
"5",4.71,4.28,78.8
"6",2.83,3.1,81.86
"7",4.25,2.08,46.46
"8",10.29,1.74,17.21
"9",4.14,3.07,82.13
"10",9.28,0.98,25.66
"11",9.55,2.64,50.12
"12",1.93,2.97,81.5
"13",1.85,2.59,89
"14",1.39,9.47,88.03
"15",3.1,4.39,84.63
"16",2.09,4.29,90.47
"17",0.67,10.91,78.22
"18",1.03,12.96,82.99
"19",3.67,2.38,82.04
"20",1.52,13.54,87.72
"21",3.38,2.77,76.01
"22",-0.21,13.94,87.21
"23",3.03,2.74,86.5
"24",5.45,1.75,70.23
"25",3.55,2.65,84.09
"26",5.52,1.93,80.62
"27",2.27,2.04,84.35
"28",0.71,5.2,88.1
"29",2.48,5.57,83.99
"30",8.13,1.99,35.44
"31",2.61,2.87,80.73
"32",3.4,3.14,78.27
"33",0.95,6.73,87.43
"34",1.49,3.12,87.7
"35",4.44,1.48,80.94
