"","material","comp","maxload"
"1","foil",50,3.49
"2","foil",50,4.65
"3","foil",50,4.27
"4","foil",50,3.8
"5","foil",50,3.54
"6","foil",45,5.08
"7","foil",45,4.79
"8","foil",45,5.1
"9","foil",45,3.85
"10","foil",45,4.56
"11","foil",35,3.3
"12","foil",35,3.55
"13","foil",35,3.9
"14","foil",35,3.77
"15","foil",35,3.3
"16","glass",50,6.84
"17","glass",50,6.18
"18","glass",50,7.58
"19","glass",50,6.35
"20","glass",50,6.91
"21","glass",45,7.07
"22","glass",45,8.31
"23","glass",45,8.13
"24","glass",45,6.29
"25","glass",45,6.89
"26","glass",35,3.95
"27","glass",35,3.82
"28","glass",35,3.98
"29","glass",35,4.23
"30","glass",35,4.25
