"","absorb"
"1",97.5
"2",99.5
"3",99.5
"4",98
"5",98.5
"6",98.5
"7",97.5
"8",97.5
"9",97
"10",100.5
"11",98.5
"12",98.5
"13",97
"14",98
"15",97
"16",96.5
"17",98.5
"18",97.5
"19",97.5
"20",97.5
"21",97.5
"22",98.5
"23",98
"24",99.5
"25",97.5
"26",97.5
"27",96.5
"28",96.5
"29",96.5
"30",96.5
"31",98.5
"32",98.5
"33",97.5
"34",98
"35",97
"36",98
"37",97
"38",98
"39",98
"40",97.5
"41",99
"42",97
"43",96
"44",96.5
"45",98.5
"46",97
"47",98
"48",97.5
"49",97.5
"50",97.5
"51",97.5
"52",101.5
"53",101.5
"54",101.5
"55",102
"56",102
"57",102
"58",102.5
"59",104.5
"60",103.5
"61",104
"62",102.5
"63",102
"64",102
"65",102
"66",102
"67",102.5
"68",102
"69",102
"70",102
"71",102
"72",102
"73",102
"74",102
"75",103.5
"76",102.5
"77",102.5
"78",103
"79",104
"80",103
"81",102
"82",103.5
"83",102
"84",102.5
"85",102
"86",102
"87",103.5
"88",104.5
"89",103
"90",103.5
"91",102.5
"92",101.5
"93",101
"94",102
"95",103.5
"96",103
"97",102
"98",102
"99",101.5
"100",103.5
"101",102.5
"102",103.5
