"","color","gloss"
"1","Green",90
"2","Black",88
"3","Silver",88
"4","White",88
"5","Green",87
"6","Black",91
"7","Silver",88
"8","White",87
"9","Green",89
"10","Black",89
"11","Silver",89
"12","White",89
"13","Green",88
"14","Black",89
"15","Silver",89
"16","White",86
"17","Green",88
"18","Black",88
"19","Silver",89
"20","White",88
"21","Green",89
"22","Black",88
"23","Silver",89
"24","White",87
"25","Green",88
"26","Black",88
"27","Silver",89
"28","White",88
"29","Green",90
"30","Black",88
"31","Silver",89
"32","White",88
"33","Green",88
"34","Black",89
"35","Silver",88
"36","White",89
"37","Green",90
"38","Black",89
"39","Silver",90
"40","White",88
