"","alkali","hardness","bright"
"1",0.1,"50",60.73
"2",0.1,"50",61.18
"3",0.1,"50",60.42
"4",0.1,"150",62.01
"5",0.1,"150",62.44
"6",0.1,"150",62.24
"7",0.1,"250",61.75
"8",0.1,"250",61.86
"9",0.1,"250",62.29
"10",0.4,"50",59.03
"11",0.4,"50",57.12
"12",0.4,"50",56.91
"13",0.4,"150",60.37
"14",0.4,"150",58.44
"15",0.4,"150",59.87
"16",0.4,"250",59.16
"17",0.4,"250",58.48
"18",0.4,"250",59.9
"19",0.9,"50",56.11
"20",0.9,"50",56.28
"21",0.9,"50",55.86
"22",0.9,"150",54.71
"23",0.9,"150",54.34
"24",0.9,"150",55.31
"25",0.9,"250",54.09
"26",0.9,"250",52.43
"27",0.9,"250",53.05
