"","cat","pH","adhesion"
"1","A",4.3,13.25
"2","A",4.3,13.62
"3","A",4.3,13.81
"4","A",4.3,14.17
"5","A",4.3,14.27
"6","B",4.3,13.3
"7","B",4.3,13.79
"8","B",4.3,14.17
"9","B",4.3,14.24
"10","B",4.3,15.82
"11","A",5.3,14.04
"12","A",5.3,14.22
"13","A",5.3,15.13
"14","A",5.3,15.48
"15","A",5.3,15.72
"16","B",5.3,14.84
"17","B",5.3,15.72
"18","B",5.3,15.78
"19","B",5.3,16.17
"20","B",5.3,17.61
"21","A",6.3,15.39
"22","A",6.3,15.5
"23","A",6.3,16.62
"24","A",6.3,15.81
"25","A",6.3,16.87
"26","B",6.3,16.53
"27","B",6.3,16.78
"28","B",6.3,17.52
"29","B",6.3,17.85
"30","B",6.3,17.97
