"","plant","batch","fat"
"1","A","a",7.6
"2","A","a",7.1
"3","A","a",7.6
"4","A","a",8.1
"5","A","a",7.6
"6","A","b",7.1
"7","A","b",6.85
"8","A","b",7.1
"9","A","b",8.1
"10","A","b",7.85
"11","A","c",7.6
"12","A","c",7.6
"13","A","c",7.35
"14","A","c",7.6
"15","A","c",7.6
"16","A","d",7.35
"17","A","d",7.6
"18","A","d",6.85
"19","A","d",6.6
"20","A","d",6.85
"21","A","e",7.85
"22","A","e",8.1
"23","A","e",7.35
"24","A","e",7.6
"25","A","e",6.6
"26","A","f",6.85
"27","A","f",6.85
"28","A","f",6.85
"29","A","f",6.85
"30","A","f",6.6
"31","B","a",7.6
"32","B","a",7.35
"33","B","a",7.35
"34","B","a",8.35
"35","B","a",8.1
"36","B","b",7.35
"37","B","b",7.1
"38","B","b",6.85
"39","B","b",7.1
"40","B","b",6.85
"41","B","c",6.85
"42","B","c",6.85
"43","B","c",6.85
"44","B","c",6.85
"45","B","c",8.6
"46","B","d",8.85
"47","B","d",8.6
"48","B","d",8.35
"49","B","d",8.1
"50","B","d",8.35
"51","B","e",8.1
"52","B","e",8.35
"53","B","e",7.6
"54","B","e",7.6
"55","B","e",7.6
"56","B","f",7.6
"57","B","f",7.35
"58","B","f",6.85
"59","B","f",7.6
"60","B","f",7.1
"61","C","a",7.6
"62","C","a",7.85
"63","C","a",7.6
"64","C","a",7.6
"65","C","a",7.6
"66","C","b",8.1
"67","C","b",7.6
"68","C","b",8.85
"69","C","b",8.1
"70","C","b",8.1
"71","C","c",8.35
"72","C","c",8.1
"73","C","c",7.85
"74","C","c",7.85
"75","C","c",8.1
"76","C","d",8.1
"77","C","d",8.85
"78","C","d",8.6
"79","C","d",7.85
"80","C","d",8.1
"81","C","e",8.35
"82","C","e",7.85
"83","C","e",8.35
"84","C","e",8.6
"85","C","e",8.35
"86","C","f",8.1
"87","C","f",8.6
"88","C","f",8.1
"89","C","f",7.85
"90","C","f",7.6
