"","conc","pH","temp","height"
"1","L","L","L",30.92
"2","L","L","M",35.2
"3","L","L","H",40.07
"4","L","M","L",39.77
"5","L","M","M",42.36
"6","L","M","H",41.98
"7","L","H","L",38.35
"8","L","H","M",39.48
"9","L","H","H",47.54
"10","M","L","L",30.67
"11","M","L","M",34.99
"12","M","L","H",39.08
"13","M","M","L",40.87
"14","M","M","M",44.13
"15","M","M","H",42.48
"16","M","H","L",38.75
"17","M","H","M",38.56
"18","M","H","H",48.29
"19","H","L","L",31.97
"20","H","L","M",34.91
"21","H","L","H",41.94
"22","H","M","L",38.06
"23","H","M","M",43.37
"24","H","M","H",43.94
"25","H","H","L",40.33
"26","H","H","M",37.5
"27","H","H","H",47.33
