"","year","place","employees","cases"
"1",93,"KY",1366,41
"2",93,"TN",560,23
"3",93,"CA",317,2
"4",93,"TX",1711,61
"5",93,"MI",681,48
"6",93,"NY",650,23
"7",94,"KY",1366,38
"8",94,"TN",560,22
"9",94,"CA",317,3
"10",94,"TX",1711,33
"11",94,"MI",681,48
"12",94,"NY",650,13
"13",95,"KY",1366,16
"14",95,"TN",560,18
"15",95,"CA",317,9
"16",95,"TX",1711,43
"17",95,"MI",681,41
"18",95,"NY",650,22
"19",96,"KY",1366,16
"20",96,"TN",560,21
"21",96,"CA",317,2
"22",96,"TX",1711,26
"23",96,"MI",681,23
"24",96,"NY",650,14
"25",97,"KY",1366,11
"26",97,"TN",560,18
"27",97,"CA",317,4
"28",97,"TX",1711,31
"29",97,"MI",681,22
"30",97,"NY",650,10
