"","time","temp","type"
"1",5,-22.7,"Repaired"
"2",11,-25.5,"Repaired"
"3",16,-29,"Repaired"
"4",9,-24.8,"Repaired"
"5",14,-27.2,"Repaired"
"6",6,-23.5,"Repaired"
"7",6,-23.9,"Repaired"
"8",16,-28.7,"Repaired"
"9",13,-26.8,"Repaired"
"10",11,-25.9,"Repaired"
"11",11,-26.9,"Repaired"
"12",8,-24.2,"Repaired"
"13",16,-28.5,"Repaired"
"14",3,-24.1,"OEM"
"15",3,-23.4,"OEM"
"16",8,-26.6,"OEM"
"17",6,-25.3,"OEM"
"18",3,-22.9,"OEM"
"19",4,-25,"OEM"
"20",4,-23,"OEM"
"21",7,-25.9,"OEM"
"22",7,-25.7,"OEM"
"23",11,-28.7,"OEM"
"24",12,-28.5,"OEM"
