"","source","fluoride"
"1","A",0.84
"2","A",0.83
"3","A",0.75
"4","A",0.74
"5","A",0.78
"6","A",0.9
"7","A",0.72
"8","A",0.74
"9","A",0.82
"10","A",0.7
"11","A",0.68
"12","A",0.73
"13","A",0.82
"14","A",0.7
"15","A",0.77
"16","A",0.77
"17","A",0.72
"18","A",0.78
"19","B",0.68
"20","B",0.77
"21","B",0.75
"22","B",0.6
"23","B",0.7
"24","B",0.7
"25","B",0.72
"26","B",0.72
"27","B",0.74
"28","B",0.78
"29","B",0.68
"30","B",0.73
"31","B",0.74
"32","B",0.65
"33","B",0.7
"34","B",0.67
"35","B",0.68
"36","B",0.72
"37","B",0.73
"38","C",0.75
"39","C",0.75
"40","C",0.72
"41","C",0.73
"42","C",0.73
"43","C",0.66
"44","C",0.76
"45","C",0.76
"46","C",0.72
"47","C",0.78
"48","C",0.74
"49","C",0.74
"50","C",0.8
"51","C",0.81
"52","C",0.86
"53","C",0.73
"54","C",0.72
"55","C",0.68
"56","C",0.8
"57","C",0.78
"58","C",0.82
