"","silica","time","temp","y"
"1","Low","Low","Low",40.9
"2","Low","Low","Low",42.2
"3","Low","Low","Low",41.3
"4","Low","Low","High",46.3
"5","Low","Low","High",47
"6","Low","Low","High",48.2
"7","Low","High","Low",48.6
"8","Low","High","Low",49.5
"9","Low","High","Low",46.6
"10","Low","High","High",69
"11","Low","High","High",66.3
"12","Low","High","High",66.1
"13","High","Low","Low",36.5
"14","High","Low","Low",34.8
"15","High","Low","Low",35.7
"16","High","Low","High",53.3
"17","High","Low","High",55.4
"18","High","Low","High",56.3
"19","High","High","Low",59.6
"20","High","High","Low",56.4
"21","High","High","Low",58.8
"22","High","High","High",75.2
"23","High","High","High",72.5
"24","High","High","High",73.2
