"","type","percent","time","hardness","speed","bright"
"1","A","0.25","30","150","S",53.65
"2","B","0.25","30","150","F",57.44
"3","A","0.25","30","250","F",54.76
"4","B","0.25","30","250","S",57.05
"5","A","0.25","45","150","F",53.44
"6","B","0.25","45","150","S",56.37
"7","A","0.25","45","250","S",56.07
"8","B","0.25","45","250","F",57.08
"9","A","0.75","30","150","F",53.98
"10","B","0.75","30","150","S",57.46
"11","A","0.75","30","250","S",56.11
"12","B","0.75","30","250","F",56.89
"13","A","0.75","45","150","S",53.89
"14","B","0.75","45","150","F",56.76
"15","A","0.75","45","250","F",55.52
"16","B","0.75","45","250","S",57.36
