"","brand","type","moisture"
"1","A","A",72
"2","A","A",68
"3","A","A",76
"4","A","A",74
"5","A","A",70
"6","A","B",66
"7","A","B",63
"8","A","B",70
"9","A","B",65
"10","A","B",66
"11","B","A",66
"12","B","A",69
"13","B","A",65
"14","B","A",64
"15","B","A",66
"16","B","B",67
"17","B","B",71
"18","B","B",64
"19","B","B",66
"20","B","B",67
"21","C","A",67
"22","C","A",64
"23","C","A",68
"24","C","A",66
"25","C","A",70
"26","C","B",70
"27","C","B",66
"28","C","B",73
"29","C","B",67
"30","C","B",74
