"","process","whitearea"
"1","A",0.89
"2","A",0.91
"3","A",0.72
"4","A",1.28
"5","A",1.25
"6","A",1.14
"7","A",0.96
"8","A",0.62
"9","A",0.47
"10","A",0.94
"11","A",1.02
"12","A",1.12
"13","A",0.95
"14","A",1.08
"15","A",0.91
"16","A",1.2
"17","A",1.05
"18","A",0.96
"19","A",0.95
"20","A",0.83
"21","A",0.93
"22","A",1.23
"23","A",0.92
"24","A",0.99
"25","B",0.85
"26","B",1.24
"27","B",1.53
"28","B",0.92
"29","B",1.57
"30","B",1
"31","B",1.42
"32","B",1.43
"33","B",1.22
"34","B",1.45
"35","B",1.05
"36","B",1.17
"37","B",1.05
"38","B",1.16
"39","B",1.46
"40","B",1.51
"41","B",1.39
"42","B",1.36
"43","B",1.13
"44","B",0.93
"45","B",0.96
"46","B",1.21
"47","B",1.58
"48","B",1.55
