"","brand","type","time"
"1","A","Business",52.8
"2","A","Business",58
"3","A","Business",47.6
"4","A","Business",55.2
"5","A","Expensive home",52
"6","A","Expensive home",44
"7","A","Expensive home",43.4
"8","A","Expensive home",50.2
"9","A","Inexpensive home",41.6
"10","A","Inexpensive home",51.8
"11","A","Inexpensive home",46
"12","A","Inexpensive home",53.2
"13","B","Business",52.8
"14","B","Business",44.2
"15","B","Business",49
"16","B","Business",55.8
"17","B","Expensive home",53.4
"18","B","Expensive home",62
"19","B","Expensive home",49.6
"20","B","Expensive home",48.8
"21","B","Inexpensive home",44.8
"22","B","Inexpensive home",46
"23","B","Inexpensive home",48
"24","B","Inexpensive home",41.8
"25","C","Business",56.8
"26","C","Business",59.6
"27","C","Business",53.6
"28","C","Business",55
"29","C","Expensive home",47.6
"30","C","Expensive home",57.2
"31","C","Expensive home",55.6
"32","C","Expensive home",56.2
"33","C","Inexpensive home",49.3
"34","C","Inexpensive home",44.6
"35","C","Inexpensive home",56
"36","C","Inexpensive home",46.8
