"","lab","pt1","pt5"
"1","A",167,"."
"2","A",168,"."
"3","A",167,"."
"4","A",167,"."
"5","A",163.7,"."
"6","A",165.1,"."
"7","A",164.3,"."
"8","B",165.9,"."
"9","B",165.6,"."
"10","B",166,"."
"11","B",165.4,"."
"12","B",166,"."
"13","B",166.8,"."
"14","B",164,"."
"15","C",165,"163"
"16","C",160,"161"
"17","C",165,"161"
"18","C",162,"164"
"19","C",159,"165"
"20","C",163,"162"
"21","C",163,"163"
"22","D",163.9,"151.8"
"23","D",164.6,"154.7"
"24","D",165.8,"153.3"
"25","D",163.7,"152.9"
"26","D",164.5,"153.7"
"27","D",164.8,"154.3"
"28","D",163.7,"153.5"
