"","oven","uv"
"1","A",1.51
"2","A",1.49
"3","A",1.51
"4","A",1.53
"5","A",1.55
"6","A",1.53
"7","A",1.48
"8","A",1.48
"9","A",1.5
"10","A",1.52
"11","A",1.51
"12","A",1.5
"13","A",1.49
"14","A",1.48
"15","A",1.5
"16","A",1.49
"17","A",1.51
"18","A",1.49
"19","A",1.47
"20","A",1.47
"21","A",1.48
"22","A",1.5
"23","A",1.47
"24","A",1.48
"25","A",1.49
"26","A",1.5
"27","A",1.49
"28","A",1.53
"29","A",1.47
"30","A",1.53
"31","A",1.49
"32","B",1.56
"33","B",1.49
"34","B",1.46
"35","B",1.57
"36","B",1.53
"37","B",1.61
"38","B",1.55
"39","B",1.54
"40","B",1.46
"41","B",1.49
"42","B",1.51
"43","B",1.49
"44","B",1.51
"45","B",1.49
"46","B",1.49
"47","B",1.61
"48","B",1.55
"49","B",1.59
"50","B",1.54
"51","B",1.54
"52","B",1.56
"53","B",1.59
"54","B",1.56
"55","B",1.58
"56","B",1.52
"57","B",1.59
"58","B",1.56
"59","B",1.61
"60","B",1.55
