"","COUNTY","NBR","DIST","POP","PDEN","PHOME"
"1","BERKSHIRE",119,97,26.656,56,77
"2","FRANKLIN",84,62,22.26,45,81
"3","HAMPSHIRE",94,54,23.312,72,75
"4","HAMPDEN",105,52,18.9,94,69
"5","WORCESTER",351,20,82.836,98,64
"6","MIDDLESEX",357,14,66.759,231,47
"7","ESSEX",377,10,95.004,3252,47
"8","SUFFOLK",458,4,123.202,3042,6
"9","NORFOLK",241,14,62.901,235,49
"10","BRISTOL",158,14,29.704,151,60
"11","PLYMOUTH",139,16,32.526,91,68
"12","BARNSTABLE",78,44,16.692,93,76
"13","NANTUCKET",12,77,1.74,179,25
"14","DUKES",19,52,7.524,46,79
