"","N","F","L","W","K","IND","DEM","WR","WD","SD"
"1",109,0.102,-2.175,9.984,1,0,0,0,0,0
"2",35,0.115,-2.041,3.562,1,1,0,0,0,0
"3",33,0.214,-1.301,5.551,1,0,1,0,0,0
"4",75,0.258,-1.056,14.358,1,0,0,1,0,0
"5",50,0.544,0.176,12.403,1,1,0,1,0,0
"6",52,0.677,0.74,11.731,1,0,1,1,0,0
"7",70,0.606,0.431,16.713,1,0,0,0,1,0
"8",56,0.89,2.091,5.482,1,1,0,0,1,0
"9",189,0.975,3.664,4.607,1,0,1,0,1,0
"10",31,0.727,0.979,6.153,1,0,0,0,0,1
"11",56,0.893,2.122,5.351,1,1,0,0,0,1
"12",344,0.99,4.595,3.406,1,0,1,0,0,1
