"","POV","BLK","LAT","GVT","SVC","FED","XFR","POP"
"1",0,0.24595091,0.05464184,1,0,0,0,10.77158194
"2",0,0.01819709,0.31928891,0,0,0,0,9.61074827
"3",0,0.15107739,0.08731996,0,0,0,0,11.14030018
"4",0,0.01683822,0.20099575,0,1,0,0,9.79786774
"5",0,0,0.03069307,0,0,0,0,7.65381112
"6",1,0.00396098,0.52504256,0,0,0,0,10.31934294
"7",0,0.12886857,0.10480305,0,1,0,0,9.89326885
"8",1,0.01676613,0.38903097,0,0,0,0,8.90521821
"9",0,0.00583804,0.11177024,0,1,0,0,9.22002664
"10",0,0.04219216,0.07590002,0,0,0,0,8.43894332
"11",1,0.02784455,0.51221955,1,0,0,0,10.17473532
"12",0,0.00938652,0.13962454,0,1,0,0,8.68366762
"13",0,0,0.1509434,0,0,0,0,6.70073111
"14",0,0.02049722,0.09435335,0,0,0,0,9.6153387
"15",1,0.00858071,0.41372913,1,0,0,0,9.05866441
"16",1,0.03487179,0.18820513,0,0,0,0,7.61529834
"17",1,0.00024441,0.89160455,1,0,0,1,9.04770379
"18",0,0.04893474,0.10693364,0,0,0,0,10.44868562
"19",0,0.1757104,0.11997944,0,0,0,0,9.54576444
"20",0,0.01190581,0.1082106,0,0,0,0,10.06003536
"21",0,0.0282311,0.36322611,0,0,0,0,9.88534055
"22",0,0.00016982,0.0414367,0,1,0,0,9.42375677
"23",0,0.23718208,0.05066613,0,0,0,0,9.19779534
"24",0,0.00152486,0.05306496,0,0,0,0,8.82531494
"25",0,0.20040695,0.01244204,0,0,0,0,10.31441549
"26",1,0.02898712,0.46257219,0,0,0,0,9.14825218
"27",0,0.16688619,0.06324699,0,0,0,0,10.62092076
"28",0,0.05275538,0.14331317,0,1,0,1,8.73149779
"29",0,0.0030018,0.02421453,0,0,0,0,9.215759
"30",1,0.06474491,0.42004118,0,0,0,0,8.370316
"31",0,0.00117612,0.12408115,0,0,0,0,8.17338746
"32",0,0.02501809,0.11682001,0,0,0,0,9.20974019
"33",1,0.06364404,0.15770206,0,0,0,0,8.22746458
"34",0,0.16614932,0.15449545,0,1,0,0,9.85319376
"35",0,0.00074817,0.16437229,0,0,0,0,9.49899697
"36",1,0.00554649,0.38368679,0,0,0,0,7.98989937
"37",0,0.03537507,0.04409769,0,0,0,0,10.32303087
"38",1,0.08783784,0.16396396,0,1,0,0,7.7773736
"39",0,0.02721382,0.3399568,0,0,0,0,8.4696123
"40",0,0.00761297,0.49410609,0,0,0,0,8.36061735
"41",1,0.04,0.42784983,0,0,0,0,8.91009077
"42",0,0.00058737,0.71160059,0,0,0,0,8.15363749
"43",0,0.01852871,0.21207118,0,0,0,0,8.62772034
"44",1,0.04266629,0.42827167,0,0,0,0,9.60663018
"45",0,0.0175768,0.48677828,0,0,0,0,9.87349216
"46",0,0.08100791,0.01395252,0,0,0,1,8.4983501
"47",1,0.10382281,0.24257268,0,0,0,0,9.85527722
"48",1,0.043015,0.1878453,0,0,0,1,7.92696354
"49",1,0.00500578,0.83038121,1,0,0,1,9.30595354
"50",0,0.03296105,0.0356851,0,0,0,0,8.25009775
"51",1,0.00062213,0.8733183,0,0,0,1,9.50328358
"52",0,0.01977509,0.07459119,0,0,0,1,9.86856824
"53",1,0,0.52495622,0,0,0,0,7.69363356
"54",0,0.00623775,0.08690073,0,0,0,0,10.21587443
"55",1,0.26981079,0.10923468,1,0,0,1,9.78246804
"56",0,0.06478157,0.01924085,0,0,0,0,10.12243565
