"","Country.of.Origin","Estimated.Total.K.","Percent.of.Total"
"1","Turkey",2483.9,17.79
"2","Italy               ",1518.9,10.88
"3","Former Yugoslavia   ",1241.1,8.89
"4","Morocco             ",1178.1,8.4
"5","Caribbean           ",1000,7.16
"6","Portugal            ",925.7,6.63
"7","India               ",876.6,6.28
"8","Algeria             ",698.8,5
"9","Ireland             ",641,4.59
"10","Spain               ",572.5,4.1
"11","Pakistan            ",492.8,3.53
"12","Greece              ",402.9,2.89
"13","France              ",331.8,2.38
"14","Poland              ",328.7,2.35
"15","Tunisia             ",292.2,2.09
"16","Germany             ",280.7,2.01
"17","Iran                ",183.8,1.32
"18","Bangladesh          ",183.3,1.31
"19","Croatia             ",153.1,1.1
"20","Bosnia-Herzegovina  ",139.1,1
"21","Afghanistan         ",30,0.21
"22","Indonesia           ",9.5,0.07
