"","avgage","technology","badballots","size","Republican","npa","white","bla","his","int","new"
"1",49.91,"Votomatic",60,1118,543,196,1092,73,12,19,67
"2",56.93,"Votomatic",55,1566,928,308,1687,3,19,53,109
"3",52.28,"Votomatic",67,1487,712,228,1531,9,16,42,51
"4",58.25,"Votomatic",36,849,416,160,933,1,6,39,63
"5",55.95,"Votomatic",33,595,268,123,636,7,11,15,40
"6",43.62,"Votomatic",40,1374,676,240,1344,27,31,57,69
"7",52.72,"Votomatic",46,1159,669,183,1199,6,11,15,53
"8",63.2,"Votomatic",30,992,608,197,1120,1,8,39,50
"9",47.74,"Votomatic",10,566,239,114,560,3,15,14,38
"10",60.05,"Votomatic",92,1279,479,169,1225,23,94,25,64
"11",56.96,"Votomatic",15,965,660,168,1073,3,3,17,36
"12",48.17,"Votomatic",35,1480,827,206,1525,25,23,44,50
"13",48.02,"Votomatic",29,514,215,91,426,17,65,7,35
"14",50.26,"Votomatic",69,723,209,122,575,41,80,17,49
"15",72.33,"Votomatic",151,1745,503,226,1912,6,15,30,51
"16",67.81,"Votomatic",31,996,795,140,1129,50,1,29,27
"17",48.34,"Votomatic",44,1080,578,171,1037,111,14,16,55
"18",57.4,"Votomatic",33,1060,685,201,1198,4,14,27,56
"19",77.65,"Votomatic",64,561,94,70,628,4,9,8,28
"20",78.44,"Votomatic",55,532,88,59,588,2,7,5,23
"21",79.87,"Votomatic",122,898,93,71,1009,1,5,21,22
"22",79.02,"Votomatic",80,658,93,67,704,2,8,12,29
"23",75.09,"Votomatic",134,1459,234,216,1600,1,6,18,33
"24",54,"Votomatic",23,498,220,58,454,9,46,6,14
"25",48.86,"Votomatic",24,547,238,84,450,46,38,7,25
"26",75.05,"Votomatic",110,1059,354,132,1132,7,15,24,28
"27",65.29,"Votomatic",46,1102,765,141,1208,2,10,25,41
"28",72.03,"Votomatic",118,1414,350,198,1578,4,19,38,40
"29",53.27,"Votomatic",64,908,275,162,782,88,30,16,85
"30",50.54,"Votomatic",32,1287,601,216,1264,23,27,43,67
"31",46.86,"Votomatic",40,1286,548,189,1200,45,40,16,86
"32",64.1,"Votomatic",5,344,371,30,464,3,1,8,7
"33",64.47,"Votomatic",17,421,255,68,490,7,1,10,13
"34",50.6,"Votomatic",10,29,2,3,3,27,1,2,5
"35",51.85,"Votomatic",25,169,71,18,136,8,17,2,9
"36",50.35,"Votomatic",54,627,268,44,405,188,71,5,41
"37",48.6,"Votomatic",23,159,7,12,6,142,4,2,11
"38",52.04,"Votomatic",20,549,285,92,611,3,5,21,19
"39",54.82,"Votomatic",22,556,287,93,583,5,6,12,20
"40",47.53,"Votomatic",14,595,290,111,605,7,6,20,30
"41",49.69,"Votomatic",31,1234,771,221,1297,3,13,41,86
"42",78.36,"Votomatic",56,516,74,54,581,1,6,14,24
"43",54.42,"Votomatic",91,1617,711,270,1654,58,32,42,75
"44",53.32,"Votomatic",43,1263,608,196,1316,12,22,26,48
"45",73.47,"Votomatic",8,83,38,7,88,3,6,2,12
"46",72.24,"Votomatic",25,273,102,41,285,3,1,9,5
"47",52.28,"Votomatic",44,1265,598,190,1281,8,28,21,47
"48",56.93,"Votomatic",12,286,124,40,306,2,25,10,7
"49",57.43,"Votomatic",43,1106,586,168,1195,31,25,42,47
"50",54.11,"Votomatic",30,1190,760,169,1287,4,8,23,66
"51",53.56,"Votomatic",36,1300,693,206,1411,6,15,24,44
"52",66.64,"Votomatic",46,872,534,139,1024,7,6,40,30
"53",60.97,"Votomatic",43,1158,678,278,1317,2,6,47,56
"54",62.59,"Votomatic",15,582,363,136,675,2,4,26,26
"55",57.37,"Votomatic",56,1230,653,243,1336,2,3,29,69
"56",58.73,"Votomatic",25,676,365,155,741,38,4,28,50
