"","X1","CHLEG010","LEGHUANG","X.2697","X.2697.1","X2","X1.1","X1.2","X0","X0.1","X2.1","X3","X2.2","X3.1","X2.3"
"1",2,"CHLEG020","LEGHUANG",-2697,-2697,2,2,2,0,0,2,5,1,2,1
"2",3,"CHLEG030","LEGSHAOH",-2515,-2514,2,2,2,0,0,2,5,1,2,1
"3",4,"CHLEG040","SHUQIRLE",-2435,-2435,2,1,1,0,0,1,5,1,2,NA
"4",5,"CHLEG050","CYOUKUAI",-2419,-2419,2,2,2,0,0,2,6,1,2,2
"5",6,"CHLEG060","RONGSJUN",-2280,-2280,3,1,3,1,1,2,5,1,2,1
"6",7,"CHLEG070","YUTHEGRE",-2222,-2222,2,2,2,0,0,2,5,1,1,1
"7",8,"CHLEG080","QIYOUHU",-2195,-2195,2,1,1,0,0,1,9,2,2,2
"8",9,"CHLEG090","WUGUANR",-2182,-2182,2,1,1,0,0,1,9,2,2,2
"9",10,"CHLEG100","YUXIAHOU",-2181,-2181,2,2,2,0,0,2,8,2,2,1
"10",11,"CHLEG110","FTAIKANG",-2180,-2180,2,2,2,0,0,2,9,2,2,1
"11",12,"CHXIA010","HUAIYI",-2146,-2146,2,2,2,0,0,2,9,2,2,1
"12",13,"CHXIA020","XIAFENGY",-2145,-2145,3,2,2,1,1,2,9,2,2,1
"13",14,"CHXIA030","FXIAEMPE",-2118,-2118,2,2,2,0,0,2,9,2,2,1
"14",15,"CHXIA040","XIASHAOK",-2079,-2079,2,2,2,0,0,2,9,1,2,1
"15",16,"CHXIA050","BUXIANGX",-1974,-1974,2,1,1,0,0,2,9,2,2,4
"16",17,"CHXIA060","YINXIAPI",-1945,-1945,2,1,1,0,0,2,9,2,2,4
"17",18,"CHXIA070","XIAEMINS",-1804,-1804,2,1,1,0,0,2,9,2,2,4
"18",19,"CHXIA080","SHANGCJI",-1797,-1797,2,1,1,0,0,2,10,4,2,2
"19",20,"CHXIA090","SHANGCYO",-1797,-1797,2,1,1,0,0,2,10,4,2,2
"20",21,"CHXIA100","SHANGCWE",-1792,-1792,2,1,1,0,0,2,10,4,2,2
"21",22,"CHXIA110","SHANGCKU",-1781,-1781,2,1,1,0,0,2,10,4,2,2
"22",23,"CHXIA120","SHANGCGU",-1769,-1769,2,1,1,0,0,2,10,4,2,2
"23",24,"CHXIA130","SHANGCWE",-1769,-1769,2,1,1,0,0,2,10,4,2,2
"24",25,"CHXIA140","SHANGCKU",-1769,-1769,2,1,1,0,0,2,10,4,2,2
"25",26,"CHXIA150","SHANGCXI",-1770,-1766,2,1,1,0,0,2,10,4,3,2
"26",27,"CHSHA010","SHANGLAN",-1556,-1556,2,2,2,0,0,2,9,3,2,1
"27",28,"CHSHA020","SHANGCPI",-1531,-1531,2,1,2,0,0,2,9,3,3,2
"28",29,"CHSHA030","SHANGLAN",-1530,-1530,2,2,2,0,0,2,9,3,2,1
"29",30,"CHSHA040","SHANGXIA",-1529,-1529,2,2,2,0,0,2,9,3,2,1
"30",31,"CHSHA050","SHANGOTH",-1499,-1499,4,2,2,1,3,2,9,3,2,1
"31",32,"CHSHA060","SHANGOTH",-1494,-1494,4,2,2,1,3,2,9,3,2,1
"32",33,"CHSHA070","SHANGEWE",-1405,-1405,2,2,2,0,0,2,8,3,2,1
"33",34,"CHSHA080","SHANGTAR",-1292,-1289,2,2,2,0,0,2,8,3,2,1
"34",35,"CHSHA090","SHANGCDA",-1281,-1281,2,1,1,0,0,2,10,3,2,2
"35",36,"CHSHA100","SHANGCSH",-1274,-1274,2,1,1,0,0,2,10,3,2,2
"36",37,"CHSHA110","SHANGWES",-1246,-1246,2,2,2,0,0,2,8,3,2,1
"37",38,"CHSHA120","SHANGCCH",-1174,-1174,3,1,1,1,1,2,10,4,2,2
"38",39,"CHSHA130","YIQUSHAN",-1168,-1168,3,1,1,1,1,2,10,4,2,2
"39",40,"CHSHA140","SHANGNOR",-1167,-1167,3,2,2,1,1,2,8,4,2,1
"40",41,"CHSHA150","SHANGWES",-1163,-1163,3,2,2,1,1,2,8,4,2,1
"41",42,"CHSHA160","SHANGWES",-1161,-1161,3,2,2,1,1,2,8,4,2,1
"42",43,"CHSHA170","SHANGWES",-1159,-1159,3,2,2,1,1,2,8,4,2,1
"43",44,"CHSHA180","SHANGWES",-1156,-1156,3,2,2,1,1,2,8,4,2,1
"44",45,"CHSHA190","SHANGWES",-1152,-1152,3,2,2,1,1,2,8,4,2,1
"45",46,"CHSHA200","ZHOUSINE",-1145,-1145,2,1,1,0,0,2,10,4,2,4
"46",47,"CHSHA210","WENWANGS",-1137,-1137,3,1,1,1,1,2,10,4,2,4
"47",48,"CHSHA220","SHANGCMI",-1125,-1125,3,1,1,1,1,2,10,4,2,2
"48",49,"CHSHA230","CCHONGSH",-1124,-1124,3,1,1,1,1,2,10,4,2,2
"49",50,"CHSHA240","ZHOUSHAN",-1124,-1124,3,1,1,1,1,2,10,4,2,2
"50",51,"CHSHA250","SHANGEKU",-1123,-1123,3,2,2,1,1,2,9,4,2,1
"51",52,"CHSHA260","KUNYIESH",-1123,-1123,3,2,2,1,1,2,9,4,2,1
"52",53,"CHSHA270","FSHANGDY",-1122,-1120,9,1,1,1,9,2,10,4,3,2
"53",54,"CHWZH010","ZHOUCTAN",-1107,-1107,2,1,1,0,0,2,10,3,2,2
"54",55,"CHWZH020","ZHOUPUGU",-1106,-1106,2,1,1,0,0,2,10,3,2,2
"55",56,"CHWZH030","GUANCAIR",-1105,-1101,2,1,1,0,0,1,NA,3,NA,NA
"56",57,"CHWZH040","ZHOURONG",-1102,-1102,2,2,2,0,0,2,8,3,2,1
"57",58,"CHWZH050","QINZHOUQ",-1101,-1101,2,1,1,0,0,2,10,3,2,2
"58",59,"CHWZH060","ZHOUCHU",-1036,-1036,2,1,1,0,0,2,10,3,3,1
"59",60,"CHWZH070","ZHOUEDOG",-989,-989,5,2,2,1,6,2,8,3,2,1
"60",61,"CHWZH080","ZHOUEWES",-988,-988,3,2,2,1,1,2,8,3,2,1
"61",62,"CHWZH090","XURONGSJ",-988,-988,2,2,2,0,0,2,8,3,2,1
"62",63,"CHWZH100","BIZHOUZH",-987,-987,2,1,1,0,0,2,10,3,1,4
"63",64,"CHWZH110","ZHOUXURO",-987,-987,2,2,2,0,0,2,8,3,2,1
"64",65,"CHWZH120","ZHOUDOGR",-984,-984,2,2,2,0,0,2,8,3,2,1
