"","State","FDR","PRE.DEP","POST.DEP","FARM"
"1","                Alabama             ",1,323,162,4067
"2","                Arizona             ",1,600,321,6100
"3","                Arkansas            ",1,310,157,8134
"4","                California          ",1,991,580,83371
"5","                Colorado            ",1,634,354,10167
"6","                Connecticut         ",0,1024,620,10167
"7","                Delaware            ",0,1032,590,3050
"8","                District of Columbia",1,1269,1054,0
"9","                Florida             ",1,518,319,14234
"10","                Georgia             ",1,347,200,10167
"11","                Idaho               ",1,507,274,7117
"12","                Illinois            ",1,948,486,27451
"13","                Indiana             ",1,607,310,11184
"14","                Iowa                ",1,581,297,28468
"15","                Kansas              ",1,532,266,22368
"16","                Kentucky            ",1,393,211,8134
"17","                Louisiana           ",1,414,241,10167
"18","                Maine               ",0,601,377,6100
"19","                Maryland            ",1,768,512,14234
"20","                Massachusetts       ",1,906,613,14234
"21","                Michigan            ",1,790,394,14234
"22","                Minnesota           ",1,599,363,25418
"23","                Mississippi         ",1,286,127,4067
"24","                Missouri            ",1,621,365,15251
"25","                Montana             ",1,592,339,10167
"26","                Nebraska            ",1,596,307,17284
"27","                Nevada              ",1,868,550,4067
"28","                New Hampshire       ",0,686,427,3050
"29","                New Jersey          ",1,918,587,18301
"30","                New Mexico          ",1,410,208,5084
"31","                New York            ",1,1152,1676,38635
"32","                North Carolina      ",1,332,187,8134
"33","                North Dakota        ",1,382,176,14234
"34","                Ohio                ",1,771,400,18301
"35","                Oklahoma            ",1,455,216,9150
"36","                Oregon              ",1,668,379,11184
"37","                Pennsylvania        ",0,772,449,25418
"38","                Rhode Island        ",1,874,575,2033
"39","                South Carolina      ",1,271,159,7117
"40","                South Dakota        ",1,426,189,8134
"41","                Tennessee           ",1,378,198,6100
"42","                Texas               ",1,479,266,33552
"43","                Utah                ",1,551,305,4067
"44","                Vermont             ",0,634,365,5084
"45","                Virginia            ",1,434,284,15251
"46","                Washington          ",1,741,402,14234
"47","                West Virginia       ",1,460,257,6100
"48","                Wisconsin           ",1,673,362,21351
"49","                Wyoming             ",1,675,374,5084
