"","race","educatn","employm","SES","married","num.chld","military","pr.arrst","plea","sentence","defense","dp.sght","jdge.dec","pen.phse","did.appl","out.appl","vict.sex","pr.incrc","vict.age","vict.rel","vict.st1","vict.st2","specialA","methodA","num.kill","num.prps","def.age","aggrevat","bloody","fam.lov","insane","mitcir","num.depr","rape"
"1",1,2,0,0,0,1,1,0,0,0,1,1,0,0,0,9,1,2,0,0,1,9,0,1,1,0,5,0,0,0,0,1,0,0
"3",0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,4,1,2,0,1,0,9,1,1,1,0,5,0,0,1,0,1,0,0
"6",0,1,0,0,1,9,1,0,0,0,2,1,0,0,1,4,1,2,0,0,0,9,0,1,1,0,5,0,0,0,0,1,0,0
"7",1,2,0,1,1,5,0,1,0,1,2,1,0,0,1,2,1,2,0,0,0,9,0,1,1,1,2,0,0,0,0,1,0,0
"8",1,3,0,1,0,1,0,0,0,1,1,1,0,0,1,2,1,2,0,0,0,9,0,1,1,1,2,0,0,0,0,1,0,0
"14",0,1,0,0,1,1,-1,0,0,0,2,1,0,0,0,9,1,2,0,0,0,9,0,2,1,0,3,0,0,0,0,1,1,0
"15",0,1,1,1,0,4,1,0,0,0,1,1,0,0,0,9,1,1,0,0,0,9,1,1,1,0,6,0,0,0,0,1,0,0
"16",0,3,1,0,0,0,1,1,0,0,1,1,0,0,1,4,2,1,0,1,0,9,1,1,1,0,5,0,0,1,0,1,0,0
"17",1,1,0,1,1,7,1,0,0,0,1,2,0,1,0,9,1,2,0,0,0,9,1,1,1,0,5,0,0,1,0,1,1,0
"18",0,1,0,0,1,4,-1,1,0,0,2,1,0,0,1,4,1,1,0,0,0,9,0,1,1,4,3,0,0,0,0,1,0,0
"19",0,2,0,1,0,4,1,0,0,0,2,1,0,0,0,9,1,2,0,0,0,17,0,1,1,3,5,0,0,0,0,1,1,0
"22",1,2,0,1,0,1,0,1,0,0,2,1,0,0,1,4,1,2,0,0,0,9,0,1,1,2,2,0,0,0,0,1,1,0
"23",1,1,1,1,1,6,1,1,0,0,1,1,0,0,0,9,1,1,0,0,0,9,0,1,1,0,5,0,0,0,0,1,0,0
"24",1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,7,1,2,0,0,0,9,0,3,1,1,2,1,1,0,0,1,0,0
"26",0,2,0,0,1,2,1,4,0,0,2,1,0,0,0,9,2,2,0,1,0,9,1,1,1,0,4,0,0,1,0,1,1,0
"28",1,3,0,1,0,3,1,2,0,0,2,1,0,0,0,9,1,1,0,0,0,9,1,1,1,1,4,0,0,0,0,1,0,0
"29",1,2,0,1,1,2,-1,1,0,0,2,1,0,0,0,9,1,2,0,0,0,9,1,1,1,0,4,0,0,1,0,1,0,0
"30",1,2,1,1,1,0,1,3,0,0,2,2,0,1,1,4,1,2,0,0,0,9,1,1,1,1,5,0,0,0,0,1,0,0
"31",0,1,0,0,0,1,1,12,0,0,2,1,0,0,0,9,1,2,0,0,0,9,1,1,1,2,3,0,0,0,0,1,2,0
"33",0,2,1,1,1,5,1,7,0,0,1,1,0,0,1,4,1,2,0,0,0,9,1,1,1,0,4,0,0,0,0,1,0,0
"39",1,2,1,1,1,1,0,0,0,0,1,1,0,0,0,9,1,2,0,0,0,9,0,1,1,0,3,0,0,0,0,1,1,0
"41",0,1,1,0,0,2,1,0,0,0,1,1,0,0,0,9,2,2,0,0,1,9,0,1,1,0,1,0,0,0,0,1,0,1
"42",0,3,1,0,1,0,0,0,0,0,1,1,0,0,1,4,1,2,0,0,0,9,0,1,1,0,3,0,0,0,0,1,0,0
"43",0,1,0,0,1,7,1,14,0,0,1,1,0,0,0,9,1,1,0,0,0,9,0,1,1,1,5,0,0,0,0,1,0,0
"44",1,1,1,1,1,2,1,0,0,0,1,1,0,0,1,7,2,1,0,1,0,9,1,1,1,0,4,0,0,1,0,1,0,0
"47",0,3,1,0,1,2,1,0,0,0,1,1,0,0,1,4,1,1,0,1,0,9,0,19,1,1,6,0,0,0,0,0,1,0
"49",0,2,1,1,0,3,1,0,0,0,2,1,0,0,1,4,2,2,0,1,0,9,0,1,1,0,4,0,0,1,0,1,0,0
"50",1,1,0,0,0,7,1,0,0,1,2,1,0,0,0,9,1,2,0,0,0,9,0,1,1,1,2,0,0,0,0,1,1,0
"51",1,2,0,1,0,0,1,0,0,0,1,2,0,1,0,9,1,1,0,0,1,9,0,2,1,5,4,0,0,0,0,1,1,0
"52",0,1,1,1,1,4,0,2,0,0,1,1,1,0,1,4,1,2,0,0,0,9,1,1,1,0,3,0,0,0,1,1,0,0
"53",1,2,0,1,0,0,1,7,0,0,2,1,1,0,1,4,2,1,0,1,0,9,1,24,1,2,3,0,1,0,0,0,1,0
"54",1,1,0,1,0,2,1,2,0,0,1,2,0,1,1,4,1,2,0,0,0,9,0,1,1,1,3,0,0,0,0,1,0,0
"56",1,3,1,0,0,1,0,0,0,1,2,2,0,1,1,2,1,2,0,0,1,9,0,1,1,0,3,0,0,0,0,1,0,0
"57",0,3,1,0,1,2,1,4,0,0,1,1,0,0,1,4,1,2,0,0,0,9,1,1,1,2,5,0,0,0,0,1,0,0
"60",1,3,1,1,0,2,1,0,0,0,1,1,0,0,1,4,2,2,0,1,0,9,1,10,1,0,3,1,0,1,0,1,1,0
"62",0,3,0,0,0,2,0,15,0,1,2,2,0,1,1,2,1,1,0,0,0,9,0,1,1,1,4,0,0,0,0,0,0,0
"63",1,2,1,1,0,1,-1,3,0,0,2,1,0,0,0,9,1,2,0,0,0,9,0,1,1,0,3,0,0,0,0,1,1,0
"64",1,3,1,1,1,1,1,2,0,0,2,1,0,0,1,4,1,2,0,0,0,9,0,1,1,3,3,0,0,0,0,1,0,0
"65",1,3,0,0,0,1,1,1,0,1,2,2,0,1,0,9,1,2,0,0,0,9,0,1,1,4,3,0,0,0,0,1,0,0
"66",1,2,1,1,1,1,0,7,0,0,2,1,0,0,0,9,1,1,0,0,0,9,0,1,1,1,4,0,0,0,0,1,0,0
"67",0,3,1,1,0,4,1,7,0,0,1,1,0,0,0,9,2,2,0,1,0,9,1,22,1,0,5,0,0,1,0,1,0,0
"69",1,2,1,1,0,4,-1,1,0,1,2,2,0,1,0,9,1,1,0,0,1,9,0,1,1,0,3,0,0,0,0,1,1,0
"71",0,1,1,1,1,5,-1,6,0,0,2,1,0,0,1,4,1,1,0,0,0,9,1,2,1,0,4,0,0,0,0,1,0,0
"72",0,2,0,0,0,0,1,0,0,0,1,1,0,0,1,4,1,2,0,0,0,9,0,1,1,0,2,0,0,0,0,1,0,0
"75",1,2,1,1,1,3,0,1,0,1,2,2,0,1,1,1,1,2,0,0,0,9,0,1,1,2,3,0,0,0,0,1,1,0
"76",0,3,1,0,1,1,0,0,0,1,1,2,0,1,1,1,2,2,0,1,0,9,1,3,1,1,3,1,1,0,0,0,2,0
"77",0,3,1,0,0,1,1,1,0,1,2,2,0,1,1,1,2,2,0,0,0,9,1,1,1,1,1,0,0,0,0,1,1,1
"78",0,2,1,1,1,3,1,4,0,0,1,2,1,0,1,4,2,2,0,1,0,9,1,8,1,0,4,0,0,1,0,1,2,0
"80",1,2,1,0,0,0,1,0,0,0,1,1,0,0,1,4,1,1,0,1,0,9,1,2,1,0,5,0,1,1,0,1,1,0
"81",1,3,0,0,0,1,1,1,0,1,1,2,0,1,1,1,1,2,1,0,0,9,1,1,1,2,2,0,0,0,0,0,2,0
"82",1,2,0,0,0,1,0,7,0,1,2,2,0,1,1,1,1,1,1,0,0,9,1,1,1,2,3,0,0,0,0,0,2,0
"83",0,1,0,1,0,1,1,0,0,0,2,1,0,0,1,4,2,2,0,1,0,9,1,8,1,0,2,0,0,1,0,1,1,0
"86",1,1,0,0,1,2,0,3,0,1,2,2,0,1,1,1,2,1,0,0,0,9,1,3,2,1,5,1,1,0,0,0,5,1
"87",0,3,0,0,1,4,1,2,0,0,2,1,0,0,1,4,1,2,0,1,0,9,1,18,1,0,4,0,0,0,0,0,0,0
"88",0,3,0,1,0,0,1,0,0,0,1,1,0,0,1,4,1,2,0,1,0,9,1,2,1,1,2,0,0,1,0,1,0,0
"89",0,1,1,0,0,2,1,2,0,0,1,1,0,0,1,4,1,1,0,1,1,9,1,2,1,1,4,0,0,1,0,1,0,0
"90",0,1,1,0,1,1,-1,9,0,0,2,1,0,0,1,4,2,1,0,0,0,9,1,3,1,0,5,1,1,1,0,1,0,0
"91",0,3,1,1,0,0,0,1,0,0,2,1,0,0,1,4,1,2,0,0,0,9,1,1,1,1,2,0,0,0,0,1,0,0
"92",1,1,0,1,0,1,1,9,0,0,2,1,0,0,1,4,1,1,0,0,0,9,0,1,1,3,4,0,0,0,0,0,0,0
"93",0,3,1,1,0,0,1,0,0,0,1,2,0,1,1,4,1,2,0,0,0,9,0,1,1,1,4,0,0,0,0,1,0,0
"94",0,1,1,0,1,4,1,1,0,0,1,1,0,0,1,4,1,2,0,1,0,9,0,3,1,4,5,1,1,0,0,1,2,0
"95",0,1,1,1,0,0,0,4,0,0,2,2,0,1,0,4,1,1,0,0,0,9,0,1,1,2,3,0,0,0,0,0,0,0
"96",1,3,1,1,1,1,0,2,0,0,2,1,0,0,1,4,2,1,0,0,0,9,1,2,1,0,4,0,1,1,0,1,1,0
"97",0,1,1,1,0,2,0,2,0,0,2,1,0,0,1,4,2,2,0,1,0,9,1,1,1,0,5,0,1,1,0,1,1,0
"99",0,3,1,1,0,1,1,1,0,0,1,1,0,0,1,4,2,2,0,1,0,9,1,1,1,0,4,0,0,1,0,1,0,0
"100",1,3,0,0,0,1,0,2,0,1,2,2,0,1,1,1,1,2,1,0,0,9,1,1,1,2,2,0,0,0,0,0,2,0
"102",0,1,1,1,1,2,0,5,0,0,1,1,0,0,1,4,1,1,1,0,0,9,1,1,1,3,2,0,0,0,0,1,1,0
"103",0,3,0,1,1,4,1,8,0,1,1,2,0,1,1,2,1,2,0,0,0,9,0,1,2,0,4,1,0,0,0,1,1,0
"104",0,3,1,1,1,1,0,12,0,0,2,2,0,1,1,4,1,1,0,0,0,9,0,1,1,1,5,0,0,0,0,0,0,0
"105",0,3,0,1,0,1,1,3,0,0,2,2,0,1,0,9,1,1,0,0,0,9,0,1,1,1,2,0,0,0,0,1,0,0
"106",0,3,1,0,1,2,1,2,0,0,1,1,0,0,1,4,1,2,0,0,0,9,0,1,1,3,5,0,0,0,0,1,0,0
"107",1,1,0,0,0,1,-1,2,0,0,2,1,0,0,1,4,1,1,0,0,1,9,1,1,1,3,3,0,0,0,0,1,0,0
"108",0,2,1,1,0,1,1,1,0,0,2,2,0,1,0,9,1,1,0,0,0,9,1,1,1,0,3,0,0,0,0,1,1,0
"109",1,3,0,1,1,1,0,1,0,0,1,1,0,0,1,4,1,2,0,0,0,9,0,1,1,3,4,0,1,0,0,0,0,0
"110",0,3,0,1,0,0,1,1,0,0,1,1,0,0,1,5,1,2,1,0,0,9,1,4,1,0,3,0,0,0,0,1,2,0
"112",0,2,0,0,1,2,-1,0,0,1,2,2,0,1,1,2,1,2,0,0,0,17,0,14,1,1,2,1,0,0,0,0,3,0
"113",0,2,1,0,1,2,-1,0,0,1,2,2,0,1,1,1,1,2,0,0,0,17,0,14,1,1,2,1,0,0,0,0,3,0
"114",0,1,0,0,0,1,0,3,0,1,2,2,0,1,1,2,1,2,0,0,0,17,0,14,1,1,3,1,0,0,0,0,3,0
"115",0,1,1,0,1,4,0,3,0,1,2,2,0,1,1,1,1,2,0,0,0,17,0,14,1,1,3,1,0,0,0,0,3,0
"118",0,3,0,0,0,0,0,0,0,1,2,2,0,1,1,1,1,2,0,0,0,9,1,1,1,2,1,0,0,0,0,0,1,0
"119",1,3,1,1,1,1,0,8,0,1,1,2,0,1,1,1,1,2,0,0,0,9,0,1,1,2,4,0,0,0,0,1,1,0
"121",0,3,0,1,0,0,0,0,0,1,2,2,0,1,1,1,2,2,0,0,0,9,1,2,1,0,2,0,1,0,0,0,2,1
"122",0,2,0,0,0,1,0,3,0,1,1,2,0,1,1,1,1,2,0,0,0,9,0,2,1,1,2,1,0,0,0,0,2,0
"123",0,3,1,1,0,0,1,1,0,0,2,2,0,1,0,9,1,2,0,0,0,9,0,2,1,1,2,1,0,0,0,0,2,0
"125",1,3,0,0,1,1,1,4,0,1,2,2,0,1,1,1,1,2,0,0,1,9,1,1,1,0,5,0,0,0,0,1,1,0
"127",0,1,0,1,0,0,1,2,0,1,2,2,0,1,1,2,2,2,0,0,0,9,1,24,1,0,3,0,0,0,0,1,3,1
"128",0,2,0,0,1,0,1,9,0,0,1,1,0,0,1,4,1,1,0,0,0,9,0,1,1,3,4,0,0,0,0,1,1,0
"129",0,1,0,0,1,3,0,6,0,0,2,1,0,0,1,4,1,1,0,0,0,9,0,1,1,3,4,0,0,0,0,1,1,0
"130",0,3,1,1,0,0,-1,3,0,0,2,2,0,1,1,4,1,1,0,0,0,20,0,1,1,2,3,0,0,0,0,1,0,0
"131",0,3,1,1,0,2,0,12,0,0,2,1,0,0,1,4,1,2,0,1,0,9,1,3,1,0,4,1,0,0,0,0,0,0
"132",1,1,1,1,0,1,0,4,0,1,2,2,0,1,1,1,2,1,0,0,0,9,1,1,1,0,3,0,1,0,0,0,1,1
"133",1,1,1,1,1,2,-1,0,0,0,2,1,0,0,1,1,1,2,0,0,0,9,1,1,1,0,4,0,0,1,0,1,0,0
"135",0,1,1,1,0,0,0,0,0,0,2,2,1,0,1,4,2,2,0,0,0,9,1,8,1,0,3,0,0,0,1,0,1,0
"137",1,1,1,1,0,0,0,0,0,1,2,2,0,1,1,1,1,2,0,0,0,9,1,1,1,0,3,0,0,0,0,1,0,0
"138",1,2,0,0,1,2,0,6,0,1,1,2,0,0,1,1,1,2,0,0,0,9,1,1,2,0,3,1,0,0,0,0,1,0
"140",1,3,0,1,1,0,0,5,0,1,1,2,0,1,1,1,1,2,0,0,1,9,0,1,1,3,4,0,0,0,0,0,0,0
