"","X","EXECUTIONS","INCOME","PERPOVERTY","PERBLACK","VC100k96","SOUTH","PROPDEGREE"
"1","Texas",37,34453,16.7,12.2,644,1,0.1616922
"2","Virginia",9,41534,12.5,20,351,1,0.2743522
"3","Missouri",6,35802,10.6,11.2,591,0,0.2091121
"4","Arkansas",4,26954,18.4,16.1,524,1,0.1575223
"5","Alabama",3,31468,14.8,25.9,565,1,0.1911943
"6","Arizona",2,32552,18.8,3.5,632,0,0.2460263
"7","Illinois",2,40873,11.6,15.3,886,0,0.2527625
"8","South.Carolina",2,34861,13.1,30.1,997,1,0.2101051
"9","Colorado",1,42562,9.4,4.3,405,0,0.3098971
"10","Florida",1,31900,14.3,15.4,1051,1,0.2365145
"11","Indiana",1,37421,8.2,8.2,537,0,0.1949093
"12","Kentucky",1,33305,16.4,7.2,321,0,0.1639234
"13","Louisiana",1,32108,18.4,32.1,929,1,0.1759413
"14","Maryland",1,45844,9.3,27.4,931,0,0.2921492
"15","Nebraska",1,34743,10,4,435,0,0.244688
"16","Oklahoma",1,29709,15.2,7.7,597,0,0.2108696
"17","Oregon",1,36777,11.7,1.8,463,0,0.2534725
