"","Substantiated.Abuse","Percent.Poverty","Total.Population"
"1",373,11.1,130.8
"2",131,8.5,33.603
"3",24,17.2,10.677
"4",16,17.8,25.275
"5",44,13.5,24.384
"6",30,15.3,17.167
"7",167,19.5,44.958
"8",54,23.5,19.763
"9",123,21,32.278
"10",152,12.6,73.143
"11",592,11.4,206.33
"12",501,10.7,89.145
"13",266,7.1,131.063
"14",401,10.7,77.415
"15",6,10.1,6.885
"16",121,10.7,59.383
"17",46,14.4,23.501
"18",536,9.1,141.686
"19",130,9.7,49.329
"20",89,15.3,24.298
"21",13,17.6,14.526
"22",23,11.4,8.775
"23",380,13.3,96.287
"24",97,22.7,54.749
"25",336,13.1,91.436
"26",1084,12.8,302.963
"27",74,10.7,18.19
"28",77,8,29.967
"29",488,10.1,147.246
"30",41,8.6,34.835
"31",199,19.4,49.063
"32",671,13.4,223.314
"33",100,19.6,55.606
"34",337,11,306.067
"35",104,12.6,47.26
"36",598,10.9,190.365
"37",8,17,10.516
"38",13,19.5,7.993
"39",76,11.7,48.498
"40",16,20.2,18.974
"41",1007,10.6,421.048
"42",126,23.9,57.37
"43",382,14.9,91.025
"44",209,11.5,54.033
"45",302,9.7,89.173
"46",23,18.3,22.601
"47",32,17.7,33.646
"48",15,15.4,5.826
"49",364,8.2,122.66
"50",68,15.1,33.121
"51",334,12.8,121.965
"52",15,16.9,10.381
"53",78,12.8,49.208
"54",151,16.6,59.636
"55",142,9.2,63.78
"56",42,12.6,29.811
"57",71,15.4,19.635
"58",42,20.2,25.593
"59",149,11.6,42.151
"60",1042,9.2,695.454
"61",39,13.8,15.687
"62",67,15.4,26.822
"63",180,11.4,74.769
"64",184,13.4,87.42
"65",668,13.1,160.327
"66",45,21.3,22.086
"67",732,12.9,150.355
"68",336,14.1,118.227
"69",17,15.3,12.934
"70",90,18.4,34.897
"71",96,13.6,41.082
"72",14,17.9,11.368
"73",52,12,35.623
"74",361,20.3,133.798
"75",30,10.1,18.324
"76",290,9.1,130.454
"77",162,19.6,46.564
"78",581,22.8,123.339
"79",128,12.8,91.928
"80",317,10.6,130.34
"81",140,13.9,62.899
"82",60,17.6,60.161
"83",80,20.6,35.998
"84",152,10.7,58.1
"85",124,9.1,44.711
"86",159,12.4,71.219
"87",15,18.3,12.968
"88",74,9.5,29.334
"89",2,23.3,4.149
"90",251,8.1,123.677
"91",141,20.5,42.954
"92",469,7.8,627.846
"93",48,19.4,19.972
"94",20,21.8,13.723
"95",48,17.9,42.695
"96",257,13.8,113.329
"97",175,11.9,65.632
"98",235,18.5,73.814
"99",84,10,36.348
"100",60,15.8,17.774
