"","Fund","Age","Status","Size...M."
"1","AIG Brunswick Millennium",3," Investing	",300
"2","Aqua International Partners",2," Investing",300
"3","Newbridge Andean Capital Partners",4," Investing",250
"4","PBO Property",1," Investing",240
"5","First NIS Regional",5," Investing",200
"6","South America Private Equity Growth",4," Investing",180
"7","Russia Partners",5," Investing",155
"8","South Asia Capital",3," Investing",150
"9","Modern Africa Growth and Investment",2," Investing",150
"10","India Private Equity",4," Investing ",140
"11","New Africa Opportunity",3," Investing",120
"12","Global Environmental Emerging II",2," Investing",120
"13","Bancroft Eastern Europe",3," Investing",100
"14","Agribusiness Partners International",4," Investing",95
"15","Caucus",1," Raising",92
"16","Asia Pacific Growth",7," Divesting",75
"17","Global Environmental Emerging I",5," Invested",70
"18","Poland Partners",5," Invested",64
"19","Emerging Europe",3," Investing",60
"20","West Bank/Gaza and Jordan",2," Raising",60
"21","Draper International India",3," Investing",55
"22","EnterArab Investment",3," Investing",45
"23","Israel Growth",5," Investing ",40
"24","Africa Growth",8," Divesting",25
"25","Allied Capital Small Business",4," Divesting",20
