"","year","Yugoslavia","Albania","Bulgaria","Czechoslovakia","German.Dem.Republic","Hungary","Poland","Rumania","USSR"
"1",1949,0,0.083,0.166,0,1,0.571,0.25,0.006,0.241
"2",1950,0,-0.077,0.142,0,0.833,0.909,0.286,0.305,0.194
"3",1951,0.498,-0.083,-0.043,0,0.864,0.476,0.22,0.234,0.163
"4",1952,0,0.109,-0.05,0,0.244,0.097,0.125,0.004,0.16
"5",1953,0,-0.131,-0.016,0,0.255,0.065,0,0.004,0
"6",1954,0,-0.226,0.139,0,0.266,0.066,-0.333,0.004,0
"7",1955,0.008,-0.049,0,0,0.296,0.057,0,0,0
"8",1956,0,-0.051,-0.103,0,0.038,0.054,0,-0.143,-0.121
"9",1957,0,-0.108,0.005,0,0.037,-0.977,0,-0.167,-0.118
"10",1958,0,-0.061,-0.13,0,-0.124,5,0,0.057,-0.133
"11",1959,0,-0.129,-0.144,0.212,-0.131,0.833,-0.333,0.054,-0.077
"12",1960,0,0,-0.175,0,0.291,0.455,0,0.051,0
"13",1961,0.032,0.037,0.017,-0.182,-0.099,0.438,0.275,-0.022,-0.167
"14",1962,-0.102,0.071,0.125,-0.254,-0.15,0.043,0.008,0.369,0.2
"15",1963,-0.114,0.167,0.096,0,0.365,0.125,0,-0.056,-0.083
"16",1964,-0.089,0.086,0.115,0.27,0.034,0.03,0.058,-0.017,-0.039
"17",1965,-0.108,0,0.012,0,0.017,0.036,0.018,-0.085,-0.076
"18",1966,0.146,0.368,0.024,0.085,0.574,0,0.173,-0.027,0.159
"19",1967,-0.085,-0.019,0,0.039,0.026,-0.049,-0.031,-0.112,0.022
"20",1968,-0.077,0,0.012,0,-0.005,0,0.013,0,0
"21",1969,-0.008,-0.02,-0.012,0,-0.036,-0.058,-0.031,-0.135,0.023
"22",1970,0.084,0.08,-0.029,-0.234,0.069,0.062,-0.071,-0.062,-0.004
"23",1971,-0.105,-0.222,-0.096,-0.064,-0.356,-0.27,-0.059,-0.116,-0.044
"24",1972,0,-0.167,0,0,0,0,0,0.125,0
"25",1973,0.043,0.086,0,0,0,0,0.037,-0.056,0.015
"26",1974,-0.042,0,0,0.053,0.154,0,0.071,0,0.029
"27",1975,0,0,0,0,-0.067,0.1,0,0,0.014
"28",1976,0.087,0.237,0.133,-0.1,0.143,-0.091,0,0.059,0.02
"29",1977,0.04,-0.043,-0.118,0,0,0,0.033,0,0.008
"30",1978,0.038,-0.089,0,0.056,0,0.1,0,0,-0.011
"31",1979,-0.037,0.049,0,0,0,-0.091,0.032,0,0.005
"32",1980,0,-0.047,0,0.053,0.013,-0.07,0,0.028,-0.025
"33",1981,-0.027,0.049,-0.007,-0.03,0.031,0.086,0,0,0.028
"34",1982,-0.008,0,-0.007,0.015,-0.006,0.05,0,-0.022,0.011
"35",1983,-0.044,-0.07,0.095,0.041,0.006,-0.009,0.063,0.05,-0.043
