"","State","Executions","Median.Income","Percent.Poverty","Percent.Black","Violent.Crime"
"1","Texas",37,NA,16.7,12.2,644
"2","Virginia",9,41534,12.5,20,351
"3","Missouri",6,35802,10.6,11.2,591
"4","Arkansas",4,26954,18.4,16.1,524
"5","Alabama",3,31468,14.8,25.9,565
"6","Arizona",2,32552,18.8,3.5,632
"7","Illinois",2,40873,11.6,15.3,886
"8","S.Carolina",2,34861,13.1,30.1,997
"9","Colorado",1,42562,9.4,4.3,405
"10","Florida",1,31900,14.3,15.4,1051
"11","Indiana",1,37421,8.2,8.2,537
"12","Kentucky",1,33305,16.4,7.2,321
"13","Louisiana",1,32108,18.4,32.1,929
"14","Maryland",1,45844,9.3,27.4,931
"15","Nebraska",1,34743,10,4,435
"16","Oklahoma",1,29709,15.2,7.7,597
"17","Oregon",1,36777,11.7,1.8,463
