"","PlateDay","Read","Description","Concentration","Signal"
"1","Plate 1 (Day 1)","1","Standard",500,2.751
"2","Plate 1 (Day 1)","1","Standard",500,2.588
"3","Plate 1 (Day 1)","1","Standard",200,1.38
"4","Plate 1 (Day 1)","1","Standard",200,1.351
"5","Plate 1 (Day 1)","1","Standard",80,0.713
"6","Plate 1 (Day 1)","1","Standard",80,0.746
"7","Plate 1 (Day 1)","1","Standard",32,0.462
"8","Plate 1 (Day 1)","1","Standard",32,0.466
"9","Plate 1 (Day 1)","1","Standard",12.8,0.375
"10","Plate 1 (Day 1)","1","Standard",12.8,0.356
"11","Plate 1 (Day 1)","1","Standard",5.12,0.335
"12","Plate 1 (Day 1)","1","Standard",5.12,0.335
"13","Plate 1 (Day 1)","1","Standard",2.048,0.318
"14","Plate 1 (Day 1)","1","Standard",2.048,0.287
"15","Plate 1 (Day 1)","1","BLANK",0,0.284
"16","Plate 1 (Day 1)","1","BLANK",0,0.295
"17","Plate 1 (Day 1)","1","Quality Control Samples",312.5,1.904
"18","Plate 1 (Day 1)","1","Quality Control Samples",312.5,1.968
"19","Plate 1 (Day 1)","1","Quality Control Samples",156.25,1.008
"20","Plate 1 (Day 1)","1","Quality Control Samples",156.25,1.068
"21","Plate 1 (Day 1)","1","Quality Control Samples",78.125,0.656
"22","Plate 1 (Day 1)","1","Quality Control Samples",78.125,0.673
"23","Plate 1 (Day 1)","1","Quality Control Samples",39.1,0.479
"24","Plate 1 (Day 1)","1","Quality Control Samples",39.1,0.503
"25","Plate 1 (Day 1)","1","Quality Control Samples",19.5,0.397
"26","Plate 1 (Day 1)","1","Quality Control Samples",19.5,0.391
"27","Plate 1 (Day 1)","1","Quality Control Samples",13,0.358
"28","Plate 1 (Day 1)","1","Quality Control Samples",13,0.343
"29","Plate 1 (Day 1)","1","Quality Control Samples",9.75,0.338
"30","Plate 1 (Day 1)","1","Quality Control Samples",9.75,0.318
"31","Plate 1 (Day 1)","1","Patient 1",NA,0.67
"32","Plate 1 (Day 1)","1","Patient 1",NA,0.601
"33","Plate 1 (Day 1)","1","Patient 2",NA,0.717
"34","Plate 1 (Day 1)","1","Patient 2",NA,0.657
"35","Plate 1 (Day 1)","1","Patient 3",NA,0.745
"36","Plate 1 (Day 1)","1","Patient 3",NA,0.705
"37","Plate 1 (Day 1)","1","Patient 4",NA,1.064
"38","Plate 1 (Day 1)","1","Patient 4",NA,1.018
"39","Plate 1 (Day 1)","1","Patient 5",NA,0.621
"40","Plate 1 (Day 1)","1","Patient 5",NA,0.658
"41","Plate 1 (Day 1)","1","Patient 6",NA,0.491
"42","Plate 1 (Day 1)","1","Patient 6",NA,0.488
"43","Plate 1 (Day 1)","2","Standard",500,2.756
"44","Plate 1 (Day 1)","2","Standard",500,2.577
"45","Plate 1 (Day 1)","2","Standard",200,1.391
"46","Plate 1 (Day 1)","2","Standard",200,1.35
"47","Plate 1 (Day 1)","2","Standard",80,0.715
"48","Plate 1 (Day 1)","2","Standard",80,0.749
"49","Plate 1 (Day 1)","2","Standard",32,0.461
"50","Plate 1 (Day 1)","2","Standard",32,0.468
"51","Plate 1 (Day 1)","2","Standard",12.8,0.375
"52","Plate 1 (Day 1)","2","Standard",12.8,0.359
"53","Plate 1 (Day 1)","2","Standard",5.12,0.337
"54","Plate 1 (Day 1)","2","Standard",5.12,0.336
"55","Plate 1 (Day 1)","2","Standard",2.048,0.319
"56","Plate 1 (Day 1)","2","Standard",2.048,0.289
"57","Plate 1 (Day 1)","2","BLANK",0,0.285
"58","Plate 1 (Day 1)","2","BLANK",0,0.295
"59","Plate 1 (Day 1)","2","Quality Control Samples",312.5,1.913
"60","Plate 1 (Day 1)","2","Quality Control Samples",312.5,1.962
"61","Plate 1 (Day 1)","2","Quality Control Samples",156.25,1.01
"62","Plate 1 (Day 1)","2","Quality Control Samples",156.25,1.067
"63","Plate 1 (Day 1)","2","Quality Control Samples",78.125,0.658
"64","Plate 1 (Day 1)","2","Quality Control Samples",78.125,0.678
"65","Plate 1 (Day 1)","2","Quality Control Samples",39.1,0.48
"66","Plate 1 (Day 1)","2","Quality Control Samples",39.1,0.504
"67","Plate 1 (Day 1)","2","Quality Control Samples",19.5,0.399
"68","Plate 1 (Day 1)","2","Quality Control Samples",19.5,0.391
"69","Plate 1 (Day 1)","2","Quality Control Samples",13,0.359
"70","Plate 1 (Day 1)","2","Quality Control Samples",13,0.351
"71","Plate 1 (Day 1)","2","Quality Control Samples",9.75,0.341
"72","Plate 1 (Day 1)","2","Quality Control Samples",9.75,0.32
"73","Plate 1 (Day 1)","2","Patient 1",NA,0.675
"74","Plate 1 (Day 1)","2","Patient 1",NA,0.606
