"","time","camp"
"1",-3435,37
"2",-3434,60
"3",-3433,71
"4",-3432,55
"5",-3431,53
"6",-3430,78
"7",-3429,53
"8",-3428,34
"9",-3427,54
"10",-3426,66
"11",-3425,63
"12",-3424,64
"13",-3423,81
"14",-3422,83
"15",-3421,82
"16",-3420,67
"17",-3419,61
"18",-3418,63
"19",-3417,45
"20",-3416,71
"21",-3415,67
"22",-3414,47
"23",-3413,47
"24",-3412,45
"25",-3411,59
"26",-3410,58
"27",-3409,68
"28",-3408,65
"29",-3407,74
"30",-3406,48
"31",-3405,22
"32",-3404,48
"33",-3403,40
"34",-3402,45
"35",-3401,33
"36",-3400,50
"37",-3399,47
"38",-3398,43
"39",-3397,52
"40",-3396,55
"41",-3395,41
"42",-3394,49
"43",-3393,53
"44",-3392,59
"45",-3391,49
"46",-3390,64
"47",-3389,64
"48",-3388,75
"49",-3387,63
"50",-3386,51
"51",-3385,50
"52",-3384,55
"53",-3383,56
"54",-3382,61
"55",-3381,55
"56",-3380,51
"57",-3379,58
"58",-3378,58
"59",-3377,57
"60",-3376,61
"61",-3375,61
"62",-3374,52
"63",-3373,55
"64",-3372,60
"65",-3371,49
"66",-3370,67
"67",-3369,71
"68",-3368,61
"69",-3367,76
"70",-3366,87
"71",-3365,80
"72",-3364,87
"73",-3363,63
"74",-3362,75
"75",-3361,68
"76",-3360,74
"77",-3359,77
"78",-3358,81
"79",-3357,64
"80",-3356,80
"81",-3355,60
"82",-3354,71
"83",-3353,55
"84",-3352,77
"85",-3351,74
"86",-3350,62
"87",-3349,46
"88",-3348,65
"89",-3347,71
"90",-3346,24
"91",-3345,30
"92",-3344,52
"93",-3343,68
"94",-3342,52
"95",-3341,58
"96",-3340,68
"97",-3339,56
"98",-3338,58
"99",-3337,62
"100",-3336,41
"101",-3335,48
"102",-3334,56
"103",-3333,55
"104",-3332,56
"105",-3331,49
"106",-3330,50
"107",-3329,55
"108",-3328,50
"109",-3327,44
"110",-3326,60
"111",-3325,49
"112",-3324,63
"113",-3323,56
"114",-3322,65
"115",-3321,62
"116",-3320,67
"117",-3319,64
"118",-3318,70
"119",-3317,58
"120",-3316,54
"121",-3315,37
"122",-3314,40
"123",-3313,52
"124",-3312,61
"125",-3311,44
"126",-3310,60
"127",-3309,63
"128",-3308,56
"129",-3307,54
"130",-3306,70
"131",-3305,63
"132",-3304,63
"133",-3303,77
"134",-3302,63
"135",-3301,60
"136",-3300,47
"137",-3299,56
"138",-3298,55
"139",-3297,55
"140",-3296,66
"141",-3295,51
"142",-3294,51
"143",-3293,59
"144",-3292,55
"145",-3291,50
"146",-3290,50
"147",-3289,56
"148",-3288,56
"149",-3287,57
"150",-3286,48
"151",-3285,55
"152",-3284,56
"153",-3283,45
"154",-3282,38
"155",-3281,40
"156",-3280,41
"157",-3279,49
"158",-3278,44
"159",-3277,51
"160",-3276,50
"161",-3275,40
"162",-3274,60
"163",-3273,50
"164",-3272,35
"165",-3271,28
"166",-3270,38
"167",-3269,47
"168",-3268,49
"169",-3267,45
"170",-3266,57
"171",-3265,44
"172",-3264,49
"173",-3263,47
"174",-3262,54
"175",-3261,46
"176",-3260,57
"177",-3259,47
"178",-3258,48
"179",-3257,49
"180",-3256,48
"181",-3255,50
"182",-3254,55
"183",-3253,45
"184",-3252,46
"185",-3251,55
"186",-3250,66
"187",-3249,45
"188",-3248,49
"189",-3247,60
"190",-3246,39
"191",-3245,40
"192",-3244,52
"193",-3243,53
"194",-3242,52
"195",-3241,44
"196",-3240,52
"197",-3239,44
"198",-3238,48
"199",-3237,50
"200",-3236,47
"201",-3235,37
"202",-3234,46
"203",-3233,35
"204",-3232,39
"205",-3231,43
"206",-3230,42
"207",-3229,40
"208",-3228,49
"209",-3227,53
"210",-3226,43
"211",-3225,48
"212",-3224,22
"213",-3223,48
"214",-3222,43
"215",-3221,47
"216",-3220,43
"217",-3219,46
"218",-3218,48
"219",-3217,38
"220",-3216,39
"221",-3215,36
"222",-3214,40
"223",-3213,48
"224",-3212,36
"225",-3211,45
"226",-3210,41
"227",-3209,34
"228",-3208,41
"229",-3207,37
"230",-3206,53
"231",-3205,54
"232",-3204,56
"233",-3203,53
"234",-3202,65
"235",-3201,49
"236",-3200,47
"237",-3199,50
"238",-3198,34
"239",-3197,30
"240",-3196,45
"241",-3195,48
"242",-3194,47
"243",-3193,50
"244",-3192,35
"245",-3191,60
"246",-3190,48
"247",-3189,42
"248",-3188,43
"249",-3187,41
"250",-3186,41
"251",-3185,51
"252",-3184,44
"253",-3183,62
"254",-3182,50
"255",-3181,46
"256",-3180,52
"257",-3179,50
"258",-3178,51
"259",-3177,55
"260",-3176,53
"261",-3175,59
"262",-3174,43
"263",-3173,56
"264",-3172,53
"265",-3171,49
"266",-3170,50
"267",-3169,50
"268",-3168,53
"269",-3167,58
"270",-3166,42
"271",-3165,54
"272",-3164,44
"273",-3163,51
"274",-3162,51
"275",-3161,63
"276",-3160,53
"277",-3159,45
"278",-3158,63
"279",-3157,53
"280",-3156,59
"281",-3155,58
"282",-3154,59
"283",-3153,48
"284",-3152,39
"285",-3151,56
"286",-3150,53
"287",-3149,35
"288",-3148,51
"289",-3147,50
"290",-3146,62
"291",-3145,49
"292",-3144,43
"293",-3143,46
"294",-3142,41
"295",-3141,35
"296",-3140,38
"297",-3139,43
"298",-3138,45
"299",-3137,39
"300",-3136,52
"301",-3135,36
"302",-3134,41
"303",-3133,38
"304",-3132,33
"305",-3131,48
"306",-3130,51
"307",-3129,48
"308",-3128,40
"309",-3127,45
"310",-3126,42
"311",-3125,38
"312",-3124,43
"313",-3123,52
"314",-3122,42
"315",-3121,44
"316",-3120,48
"317",-3119,46
"318",-3118,51
"319",-3117,57
"320",-3116,44
"321",-3115,47
"322",-3114,53
"323",-3113,42
"324",-3112,39
"325",-3111,39
"326",-3110,42
"327",-3109,43
"328",-3108,41
"329",-3107,49
"330",-3106,36
"331",-3105,45
"332",-3104,43
"333",-3103,48
"334",-3102,39
"335",-3101,42
"336",-3100,49
"337",-3099,35
"338",-3098,33
"339",-3097,33
"340",-3096,40
"341",-3095,48
"342",-3094,39
"343",-3093,44
"344",-3092,44
"345",-3091,36
"346",-3090,47
"347",-3089,50
"348",-3088,42
"349",-3087,39
"350",-3086,27
"351",-3085,33
"352",-3084,36
"353",-3083,35
"354",-3082,47
"355",-3081,48
"356",-3080,29
"357",-3079,31
"358",-3078,37
"359",-3077,34
"360",-3076,40
"361",-3075,30
"362",-3074,34
"363",-3073,42
"364",-3072,46
"365",-3071,41
"366",-3070,39
"367",-3069,35
"368",-3068,38
"369",-3067,33
"370",-3066,45
"371",-3065,36
"372",-3064,37
"373",-3063,40
"374",-3062,40
"375",-3061,38
"376",-3060,35
"377",-3059,40
"378",-3058,27
"379",-3057,32
"380",-3056,37
"381",-3055,42
"382",-3054,39
"383",-3053,42
"384",-3052,24
"385",-3051,27
"386",-3050,30
"387",-3049,31
"388",-3048,30
"389",-3047,36
"390",-3046,30
"391",-3045,34
"392",-3044,38
"393",-3043,37
"394",-3042,36
"395",-3041,32
"396",-3040,38
"397",-3039,48
"398",-3038,32
"399",-3037,42
"400",-3036,36
"401",-3035,33
"402",-3034,43
"403",-3033,43
"404",-3032,30
"405",-3031,27
"406",-3030,27
"407",-3029,39
"408",-3028,36
"409",-3027,37
"410",-3026,36
"411",-3025,35
"412",-3024,38
"413",-3023,40
"414",-3022,34
"415",-3021,37
"416",-3020,32
"417",-3019,27
"418",-3018,33
"419",-3017,33
"420",-3016,43
"421",-3015,36
"422",-3014,39
"423",-3013,30
"424",-3012,31
"425",-3011,23
"426",-3010,32
"427",-3009,34
"428",-3008,43
"429",-3007,46
"430",-3006,41
"431",-3005,45
"432",-3004,37
"433",-3003,31
"434",-3002,42
"435",-3001,48
"436",-3000,51
"437",-2999,52
"438",-2998,39
"439",-2997,39
"440",-2996,51
"441",-2995,36
"442",-2994,41
"443",-2993,34
"444",-2992,40
"445",-2991,39
"446",-2990,36
"447",-2989,44
"448",-2988,51
"449",-2987,36
"450",-2986,37
"451",-2985,43
"452",-2984,42
"453",-2983,47
"454",-2982,45
"455",-2981,40
"456",-2980,41
"457",-2979,40
"458",-2978,32
"459",-2977,45
"460",-2976,34
"461",-2975,39
"462",-2974,21
"463",-2973,39
"464",-2972,46
"465",-2971,42
"466",-2970,29
"467",-2969,35
"468",-2968,48
"469",-2967,33
"470",-2966,27
"471",-2965,40
"472",-2964,34
"473",-2963,33
"474",-2962,40
"475",-2961,35
"476",-2960,29
"477",-2959,35
"478",-2958,33
"479",-2957,34
"480",-2956,26
"481",-2955,30
"482",-2954,36
"483",-2953,25
"484",-2952,32
"485",-2951,36
"486",-2950,46
"487",-2949,28
"488",-2948,35
"489",-2947,39
"490",-2946,35
"491",-2945,39
"492",-2944,39
"493",-2943,36
"494",-2942,40
"495",-2941,30
"496",-2940,38
"497",-2939,31
