"","time","bev"
"1",1500,17
"2",1501,19
"3",1502,20
"4",1503,15
"5",1504,13
"6",1505,14
"7",1506,14
"8",1507,14
"9",1508,14
"10",1509,11
"11",1510,16
"12",1511,19
"13",1512,23
"14",1513,18
"15",1514,17
"16",1515,20
"17",1516,20
"18",1517,18
"19",1518,14
"20",1519,16
"21",1520,21
"22",1521,24
"23",1522,15
"24",1523,16
"25",1524,20
"26",1525,14
"27",1526,16
"28",1527,25.5
"29",1528,25.8
"30",1529,26
"31",1530,26
"32",1531,29
"33",1532,20
"34",1533,18
"35",1534,16
"36",1535,22
"37",1536,22
"38",1537,16
"39",1538,19
"40",1539,17
"41",1540,17
"42",1541,19
"43",1542,20
"44",1543,24
"45",1544,28
"46",1545,36
"47",1546,20
"48",1547,14
"49",1548,18
"50",1549,27
"51",1550,29
"52",1551,36
"53",1552,29
"54",1553,27
"55",1554,30
"56",1555,38
"57",1556,50
"58",1557,24
"59",1558,25
"60",1559,30
"61",1560,31
"62",1561,37
"63",1562,41
"64",1563,36
"65",1564,32
"66",1565,47
"67",1566,42
"68",1567,37
"69",1568,34
"70",1569,36
"71",1570,43
"72",1571,55
"73",1572,64
"74",1573,79
"75",1574,59
"76",1575,47
"77",1576,48
"78",1577,49
"79",1578,45
"80",1579,53
"81",1580,55
"82",1581,55
"83",1582,54
"84",1583,56
"85",1584,52
"86",1585,76
"87",1586,113
"88",1587,68
"89",1588,59
"90",1589,74
"91",1590,78
"92",1591,69
"93",1592,78
"94",1593,73
"95",1594,88
"96",1595,98
"97",1596,109
"98",1597,106
"99",1598,87
"100",1599,77
"101",1600,77
"102",1601,63
"103",1602,70
"104",1603,70
"105",1604,63
"106",1605,61
"107",1606,66
"108",1607,78
"109",1608,93
"110",1609,97
"111",1610,77
"112",1611,83
"113",1612,81
"114",1613,82
"115",1614,78
"116",1615,75
"117",1616,80
"118",1617,87
"119",1618,72
"120",1619,65
"121",1620,74
"122",1621,91
"123",1622,115
"124",1623,99
"125",1624,99
"126",1625,115
"127",1626,101
"128",1627,90
"129",1628,95
"130",1629,108
"131",1630,147
"132",1631,112
"133",1632,108
"134",1633,99
"135",1634,96
"136",1635,102
"137",1636,105
"138",1637,114
"139",1638,103
"140",1639,98
"141",1640,103
"142",1641,101
"143",1642,110
"144",1643,109
"145",1644,98
"146",1645,84
"147",1646,90
"148",1647,120
"149",1648,124
"150",1649,136
"151",1650,120
"152",1651,135
"153",1652,100
"154",1653,70
"155",1654,60
"156",1655,72
"157",1656,70
"158",1657,71
"159",1658,94
"160",1659,95
"161",1660,110
"162",1661,154
"163",1662,116
"164",1663,99
"165",1664,82
"166",1665,76
"167",1666,64
"168",1667,63
"169",1668,68
"170",1669,64
"171",1670,67
"172",1671,71
"173",1672,72
"174",1673,89
"175",1674,114
"176",1675,102
"177",1676,85
"178",1677,88
"179",1678,97
"180",1679,94
"181",1680,88
"182",1681,79
"183",1682,74
"184",1683,79
"185",1684,95
"186",1685,70
"187",1686,72
"188",1687,63
"189",1688,60
"190",1689,74
"191",1690,75
"192",1691,91
"193",1692,126
"194",1693,161
"195",1694,109
"196",1695,108
"197",1696,110
"198",1697,130
"199",1698,166
"200",1699,143
"201",1700,103
"202",1701,89
"203",1702,76
"204",1703,93
"205",1704,82
"206",1705,71
"207",1706,69
"208",1707,75
"209",1708,134
"210",1709,183
"211",1710,113
"212",1711,108
"213",1712,121
"214",1713,139
"215",1714,109
"216",1715,90
"217",1716,88
"218",1717,88
"219",1718,93
"220",1719,106
"221",1720,89
"222",1721,79
"223",1722,91
"224",1723,96
"225",1724,111
"226",1725,112
"227",1726,104
"228",1727,94
"229",1728,98
"230",1729,88
"231",1730,94
"232",1731,81
"233",1732,77
"234",1733,84
"235",1734,92
"236",1735,96
"237",1736,102
"238",1737,95
"239",1738,98
"240",1739,125
"241",1740,162
"242",1741,113
"243",1742,94
"244",1743,85
"245",1744,89
"246",1745,109
"247",1746,110
"248",1747,109
"249",1748,120
"250",1749,116
"251",1750,101
"252",1751,113
"253",1752,109
"254",1753,105
"255",1754,94
"256",1755,102
"257",1756,141
"258",1757,135
"259",1758,118
"260",1759,115
"261",1760,111
"262",1761,127
"263",1762,124
"264",1763,113
"265",1764,122
"266",1765,130
"267",1766,137
"268",1767,148
"269",1768,142
"270",1769,143
"271",1770,176
"272",1771,184
"273",1772,164
"274",1773,146
"275",1774,147
"276",1775,124
"277",1776,119
"278",1777,135
"279",1778,125
"280",1779,116
"281",1780,132
"282",1781,133
"283",1782,144
"284",1783,145
"285",1784,146
"286",1785,138
"287",1786,139
"288",1787,154
"289",1788,181
"290",1789,185
"291",1790,151
"292",1791,139
"293",1792,157
"294",1793,155
"295",1794,191
"296",1795,248
"297",1796,185
"298",1797,168
"299",1798,176
"300",1799,243
"301",1800,289
"302",1801,251
"303",1802,232
"304",1803,207
"305",1804,276
"306",1805,250
"307",1806,216
"308",1807,205
"309",1808,206
"310",1809,208
"311",1810,226
"312",1811,302
"313",1812,261
"314",1813,207
"315",1814,209
"316",1815,280
"317",1816,381
"318",1817,266
"319",1818,197
"320",1819,177
"321",1820,170
"322",1821,152
"323",1822,156
"324",1823,141
"325",1824,142
"326",1825,137
"327",1826,161
"328",1827,189
"329",1828,226
"330",1829,194
"331",1830,217
"332",1831,199
"333",1832,151
"334",1833,144
"335",1834,138
"336",1835,145
"337",1836,156
"338",1837,184
"339",1838,216
"340",1839,204
"341",1840,186
"342",1841,197
"343",1842,183
"344",1843,175
"345",1844,183
"346",1845,230
"347",1846,278
"348",1847,179
"349",1848,161
"350",1849,150
"351",1850,159
"352",1851,180
"353",1852,223
"354",1853,294
"355",1854,300
"356",1855,297
"357",1856,232
"358",1857,179
"359",1858,180
"360",1859,215
"361",1860,258
"362",1861,236
"363",1862,202
"364",1863,174
"365",1864,179
"366",1865,210
"367",1866,268
"368",1867,267
"369",1868,208
"370",1869,224
