"","band.3","band.4","band.5","band.6","band.7","band.8","band.9","band.10","band.11","band.12","band.13","band.14","band.15","band.16","band.17","band.18","band.19","band.20","band.21","band.22","band.23","band.24","band.25","band.26","band.27","band.28"
"s01",1601,1567,1493,1568,2058,2466,2504,2173,1816,1656,1480,1322,1101,994,904,1441,3211,5182,9046,9661,9967,11255,10672,9004,9087,10276
"s02",1661,1547,1493,1584,1997,2282,2285,2004,1714,1598,1409,1310,1137,1033,979,1429,2867,4387,7400,7837,7990,9048,8612,7203,7315,8283
"s03",1631,1526,1460,1568,2058,2503,2569,2241,1884,1726,1574,1407,1211,1007,1004,1549,3377,5137,8573,9019,9205,10385,9773,8241,8316,9342
"s04",1600,1525,1418,1518,1860,2172,2202,1970,1691,1586,1444,1334,1180,1045,991,1422,2730,3948,6333,6603,6650,7568,7146,6058,6106,6874
"s05",1720,1567,1527,1584,1982,2258,2285,2015,1725,1575,1445,1310,1150,1033,954,1405,2820,4227,7129,7589,7728,8802,8294,7005,7069,7987
"s07",1660,1577,1543,1634,2035,2374,2443,2156,1872,1731,1573,1461,1289,1115,1066,1524,2967,4222,6722,6958,7043,7984,7568,6364,6483,7286
"s09",1630,1504,1460,1501,1860,2147,2175,1908,1640,1523,1397,1285,1124,1013,941,1368,2671,3972,6525,6846,6996,7899,7491,6333,6414,7216
"s10",1542,1452,1401,1451,1730,2000,2027,1829,1622,1522,1415,1339,1185,1089,1085,1422,2541,3562,5667,5860,5906,6692,6344,5356,5428,6118
"s11",1572,1484,1444,1518,1906,2295,2296,2015,1703,1541,1409,1273,1101,956,891,1357,2844,4352,7343,7814,7967,9009,8474,7112,7223,8112
"s12",1637,1576,1489,1563,1966,2322,2378,2093,1786,1638,1494,1382,1192,1031,988,1467,2944,4309,7026,7354,7450,8418,7951,6684,6779,7629
"s14",1586,1452,1402,1493,1837,2147,2186,1925,1656,1529,1380,1272,1130,1001,935,1356,2642,3909,6367,6654,6781,7646,7243,6112,6175,6936
"s15",1631,1484,1444,1535,1860,2123,2208,1970,1771,1656,1562,1467,1345,1249,1192,1573,2713,3739,5809,5934,6026,6737,6386,5402,5483,6212
"s16",1661,1651,1560,1634,1921,2160,2219,2049,1827,1749,1656,1576,1431,1351,1318,1669,2784,3637,5572,5675,5728,6478,6151,5158,5283,5963
"s17",1601,1567,1510,1551,1784,2061,2099,1970,1782,1714,1656,1564,1467,1377,1330,1633,2630,3364,5065,5112,5121,5816,5516,4655,4743,5340
"s19",1572,1463,1444,1502,1799,2061,2088,1846,1566,1436,1339,1201,1088,994,904,1309,2536,3739,6193,6429,6621,7425,7050,5952,6099,6866
"s20",1615,1483,1468,1535,1875,2214,2273,2049,1799,1667,1567,1442,1283,1185,1142,1554,2920,4113,6536,6705,6776,7627,7215,6097,6168,6944
"s21",1868,1838,1783,1872,2119,2349,2416,2285,2122,2085,2026,1958,1876,1803,1782,2060,2985,3499,4934,4836,4882,5497,5246,4432,4511,5130
