"","x"
"band.1",462.399994
"band.2",478.100006
"band.3",493.399994
"band.4",508.5
"band.5",524.099976
"band.6",539.400024
"band.7",554.900024
"band.8",570.200012
"band.9",585.200012
"band.10",600.200012
"band.11",616.299988
"band.12",631.700012
"band.13",646.5
"band.14",661.599976
"band.15",677.099976
"band.16",692.400024
"band.17",707.5
"band.18",722.900024
"band.19",738.099976
"band.20",753
"band.21",768
"band.22",783.099976
"band.23",798.299988
"band.24",813.400024
"band.25",828.5
"band.26",843.900024
