"","Days","Type"
"1",44,1
"2",384,1
"3",548,1
"4",1172,1
"5",1373,1
"6",1527,1
"7",1611,1
"8",1614,1
"9",1634,1
"10",1873,1
"11",2249,1
"12",2892,1
"13",3100,1
"14",5160,1
"15",5468,1
"16",5531,1
"17",5809,1
"18",6631,1
"19",7368,1
"20",7511,1
"21",8611,1
"22",10847,1
"23",10920,1
"24",11546,1
"25",11567,1
"26",533,2
"27",827,2
"28",877,2
"29",1007,2
"30",1271,2
"31",2394,2
"32",2741,2
"33",3244,2
"34",4130,2
"35",4368,2
"36",4744,2
"37",7253,2
"38",7705,2
"39",9482,2
"40",11813,2
"41",12317,2
"42",12563,2
"43",14977,2
"44",16713,2
