"","substance","dose","unit","response","ok"
"1","NaJ",1000,"microM",0.859016,"ok"
"2","NaJ",500,"microM",0.991101,"ok"
"3","NaJ",250,"microM",0.974239,"ok"
"4","NaJ",125,"microM",1.00515,"ok"
"5","NaJ",62.5,"microM",0.940515,"ok"
"6","NaJ",31.25,"microM",0.929274,"ok"
"7","NaJ",15.625,"microM",0.965808,"ok"
"8","NaJ",7.8125,"microM",0.974239,"ok"
"9","NaJ",3.90625,"microM",0.960187,"ok"
"10","NaJ",1000,"microM",0.70445,"ok"
"11","NaJ",500,"microM",0.996721,"ok"
"12","NaJ",250,"microM",0.965808,"ok"
"13","NaJ",125,"microM",0.940515,"ok"
"14","NaJ",62.5,"microM",0.934895,"ok"
"15","NaJ",31.25,"microM",0.926464,"ok"
"16","NaJ",15.625,"microM",0.98829,"ok"
"17","NaJ",7.8125,"microM",0.948946,"ok"
"18","NaJ",3.90625,"microM",0.951756,"ok"
"19","NaJ",1000,"microM",0.788759,"ok"
"20","NaJ",500,"microM",0.932084,"ok"
"21","NaJ",250,"microM",0.954567,"ok"
"22","NaJ",125,"microM",0.951756,"ok"
"23","NaJ",62.5,"microM",0.79719,"ok"
"24","NaJ",31.25,"microM",0.844965,"ok"
"25","NaJ",15.625,"microM",0.884309,"ok"
"26","NaJ",7.8125,"microM",0.850585,"ok"
"27","NaJ",3.90625,"microM",0.870258,"ok"
"28","NaJ",2000,"microM",0.843589,"ok"
"29","NaJ",1000,"microM",0.924912,"ok"
"30","NaJ",500,"microM",0.934671,"ok"
"31","NaJ",250,"microM",0.921659,"ok"
"32","NaJ",125,"microM",0.898889,"ok"
"33","NaJ",62.5,"microM",0.898889,"ok"
"34","NaJ",31.25,"microM",0.856601,"ok"
"35","NaJ",15.625,"microM",0.895636,"ok"
"36","NaJ",7.8125,"microM",0.902142,"ok"
"37","NaJ",2000,"microM",0.798048,"ok"
"38","NaJ",1000,"microM",0.892383,"ok"
"39","NaJ",500,"microM",0.872865,"ok"
"40","NaJ",250,"microM",0.908647,"ok"
"41","NaJ",125,"microM",0.840336,"ok"
"42","NaJ",62.5,"microM",0.863107,"ok"
"43","NaJ",31.25,"microM",0.892383,"ok"
"44","NaJ",15.625,"microM",0.931418,"ok"
"45","NaJ",7.8125,"microM",0.915153,"ok"
"46","NaJ",2000,"microM",0.850095,"ok"
"47","NaJ",1000,"microM",0.866359,"ok"
"48","NaJ",500,"microM",0.9672,"ok"
"49","NaJ",250,"microM",0.954188,"ok"
"50","NaJ",125,"microM",0.898889,"ok"
"51","NaJ",62.5,"microM",0.798048,"ok"
"52","NaJ",31.25,"microM",0.892383,"ok"
"53","NaJ",15.625,"microM",0.882624,"ok"
"54","NaJ",7.8125,"microM",0.918406,"ok"
"55","NaJ",3.90625,"microM",0.921839,"ok"
"56","NaJ",7.8125,"microM",0.93257,"ok"
"57","NaJ",15.625,"microM",0.887498,"ok"
"58","NaJ",31.25,"microM",0.887498,"ok"
"59","NaJ",62.5,"microM",0.878913,"ok"
