"","nr.","substance","dose","unit","fronds","response"
"1",1,"Control",0,"mg/L",174,1.04962936124616
"2",2,"Control",0,"mg/L",143,0.972614764780597
"3",3,"Control",0,"mg/L",143,0.972614764780597
"4",4,"Substance X",10,"mg/L",147,0.983443306112866
"5",5,"Substance X",10,"mg/L",148,0.986104399213071
"6",6,"Substance X",10,"mg/L",148,0.986104399213071
"7",7,"Substance X",100,"mg/L",63,0.650870652691306
"8",8,"Substance X",100,"mg/L",65,0.663137580067451
"9",9,"Substance X",100,"mg/L",55,0.597567226595828
"10",10,"Substance X",300,"mg/L",20,0.200504027065456
"11",11,"Substance X",300,"mg/L",22,0.237914199895498
"12",12,"Substance X",300,"mg/L",25,0.288090041882681
"13",13,"Substance X",1000,"mg/L",13,0.0314175414840175
"14",14,"Substance X",1000,"mg/L",16,0.112918012248231
"15",15,"Substance X",1000,"mg/L",16,0.112918012248231
"16",16,"Control",0,"mg/L",153,0.999145789153972
"17",17,"Control",0,"mg/L",144,0.975350035284186
"18",18,"Control",0,"mg/L",163,1.0239964747787
"19",19,"Substance Y",10,"mg/L",20,0.200504027065456
"20",20,"Substance Y",10,"mg/L",19,0.180370909994435
"21",21,"Substance Y",10,"mg/L",21,0.219654641173329
"22",22,"Substance Y",100,"mg/L",13,0.0314175414840175
"23",23,"Substance Y",100,"mg/L",12,0
"24",24,"Substance Y",100,"mg/L",13,0.0314175414840175
"25",25,"Substance Y",300,"mg/L",12,0
"26",26,"Substance Y",300,"mg/L",12,0
"27",27,"Substance Y",300,"mg/L",14,0.0605056415384556
"28",28,"Substance Y",1000,"mg/L",12,0
"29",29,"Substance Y",1000,"mg/L",12,0
"30",30,"Substance Y",1000,"mg/L",12,0
