"","s.v.x.y.l"
"1","1,0,40,962,0"
"2","1,0,500,500,1"
"3","2,0,40,962,0"
"4","2,0,700,497,2"
"5","2,0,299,494,1"
"6","2,0,500,500,12"
"7","3,0,40,962,0"
"8","3,0,730,330,3"
"9","3,0,500,724,2"
"10","3,0,644,550,23"
"11","3,0,270,330,1"
"12","3,0,500,296,13"
"13","3,0,355,550,12"
"14","3,0,500,465,123"
"15","4,0,40,962,0"
"16","4,0,850,510,4"
"17","4,0,664,764,3"
"18","4,0,745,630,34"
"19","4,0,327,759,2"
"20","4,0,740,381,24"
"21","4,0,501,657,23"
"22","4,0,633,525,234"
"23","4,0,150,510,1"
"24","4,0,499,162,14"
"25","4,0,266,374,13"
"26","4,0,385,285,134"
"27","4,0,256,634,12"
"28","4,0,615,285,124"
"29","4,0,369,525,123"
"30","4,0,501,392,1234"
"31","4,1,40,962,0"
"32","4,1,806,405,4"
"33","4,1,651,708,3"
"34","4,1,701,541,34"
"35","4,1,349,708,2"
"36","4,1,656,295,24"
"37","4,1,499,590,23"
"38","4,1,603,430,234"
"39","4,1,200,407,1"
"40","4,1,498,147,14"
"41","4,1,345,292,13"
"42","4,1,433,226,134"
"43","4,1,300,540,12"
"44","4,1,568,226,124"
"45","4,1,395,431,123"
"46","4,1,499,313,1234"
"47","5,0,40,962,0"
"48","5,0,217,276,5"
"49","5,0,612,177,4"
"50","5,0,406,238,45"
"51","5,0,823,517,3"
"52","5,0,288,353,35"
"53","5,0,705,340,34"
"54","5,0,378,344,345"
"55","5,0,566,823,2"
"56","5,0,562,718,25"
"57","5,0,556,263,24"
"58","5,0,491,281,245"
"59","5,0,696,655,23"
"60","5,0,603,667,235"
"61","5,0,592,348,234"
"62","5,0,492,359,2345"
"63","5,0,193,678,1"
"64","5,0,215,486,15"
"65","5,0,287,635,14"
"66","5,0,308,545,145"
"67","5,0,724,494,13"
"68","5,0,283,420,135"
"69","5,0,689,436,134"
"70","5,0,357,442,1345"
"71","5,0,394,746,12"
"72","5,0,482,673,125"
"73","5,0,350,659,124"
"74","5,0,395,594,1245"
"75","5,0,655,551,123"
"76","5,0,556,606,1235"
"77","5,0,615,460,1234"
"78","5,0,483,493,12345"
"79","5,1,40,962,0"
"80","5,1,252,230,5"
"81","5,1,655,175,4"
"82","5,1,423,225,45"
"83","5,1,828,534,3"
"84","5,1,286,335,35"
"85","5,1,708,331,34"
"86","5,1,361,317,345"
"87","5,1,542,813,2"
"88","5,1,581,707,25"
"89","5,1,560,234,24"
"90","5,1,469,239,245"
"91","5,1,696,634,23"
"92","5,1,651,649,235"
"93","5,1,601,300,234"
"94","5,1,466,302,2345"
"95","5,1,186,623,1"
"96","5,1,234,463,15"
"97","5,1,298,630,14"
"98","5,1,302,550,145"
"99","5,1,742,461,13"
"100","5,1,262,424,135"
"101","5,1,708,378,134"
"102","5,1,320,448,1345"
"103","5,1,403,716,12"
"104","5,1,504,679,125"
"105","5,1,374,678,124"
"106","5,1,414,630,1245"
"107","5,1,692,524,123"
"108","5,1,616,598,1235"
"109","5,1,649,395,1234"
"110","5,1,493,474,12345"
"111","6,0,40,962,0"
"112","6,0,165,220,6"
"113","6,0,549,80,5"
"114","6,0,394,136,56"
"115","6,0,841,243,4"
"116","6,0,255,201,46"
"117","6,0,703,197,45"
"118","6,0,324,196,456"
"119","6,0,900,597,3"
"120","6,0,169,299,36"
"121","6,0,827,617,35"
"122","6,0,413,170,356"
"123","6,0,830,346,34"
"124","6,0,244,265,346"
"125","6,0,716,263,345"
"126","6,0,346,234,3456"
"127","6,0,550,900,2"
"128","6,0,620,834,26"
"129","6,0,575,145,25"
"130","6,0,521,168,256"
"131","6,0,494,858,24"
"132","6,0,540,817,246"
"133","6,0,632,203,245"
"134","6,0,577,219,2456"
"135","6,0,750,760,23"
"136","6,0,642,785,236"
"137","6,0,778,650,235"
"138","6,0,467,192,2356"
"139","6,0,772,348,234"
"140","6,0,568,779,2346"
"141","6,0,689,298,2345"
"142","6,0,516,245,23456"
"143","6,0,100,693,1"
"144","6,0,119,448,16"
"145","6,0,188,732,15"
"146","6,0,159,452,156"
"147","6,0,128,601,14"
"148","6,0,147,537,146"
"149","6,0,178,641,145"
"150","6,0,192,538,1456"
"151","6,0,854,515,13"
"152","6,0,182,356,136"
"153","6,0,805,555,135"
"154","6,0,199,410,1356"
"155","6,0,813,456,134"
"156","6,0,249,316,1346"
"157","6,0,775,503,1345"
"158","6,0,260,380,13456"
"159","6,0,332,850,12"
"160","6,0,336,795,126"
"161","6,0,247,734,125"
"162","6,0,303,744,1256"
"163","6,0,439,834,124"
"164","6,0,440,786,1246"
"165","6,0,235,663,1245"
"166","6,0,307,656,12456"
"167","6,0,719,725,123"
"168","6,0,658,733,1236"
"169","6,0,737,622,1235"
"170","6,0,670,664,12356"
"171","6,0,761,404,1234"
"172","6,0,544,746,12346"
"173","6,0,714,456,12345"
"174","6,0,484,487,123456"
"175","7,0,40,962,0"
"176","7,0,106,542,7"
"177","7,0,220,218,6"
"178","7,0,190,386,67"
"179","7,0,558,104,5"
"180","7,0,167,478,57"
"181","7,0,403,183,56"
"182","7,0,218,426,567"
"183","7,0,855,293,4"
"184","7,0,177,597,47"
"185","7,0,323,220,46"
"186","7,0,347,259,467"
"187","7,0,698,220,45"
"188","7,0,205,533,457"
"189","7,0,391,228,456"
"190","7,0,386,274,4567"
"191","7,0,892,655,3"
"192","7,0,847,566,37"
"193","7,0,234,308,36"
"194","7,0,238,375,367"
"195","7,0,617,183,35"
"196","7,0,802,559,357"
"197","7,0,602,226,356"
"198","7,0,258,411,3567"
"199","7,0,849,477,34"
"200","7,0,812,506,347"
"201","7,0,300,288,346"
"202","7,0,346,301,3467"
"203","7,0,653,240,345"
"204","7,0,771,530,3457"
"205","7,0,613,266,3456"
"206","7,0,386,320,34567"
"207","7,0,634,893,2"
"208","7,0,559,846,27"
"209","7,0,672,811,26"
"210","7,0,604,797,267"
"211","7,0,496,167,25"
"212","7,0,496,213,257"
"213","7,0,442,214,256"
"214","7,0,475,251,2567"
"215","7,0,830,387,24"
"216","7,0,223,585,247"
"217","7,0,652,770,246"
"218","7,0,617,758,2467"
"219","7,0,787,404,245"
"220","7,0,242,553,2457"
"221","7,0,427,250,2456"
"222","7,0,441,290,24567"
"223","7,0,745,754,23"
"224","7,0,549,802,237"
"225","7,0,699,743,236"
"226","7,0,569,764,2367"
"227","7,0,553,206,235"
"228","7,0,524,237,2357"
"229","7,0,570,248,2356"
"230","7,0,524,279,23567"
"231","7,0,806,454,234"
"232","7,0,780,483,2347"
"233","7,0,655,726,2346"
"234","7,0,603,717,23467"
"235","7,0,763,438,2345"
"236","7,0,739,486,23457"
"237","7,0,580,294,23456"
"238","7,0,491,333,234567"
"239","7,0,288,851,1"
"240","7,0,219,682,17"
"241","7,0,273,758,16"
"242","7,0,266,684,167"
"243","7,0,379,826,15"
"244","7,0,215,481,157"
"245","7,0,341,759,156"
"246","7,0,252,460,1567"
"247","7,0,764,282,14"
"248","7,0,240,637,147"
"249","7,0,734,312,146"
"250","7,0,280,645,1467"
"251","7,0,699,271,145"
"252","7,0,244,507,1457"
"253","7,0,692,318,1456"
"254","7,0,285,486,14567"
"255","7,0,807,678,13"
"256","7,0,796,613,137"
"257","7,0,269,333,136"
"258","7,0,283,371,1367"
"259","7,0,391,784,135"
"260","7,0,774,580,1357"
"261","7,0,381,746,1356"
"262","7,0,296,426,13567"
"263","7,0,762,658,134"
"264","7,0,746,620,1347"
"265","7,0,304,328,1346"
"266","7,0,335,356,13467"
"267","7,0,659,282,1345"
