"","s.v.i.x.y"
"1","1,0,2,500,750"
"2","1,0,2,493.573,749.918"
"3","1,0,2,487.185,749.673"
"4","1,0,2,480.838,749.267"
"5","1,0,2,474.533,748.703"
"6","1,0,2,468.273,747.982"
"7","1,0,2,462.059,747.106"
"8","1,0,2,455.895,746.077"
"9","1,0,2,449.78,744.897"
"10","1,0,2,443.719,743.569"
"11","1,0,2,437.712,742.094"
"12","1,0,2,431.761,740.474"
"13","1,0,2,425.87,738.712"
"14","1,0,2,420.039,736.808"
"15","1,0,2,414.27,734.766"
"16","1,0,2,408.567,732.587"
"17","1,0,2,402.93,730.273"
"18","1,0,2,391.864,725.25"
"19","1,0,2,381.088,719.711"
"20","1,0,2,370.62,713.674"
"21","1,0,2,360.474,707.153"
"22","1,0,2,350.666,700.166"
"23","1,0,2,341.214,692.728"
"24","1,0,2,332.132,684.855"
"25","1,0,2,323.438,676.562"
"26","1,0,2,315.145,667.868"
"27","1,0,2,307.272,658.786"
"28","1,0,2,299.834,649.334"
"29","1,0,2,292.847,639.526"
"30","1,0,2,286.326,629.38"
"31","1,0,2,280.289,618.912"
"32","1,0,2,274.75,608.136"
"33","1,0,2,269.727,597.07"
"34","1,0,2,267.413,591.433"
"35","1,0,2,265.234,585.73"
"36","1,0,2,263.192,579.961"
"37","1,0,2,261.288,574.13"
"38","1,0,2,259.526,568.239"
"39","1,0,2,257.906,562.288"
"40","1,0,2,256.431,556.281"
"41","1,0,2,255.103,550.22"
"42","1,0,2,253.923,544.105"
"43","1,0,2,252.894,537.941"
"44","1,0,2,252.018,531.727"
"45","1,0,2,251.297,525.467"
"46","1,0,2,250.733,519.162"
"47","1,0,2,250.327,512.815"
"48","1,0,2,250.082,506.427"
"49","1,0,2,250,500"
"50","1,0,2,250.082,493.573"
"51","1,0,2,250.327,487.185"
"52","1,0,2,250.733,480.838"
"53","1,0,2,251.297,474.533"
"54","1,0,2,252.018,468.273"
"55","1,0,2,252.894,462.059"
"56","1,0,2,253.923,455.895"
"57","1,0,2,255.103,449.78"
"58","1,0,2,256.431,443.719"
"59","1,0,2,257.906,437.712"
"60","1,0,2,259.526,431.761"
"61","1,0,2,261.288,425.87"
"62","1,0,2,263.192,420.039"
"63","1,0,2,265.234,414.27"
"64","1,0,2,267.413,408.567"
"65","1,0,2,269.727,402.93"
"66","1,0,2,274.75,391.864"
"67","1,0,2,280.289,381.088"
