"","houseid","village","education","containers","viltype"
"1",1,22,"Other",3,"rural"
"2",2,22,"Primary",1,"rural"
"3",3,22,"Primary",0,"rural"
"4",4,22,"Primary",0,"rural"
"5",5,22,"Primary",11,"rural"
"6",6,22,"Primary",6,"rural"
"7",7,22,"Primary",0,"rural"
"8",8,22,"Secondary",0,"rural"
"9",9,22,"Bachelor",0,"rural"
"10",10,22,"Bachelor",NA,"rural"
"11",11,22,"Primary",1,"rural"
"12",12,22,"Secondary",0,"rural"
"13",13,27,"Secondary",0,"urban"
"14",14,27,"Primary",0,"urban"
"15",15,27,"High school",0,"urban"
"16",16,27,"Bachelor",0,"urban"
"17",17,27,"Primary",0,"urban"
"18",18,27,"Secondary",0,"urban"
"19",19,27,"High school",0,"urban"
"20",20,27,"Secondary",0,"urban"
"21",21,27,"Secondary",1,"urban"
"22",22,27,"High school",0,"urban"
"23",23,27,"Other",0,"urban"
"24",24,27,"Secondary",0,"urban"
"25",25,23,"Primary",0,"urban"
"26",26,23,"Primary",0,"urban"
"27",27,23,"Bachelor",0,"urban"
"28",28,23,"Secondary",0,"urban"
"29",29,23,"Primary",0,"urban"
"30",30,23,"Primary",0,"urban"
"31",31,23,"Primary",0,"urban"
"32",32,23,"Other",0,"urban"
"33",33,23,"Primary",0,"urban"
"34",34,23,"Primary",1,"urban"
"35",35,23,"Other",1,"urban"
"36",36,23,"Primary",0,"urban"
"37",37,10,"Secondary",0,"rural"
"38",38,10,"Secondary",0,"rural"
"39",39,10,"Secondary",0,"rural"
"40",40,10,"Primary",0,"rural"
"41",41,10,"Primary",0,"rural"
"42",42,10,"High school",0,"rural"
"43",43,10,"Primary",0,"rural"
"44",44,10,"Primary",0,"rural"
"45",45,10,"Primary",0,"rural"
"46",46,10,"Primary",0,"rural"
"47",47,10,"Other",0,"rural"
"48",48,10,"Primary",1,"rural"
"49",51,51,"High school",0,"rural"
"50",52,51,"Secondary",0,"rural"
"51",53,51,"Bachelor",0,"rural"
"52",54,51,"Secondary",0,"rural"
"53",55,52,"Primary",0,"urban"
"54",56,52,"High school",0,"urban"
"55",57,52,"Primary",0,"urban"
"56",58,52,"Bachelor",0,"urban"
"57",59,51,"Bachelor",4,"rural"
"58",60,51,"Bachelor",0,"rural"
"59",61,51,"Other",0,"rural"
"60",62,52,"Other",0,"urban"
"61",63,52,"High school",1,"urban"
"62",64,52,"Other",1,"urban"
"63",65,52,"Primary",0,"urban"
"64",66,51,"High school",3,"rural"
"65",67,51,"Other",0,"rural"
"66",68,51,"Other",0,"rural"
"67",69,51,"Primary",0,"rural"
"68",70,51,"Primary",0,"rural"
"69",71,52,"Primary",0,"urban"
"70",72,52,"Other",0,"urban"
"71",73,52,"Bachelor",0,"urban"
"72",74,52,"Other",0,"urban"
"73",75,61,"Primary",0,"slum"
"74",76,61,"Primary",0,"slum"
"75",77,61,"Primary",0,"slum"
"76",78,61,"Primary",0,"slum"
"77",79,58,"Primary",0,"urban"
"78",80,58,"High school",0,"urban"
"79",81,58,"Primary",0,"urban"
"80",82,58,"Secondary",0,"urban"
"81",83,61,"Secondary",0,"slum"
"82",84,61,"Secondary",0,"slum"
"83",85,61,"Secondary",0,"slum"
"84",86,61,"Other",0,"slum"
"85",87,58,"Secondary",0,"urban"
"86",88,58,"Primary",0,"urban"
"87",89,58,"Other",0,"urban"
"88",90,58,"Other",0,"urban"
"89",91,61,"Bachelor",0,"slum"
"90",92,61,"High school",0,"slum"
"91",93,61,"Primary",0,"slum"
"92",94,61,"Bachelor",1,"slum"
"93",95,58,"Primary",0,"urban"
"94",96,58,"Primary",0,"urban"
"95",97,58,"Primary",0,"urban"
"96",98,58,"Primary",0,"urban"
"97",101,92,"Primary",0,"rural"
"98",102,92,"Primary",0,"rural"
"99",103,92,"Bachelor",0,"rural"
"100",104,92,"Primary",0,"rural"
"101",105,92,"Primary",3,"rural"
"102",106,92,"Bachelor",0,"rural"
"103",107,92,"Primary",0,"rural"
"104",108,92,"Secondary",0,"rural"
"105",109,92,"High school",0,"rural"
"106",110,92,"Primary",0,"rural"
"107",111,92,"Other",0,"rural"
"108",112,92,"Bachelor",0,"rural"
"109",113,105,"Primary",0,"rural"
"110",114,105,"Primary",0,"rural"
"111",115,105,"High school",0,"rural"
"112",116,105,"Primary",0,"rural"
"113",117,105,"Primary",0,"rural"
"114",118,105,"High school",0,"rural"
"115",119,105,"Primary",0,"rural"
"116",120,105,"Primary",0,"rural"
