"","id","sex","birthyr","educ","marital","maryr","endyr"
"1",1,"male",1953,">bachelor","Married",1979,1997
"2",2,"female",1954,"bach-","Married",1980,1997
"3",3,"male",1952,">bachelor","Married",1981,1997
"4",4,"male",1972,">bachelor","Single",NA,1997
"5",5,"female",1960,"bach-","Married",1986,1997
"6",6,"female",1971,">bachelor","Single",NA,1997
"7",7,"female",1955,"bach-","Married",1983,1997
"8",8,"female",1967,">bachelor","Married",1995,1997
"9",9,"female",1956,"bach-","Married",1984,1997
"10",10,"female",1961,"bach-","Single",NA,1997
"11",11,"female",1953,"bach-","Married",1989,1997
"12",12,"male",1958,">bachelor","Single",NA,1997
"13",13,"female",1962,"bach-","Married",1991,1997
"14",14,"female",1964,"bach-","Single",NA,1997
"15",15,"female",1965,"bach-","Married",1990,1997
"16",16,"male",1956,"bach-","Married",1987,1997
"17",17,"female",1959,"bach-","Married",1986,1997
"18",18,"female",1963,"bach-","Single",NA,1997
"19",19,"female",1960,"bach-","Single",NA,1997
"20",20,"male",1963,">bachelor","Married",1989,1997
"21",21,"female",1970,">bachelor","Single",NA,1997
"22",22,"male",1968,">bachelor","Married",1993,1997
"23",23,"female",1967,">bachelor","Married",1994,1997
"24",24,"female",1971,">bachelor","Single",NA,1997
"25",25,"female",1969,">bachelor","Single",NA,1997
"26",26,"male",1964,">bachelor","Married",1994,1997
"27",27,"male",1965,">bachelor","Single",NA,1997
