"","QID","A1","A2","A3","A4","A5","A6","A7","A8","A16","A17","A18"
"284",290,28,"vocational","central",1,1,10000,"yes i know","yes","willing if have money","willing if have money","willing if have money"
"13",13,25,"lowersec","northeast",15,12,15000,"yes i know","yes","willing if have money","willing if have money","willing"
"103",104,30,"primary","northeast",72,17,5000,"yes i know","yes","willing","willing","willing"
"278",284,32,"primary","northern",4,4,10000,"yes i know","no","willing","willing","willing"
"259",265,32,"uppersec","northern",8,8,10000,"yes i know","yes","willing","willing","willing"
"89",90,29,"primary","northeast",60,22,6000,"no",NA,"not willing","not willing","willing"
"270",276,26,"uppersec","northeast",2,2,30000,"yes i know","yes","willing","not willing","not willing"
"206",210,22,"lowersec","northeast",2,2,1000,"no",NA,"willing if have money","willing if have money","willing if have money"
"54",55,19,"uppersec","southern",7,6,5000,"no",NA,"willing","willing","willing"
"53",54,32,"lowersec","southern",24,6,5000,"no",NA,"willing if have money","willing if have money","willing"
"214",220,35,"lowersec","southern",106,888,8000,"yes i know","yes","willing","willing","willing"
"30",30,32,"primary","not answer",16,16,5000,"yes i know","yes","willing if have money","willing if have money","willing if have money"
"247",253,28,"lowersec","northeast",1,1,2000,"no",NA,"willing","willing","willing"
"211",217,39,"uppersec","northern",3,3,3000,"yes i know","yes","willing","willing if have money","willing"
"258",264,32,"uppersec","northern",12,12,10000,"yes i know","yes","willing","not sure","willing"
"286",292,31,"primary","northeast",1,1,88888,"no",NA,"willing","willing if have money","willing"
"309",315,34,"lowersec","northern",36,24,10000,"yes i know","yes","willing","willing if have money","willing"
"209",213,39,"uppersec","northern",120,36,30000,"yes i know","yes","willing","willing if have money","willing"
"293",299,30,"uppersec","central",36,0,15000,"yes i know","yes","willing if have money","willing if have money","willing"
"237",243,33,"primary","northeast",1,1,99999,"no",NA,"willing","willing","willing"
"227",233,34,"lowersec","northern",25,18,3000,"yes i know","yes","willing","willing","willing"
"312",318,28,"uppersec","northern",2,888,50000,"yes i know","yes","willing","willing","willing"
"71",72,25,"uppersec","southern",51,6,5000,"no",NA,"not answer","not answer","willing"
"306",312,24,"uppersec","central",96,10,4000,"yes i know","no","willing","willing if have money","willing"
"117",119,22,"not answer","northeast",72,36,99999,"yes i know","no","willing","willing","willing"
"18",18,40,"lowersec","northeast",12,12,88888,"yes i know","yes","willing","willing if have money","willing"
"201",205,28,"primary","northeast",12,12,0,"yes i know","yes","willing if have money","not sure","not sure"
"47",48,23,"vocational","northeast",3,3,10000,"yes i know","no","willing if have money","willing if have money","willing"
"171",175,25,"lowersec","northeast",24,24,88888,"yes i know","yes","willing","willing if have money","willing"
"228",234,28,"primary","northeast",15,15,10000,"yes but no one told","yes","willing if have money","willing if have money","willing if have money"
"86",87,26,"uppersec","southern",60,60,5000,"yes i know","yes","willing","willing if have money","willing"
"292",298,22,"primary","southern",26,26,10000,"yes i know","no","willing","willing","willing"
"1",1,21,"lowersec","northeast",9,9,15000,"yes i know","no","willing if have money","willing if have money","willing if have money"
"300",306,22,"primary","northeast",53,53,99999,"yes i know","yes","willing","willing","willing"
"226",232,24,"lowersec","northern",6,6,4000,"no",NA,"willing","willing","willing"
"160",164,24,"primary","northeast",67,60,6000,"no",NA,"willing","willing","willing"
"260",266,23,"lowersec","northern",22,22,15000,"yes i know","yes","willing","willing","willing"
"127",129,28,"primary","northeast",1,1,88888,"no",NA,"not sure","not sure","not sure"
"190",194,33,"vocational","central",1,1,88888,"no",NA,"willing","willing if have money","willing if have money"
"64",65,20,"lowersec","northeast",108,1,7000,"no",NA,"willing if have money","not sure","willing"
"146",150,24,"vocational","southern",70,12,5000,"yes i know","no","willing if have money","willing if have money","willing if have money"
"22",22,26,"lowersec","central",1,1,3000,"no",NA,"willing if have money","willing if have money","willing if have money"
"2",2,30,"primary","southern",60,48,6000,"yes i know","yes","willing if have money","willing if have money","willing"
"115",117,26,"vocational","northeast",36,36,5000,"yes but no one told","no","willing if have money","willing if have money","willing if have money"
"225",231,20,"lowersec","northern",1,1,5000,"no",NA,"willing","not sure","willing"
"16",16,19,"lowersec","southern",3,12,5000,"yes i know","yes","willing","willing","willing"
"141",145,31,"bachelor","southern",60,25,5000,"yes i know","no","willing","willing","willing"
"243",249,29,"primary","northeast",4,4,2000,"no",NA,"willing","not willing","not sure"
