"","V1","V2","V3","V4","V5","V6"
"1",3,0,0,0,0,0
"2",1,0,0,0,0,0
"3",2,0,0,0,0,0
"4",2,0,0,0,0,0
"5",6,1,0,0,0,0
"6",2,3,0,0,0,0
"7",2,12,0,0,0,0
"8",4,3,0,0,0,0
"9",4,1,0,0,0,0
"10",83,14,0,0,0,0
"11",51,23,0,0,0,0
"12",106,56,7,0,0,0
"13",22,7,3,0,0,0
"14",2,2,2,0,0,0
"15",1,2,1,0,0,0
"16",140,35,212,21,0,0
"17",170,128,96,30,0,0
"18",1,1,8,17,0,0
"19",0.2,0,5,2,0,0
"20",22,6,13,4,0,0
"21",28,1,1,12,0,0
"22",0.2,0.2,1,2,0,0
"23",2,1,9,1,0,0
"24",23,24,126,163,62,0
"25",193,307,805,542,128,0
"26",161,77,205,296,37,0
"27",141,163,53,63,14,0
"28",57,154,248,78,4,0
"29",102,66,58,68,45,0
"30",105,12,40,62,1,0
"31",5,27,78,107,12,0
"32",34,45,165,190,64,0
"33",38,40,91,49,1,0
"34",34,79,289,268,14,0
"35",23,11,140,311,50,0
"36",48,79,152,307,7,0
"37",10,14,8,20,11,0
"38",5,32,6,0,11,0
"39",18,14,17,58,6,0
"40",5,21,81,172,15,0
"41",1,0,0,0.2,2,0
"42",47,14,11,21,51,22
"43",88,53,42,17,0,2
"44",38,48,62,126,50,10
"45",7,42,46,56,66,38
"46",96,160,258,92,12,2
"47",5,4,8,16,55,47
"48",93,58,160,172,202,197
"49",67,70,181,352,146,65
"50",10,29,171,328,204,35
"51",2,0,48,183,268,234
"52",0.2,9,5,13,5,7
"53",6,11,59,102,70,45
"54",4,4,110,284,219,82
"55",0,2,0,0,0,0
"56",0,1,0,0,0,0
"57",0,1,0,0,0,0
"58",0,1,0,0,0,0
"59",0,2,0,0,0,0
"60",0,14,82,0,0,0
"61",0,1,4,0,0,0
"62",0,3,2,0,0,0
"63",0,1,1,0,0,0
"64",0,0.2,2,0.2,0,0
"65",0,2,0.2,0.2,0,0
"66",0,2,1,0,0.2,0
"67",0,1,32,121,20,0
"68",0,5,74,126,24,0
"69",0,1,25,63,122,12
"70",0,2,7,41,74,2
"71",0,9,94,251,98,5
"72",0,0,1,0,0,0
"73",0,0,2,0,0,0
"74",0,0,1,0,0,0
"75",0,0,8,0,0,0
"76",0,0,1,0,0,0
"77",0,0,14,0,0,0
"78",0,0,3,0,0,0
"79",0,0,1,1,0,0
"80",0,0,0.2,5,0,0
"81",0,0,2,2,0,0
"82",0,0,0.2,1,0,0
"83",0,0,22,46,0,0
"84",0,0,12,9,0,0
"85",0,0,2,0,0.2,0
"86",0,0,2,135,58,0
"87",0,0,16,37,15,0
"88",0,0,2,39,157,130
"89",0,0,3,5,14,25
"90",0,0,39,171,58,0
"91",0,0,2,1,12,22
"92",0,0,1,3,5,13
"93",0,0,1,22,18,5
"94",0,0,0.2,1,6,2
"95",0,0,0,10,0,0
"96",0,0,0,4,0,0
"97",0,0,0,1,0,0
"98",0,0,0,2,0,0
"99",0,0,0,1,0,0
"100",0,0,0,0.2,4,0
"101",0,0,0,5,20,0
"102",0,0,0,2,14,0
"103",0,0,0,2,11,0
"104",0,0,0,1,9,7
"105",0,0,0,23,43,22
"106",0,0,0,4,2,5
"107",0,0,0,2,20,13
"108",0,0,0,79,365,253
"109",0,0,0,15,42,22
"110",0,0,0,2,32,13
"111",0,0,0,42,265,308
"112",0,0,0,1,5,10
"113",0,0,0,67,76,10
"114",0,0,0,2,26,7
"115",0,0,0,1,3,7
"116",0,0,0,5,39,25
"117",0,0,0,2,128,254
"118",0,0,0,9,90,200
"119",0,0,0,0,3,0
"120",0,0,0,0,6,0
"121",0,0,0,0,11,0
"122",0,0,0,0,1,0
"123",0,0,0,0,2,0
"124",0,0,0,0,7,2
"125",0,0,0,0,4,10
"126",0,0,0,0,2,38
"127",0,0,0,0,2,13
"128",0,0,0,0,1,7
"129",0,0,0,0,6,18
"130",0,0,0,0,2,5
"131",0,0,0,0,2,7
"132",0,0,0,0,1,2
"133",0,0,0,0,1,7
"134",0,0,0,0,23,10
"135",0,0,0,0,86,242
"136",0,0,0,0,26,42
"137",0,0,0,0,10,2
"138",0,0,0,0,0,2
"139",0,0,0,0,0,2
"140",0,0,0,0,0,2
"141",0,0,0,0,0,15
"142",0,0,0,0,0,25
"143",0,0,0,0,0,5
"144",0,0,0,0,0,2
