"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","203206","121121","157157","115115","148163","148148","135135","124124","000000","258260","119119","120138","157157"
"2","173206","121121","157157","115115","157163","148148","135135","124126","000000","258260","119119","124128","157157"
"3","203218","121121","157165","115115","157151","145148","135135","124124","000000","258258","119119","124126","157157"
"4","206206","121121","157157","113115","157163","145148","135135","124124","000000","258258","119119","128140","157157"
"5","206206","121121","157157","113115","157163","145148","135135","124124","000000","258260","119119","128128","157157"
"6","197203","121121","157157","115115","148157","148145","135135","124128","000000","258260","119119","120128","157157"
"7","206206","121121","159159","115115","157157","148145","135135","124126","000000","258258","119119","124128","157157"
"8","173212","121121","159159","115115","151163","148148","135135","124130","000000","258258","119119","122124","157157"
"9","203206","121121","163165","115115","157157","148148","135135","124126","000000","258260","119119","124124","157157"
"10","173206","121121","157159","115115","157163","145148","135135","124124","000000","260260","119119","126128","157157"
"11","203203","121121","157157","115113","148157","145148","135135","124126","000000","258260","119119","120128","157157"
"12","203218","121121","159159","115115","157163","145145","135135","124128","000000","258258","119119","126126","157157"
"13","173206","121121","157157","115115","157157","148148","135135","124128","000000","258260","119119","120124","157157"
"14","203206","121121","157157","115115","157157","148148","135135","128128","000000","258260","119119","120138","157157"
"15","203206","121121","157157","115115","157157","148148","135135","124128","000000","258258","119119","120138","157157"
"16","203206","121121","161159","115115","157163","148145","135135","128128","000000","258260","119119","124136","157157"
"17","203206","121121","157163","115115","148157","148148","135135","124128","000000","260260","119119","128128","157157"
"18","200212","121121","157163","115115","157163","145148","135135","124128","000000","258258","119119","128140","157157"
"19","200206","121121","163165","115115","157157","148148","135135","124126","000000","258258","119119","120126","157157"
"20","203206","121121","157163","115115","148157","145148","135135","124128","000000","260258","119119","128128","157157"
"21","173206","121121","157159","115115","157157","148148","135135","124128","000000","258260","119119","124126","157157"
"22","173206","121121","157163","115115","157163","148148","135135","124128","000000","258258","119119","122126","157157"
"23","173206","121121","157157","115115","148163","145145","135135","124126","000000","258258","119119","120128","157157"
"24","173206","121121","157159","115115","163175","148148","135135","124128","000000","258258","119119","124132","157157"
"25","173206","121121","157159","115115","151157","145148","135135","124128","000000","258260","119119","126128","157157"
"26","206206","121121","157159","115115","157163","148148","135135","126128","000000","260260","119119","120124","157157"
"27","173203","121121","157157","115115","157163","148148","135135","124128","000000","258258","119119","120122","157157"
"28","173173","121121","157165","115115","157148","148148","135135","124124","000000","258258","119119","126126","157157"
"29","203206","121121","159163","115115","157157","145148","135135","124128","000000","258258","119119","128126","157157"
"30","206206","121121","157163","115115","157157","145145","135135","128128","000000","258260","119119","120122","157157"
"31","173206","121121","157159","115115","157163","148145","135135","124126","000000","258258","119119","126132","157157"
"32","206206","121121","157165","115115","163163","148145","135135","124124","000000","258260","119119","122124","157157"
"33","173206","121121","157157","115115","163175","148148","135135","124128","000000","258258","119119","120132","157157"
"34","203206","121121","157157","115115","157157","148145","135135","124128","000000","258258","119119","124136","157157"
"35","173203","121121","159161","115115","157157","148148","135135","124128","000000","258258","119119","128128","157157"
"36","164164","000000","131131","111111","000000","148148","147147","126126","186186","252252","122122","108126","184184"
"37","164164","000000","115125","127127","000000","139139","156153","120120","188194","252252","116122","108108","187184"
"38","158164","000000","125129","113111","000000","148148","147141","128128","186186","252252","122122","108108","184184"
"39","164164","000000","125125","111111","000000","154148","147147","126126","186186","252252","122122","110108","184184"
"40","164164","000000","125125","111111","000000","133148","147141","126126","186186","252252","122122","108108","184184"
"41","164164","000000","125129","115115","000000","139145","162138","120120","188184","252252","122122","112114","187181"
"42","164164","000000","125127","111111","000000","148148","147147","126128","186186","252252","122122","108110","184184"
"43","158164","000000","131131","111113","000000","148148","147141","126128","186186","252252","122122","108108","184184"
"44","164164","000000","131131","111111","000000","148148","147141","126128","186186","252252","122122","110108","184184"
"45","158164","000000","131129","111111","000000","148148","147141","120126","186192","252252","122122","110108","184184"
"46","164164","000000","131131","113111","000000","148145","147141","126126","192192","252252","122122","110108","184184"
"47","164164","000000","125137","111111","000000","148148","141141","126128","186192","252252","122122","110110","184184"
"48","158164","000000","125127","113111","000000","148148","147147","126128","186186","252252","122122","110110","184184"
"49","164164","000000","131137","113111","000000","148148","147147","120126","186192","252252","122122","108108","184184"
"50","164164","000000","125127","111111","000000","148148","147147","126126","186194","252252","122122","108126","184184"
"51","164164","000000","125131","111111","000000","148148","147141","126120","192194","252252","122122","110110","184184"
"52","164164","000000","131131","111111","000000","148148","147141","126126","186186","252252","122122","110110","181184"
"53","161164","000000","131131","113111","000000","148148","141141","126126","186186","252252","122122","110108","184184"
"54","158164","000000","129131","111113","000000","148133","147147","126126","186186","252252","122122","110110","184184"
"55","164164","000000","131133","111111","000000","148148","147147","126126","186194","252252","122122","108112","184184"
"56","164164","000000","131135","111111","000000","148148","147147","120126","186186","252252","125122","108108","184184"
"57","164164","000000","125131","111111","000000","148148","147147","126128","186192","252252","122122","108108","184184"
"58","164164","000000","131131","111113","000000","148148","147147","126128","186186","252252","122122","108108","184184"
"59","164164","000000","125131","111111","000000","148148","147141","126126","186186","252252","122122","110112","184184"
"60","164164","000000","129131","113111","000000","148148","147147","126128","186192","252252","122122","108108","184184"
"61","164164","000000","117117","117117","000000","136136","153138","120122","188194","252252","122122","110112","187187"
"62","161164","000000","117125","131117","000000","145139","156150","120122","188184","252252","122122","116118","187187"
"63","164161","000000","117117","123117","000000","148136","141138","120120","190192","252252","119122","110112","190184"
"64","164161","000000","125133","129131","000000","139139","144144","120120","190184","252252","122122","112124","187184"
"65","164164","000000","117117","115115","000000","148148","165150","120122","190196","252252","119122","108120","184184"
"66","161161","000000","117117","107115","000000","142142","153144","110120","184190","252232","122122","114114","184181"
"67","164164","000000","125123","099113","000000","142136","147144","112120","184188","252250","119122","112124","187184"
"68","161167","000000","117125","115115","000000","142139","168144","110120","184184","252252","119119","116118","196184"
"69","161164","000000","117131","129107","000000","145139","150147","120120","190190","252252","122122","110112","187184"
"70","161164","000000","117117","115103","000000","142136","144144","110120","184184","252252","119119","110126","187172"
"71","161167","000000","125129","119119","000000","139139","156144","120120","190194","252252","122122","116122","184184"
"72","161164","000000","117131","119107","000000","142139","162156","110120","188190","252252","119122","108110","193184"
"73","161161","000000","129133","115115","000000","145142","165144","110120","184196","252252","119122","122112","187187"
