"","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10"
"Poland",98.5,94.4,92.1,73.9,84.5,3.5,2.67,0.76,61.9,23.2
"Dolnoslaskie",99.1,91.8,89,85.2,80.1,3.41,2.63,0.77,60.6,23
"Kujawsko-pomorskie",99,94.7,90.3,72.9,82.5,3.48,2.74,0.79,58.7,21.4
"Lubelskie",97.3,94.1,92.5,69,88.7,3.69,2.82,0.76,63.7,22.6
"Lubuskie",99.1,94.2,91.4,75.6,81.7,3.59,2.77,0.77,62.8,22.7
"Lodzkie",96.2,89.5,86.1,61.4,79.9,3.31,2.46,0.74,57.7,23.4
"Malopolskie",98.2,96.2,95,79,85,3.46,2.7,0.78,62.3,23
"Mazowieckie",97.8,95.7,93.7,77.2,90.1,3.35,2.45,0.73,61.2,25
"Opolskie",99.3,95.2,93.3,77.2,83.8,3.61,2.8,0.77,64.5,23.1
"Podkarpackie",97.8,95.3,94.6,88.2,87.5,3.77,3.04,0.81,66.7,21.9
"Podlaskie",97.9,94.9,94.1,45.3,89.9,3.8,2.79,0.73,64.1,23
"Pomorskie",99.7,97.6,94.4,75.8,86,3.53,2.7,0.76,62.2,23
"Slaskie",99.1,93.2,91.4,71.1,79.5,3.44,2.65,0.77,61.4,23.2
"Swietokrzyskie",96.5,92.6,91.5,69.7,88.9,3.48,2.73,0.78,60.8,22.3
"Warminsko-mazurskie",99.8,97.7,94.8,72.8,88.2,3.6,2.83,0.79,60,21.2
"Wielkopolskie",99.3,95.6,93.1,70,83.1,3.73,2.83,0.76,68.5,24.2
"Zachodniopomorskie",99.7,95.7,93.3,80.6,87.3,3.57,2.72,0.76,61.8,22.8
