"","v_1","v_2","v_3","v_4","v_5","v_6","v_7","v_8","v_9","v_10","v_11","v_12"
"1",3,2,3,2,2,3,1,3,2,1,2,2
"2",1,2,3,1,1,4,1,4,1,3,1,1
"3",4,3,2,4,2,4,3,3,2,1,3,2
"4",1,2,1,4,1,2,2,4,1,2,2,1
"5",2,3,3,1,2,4,2,3,1,2,3,3
"6",3,2,2,2,1,2,1,3,2,1,2,2
"7",2,4,2,2,1,4,1,4,1,2,1,2
"8",1,3,3,1,2,4,2,4,1,2,2,1
"9",2,2,2,1,3,4,3,3,1,2,3,3
"10",1,2,2,1,1,4,1,4,1,3,1,2
"11",2,4,3,4,2,4,3,4,1,2,2,2
"12",2,3,4,4,1,3,1,3,1,2,1,3
"13",2,2,1,1,1,2,1,3,2,3,3,3
"14",1,2,1,1,1,2,2,3,2,1,1,1
"15",3,3,2,1,2,4,2,3,1,1,1,2
"16",2,4,4,2,3,2,3,3,2,2,3,3
"17",2,4,3,1,4,2,2,4,1,2,2,2
"18",3,3,2,1,2,2,2,3,2,2,1,1
"19",3,4,3,3,3,4,3,3,1,1,3,3
"20",2,2,2,4,2,1,2,3,1,2,1,1
"21",1,3,3,1,2,4,2,4,1,2,2,3
"22",1,2,2,2,1,4,1,4,1,1,2,3
"23",2,4,3,1,3,4,2,3,1,1,2,3
"24",3,3,5,2,3,4,3,2,2,2,3,3
"25",3,2,2,1,2,4,3,1,2,2,3,2
"26",4,3,2,2,2,3,3,1,2,3,3,3
