"","v_1","v_2","v_3","v_4","v_5"
"1",-1.129164,-1.066678,-0.543411,0.185954,0.282453
"2",-1.074032,-1.094372,0.584006,-0.172737,-0.270509
"3",-1.142423,-0.959398,-0.478918,-0.043656,0.944304
"4",-1.060772,-1.201653,0.519514,0.056873,-0.932361
"5",-0.791176,-1.033117,-1.636619,-0.532169,0.142874
"6",-1.412019,-1.127933,1.677214,0.545386,-0.130931
"7",-1.134174,-1.382828,-0.39596,0.898523,-1.672074
"8",-1.069022,-0.778223,0.436556,-0.885307,1.684017
"9",-1.061982,-0.868345,0.175838,-0.631015,1.187416
"10",-1.141214,-1.292705,-0.135243,0.644232,-1.175473
"11",-0.910512,-0.695948,0.612063,-1.544763,1.851115
"12",-1.292684,-1.465102,-0.571468,1.55798,-1.839172
"13",-0.675973,-1.303781,-0.985172,-0.370929,-1.881162
"14",-1.527223,-0.85727,1.025767,0.384146,1.893105
"15",-0.834504,-1.129522,-0.230884,-0.534832,-0.718495
"16",-1.030829,0.77273,0.27148,0.548049,0.730438
"17",-1.14465,1.409667,1.42025,-0.853948,0.579897
"18",-1.179768,0.976672,-1.379654,0.867166,-0.567953
"19",-0.995711,1.205724,-0.066114,1.165708,1.435617
"20",-1.150517,1.153711,0.106709,-1.152491,-1.423674
"21",-1.024962,1.028685,0.335799,-0.349934,0.352771
"22",-1.219166,0.708353,-0.295204,0.363151,-0.340827
"23",-0.956313,1.474044,0.841179,0.072201,-2.118615
"24",-1.617196,1.103394,-0.800583,-0.058984,2.130559
"25",-0.558283,1.079002,0.118271,1.329569,0.703252
"26",-1.119016,0.876741,-0.077676,-1.316352,-0.691308
"27",-1.056464,1.305656,-0.380952,0.014335,0.051615
"28",-0.896639,0.902886,0.421547,-0.001119,-0.039672
"29",-1.278841,1.27951,-0.283735,-1.872862,0.291884
"30",-1.028518,0.980083,0.32433,1.886079,-0.279941
"31",-0.010367,0.144239,0.45328,-0.289153,-0.198632
"32",-0.000736,-0.181877,-0.412685,0.30237,0.210575
"33",0.020603,0.135892,1.896102,-0.078948,0.552334
"34",-0.031706,-0.173529,-1.855507,0.092165,-0.540391
"35",-0.153667,0.301317,1.196067,1.17109,1.566429
"36",0.142564,-0.338955,-1.155472,-1.157873,-1.554486
"37",-0.305931,0.266904,-0.364846,-0.057078,0.029724
"38",0.294828,-0.304541,0.405442,0.070295,-0.017781
"39",-0.103902,-0.197877,0.631663,-0.645116,0.13995
"40",0.092799,0.16024,-0.591068,0.658332,-0.128007
"41",-0.43545,-0.235148,-0.691284,0.864111,0.392519
"42",0.424347,0.197511,0.73188,-0.850894,-0.380575
"43",-0.20997,-0.059923,-1.451347,1.416563,0.660982
"44",0.198866,0.022285,1.491942,-1.403346,-0.649038
"45",0.077714,0.263455,-0.235651,-2.1448,0.395245
"46",1.414732,-0.868368,0.276246,2.158017,-0.383301
"47",0.704758,-1.271935,-0.87748,0.787601,-1.121547
"48",1.064778,-0.810687,0.918075,-0.774384,1.13349
"49",1.054712,-1.329617,0.147749,1.492468,0.867134
"50",1.203345,-1.16185,-0.107154,-1.479251,-0.85519
"51",0.916145,-0.978454,-0.505446,0.924617,0.535125
"52",0.70141,-1.055007,0.546041,-0.9114,-0.523181
"53",1.41808,-1.085297,-0.97016,1.506527,0.661725
"54",1.05624,-1.022831,1.010756,-1.49331,-0.649782
"55",1.06325,-1.117473,1.583883,-1.316891,0.271516
"56",1.033033,-0.611456,-1.543288,1.330108,-0.259573
"57",1.086457,-1.528848,0.251808,-0.032979,-0.723908
"58",1.185758,-1.129553,-0.211213,0.046195,0.735851
"59",0.933732,-1.010751,0.920027,0.994355,0.224959
"60",1.420429,-1.27475,-0.879432,-0.981138,-0.213016
"61",0.876584,1.39273,0.679258,0.107471,-1.633715
"62",1.311821,0.7732,-0.638662,-0.094254,1.645658
"63",1.082689,0.704325,-1.711441,-1.095385,0.023073
"64",1.105716,1.461604,1.752036,1.108601,-0.01113
"65",1.442558,1.114602,0.33816,-0.517519,0.060481
"66",0.745848,1.051328,-0.297565,0.530736,-0.048537
"67",0.915248,1.26417,-1.075298,0.405074,-0.137646
"68",1.273158,0.901759,1.115893,-0.391857,0.14959
"69",1.132966,1.26736,-0.964916,-1.246896,-1.951294
"70",1.055439,0.89857,1.005512,1.260113,1.963237
"71",1.033149,1.016967,-2.80456,1.537397,-1.145693
"72",1.155257,1.148963,2.845155,-1.52418,1.157637
"73",1.461492,1.28494,0.726017,-1.245564,1.376339
"74",0.726914,0.88099,-0.685422,1.258781,-1.364395
"75",0.938019,1.095351,-1.502059,-0.489059,-0.441945
