"","root","varb","resp","id"
"1.S1",1,"S1",1,1
"2.S1",1,"S1",1,2
"3.S1",1,"S1",0,3
"4.S1",1,"S1",1,4
"5.S1",1,"S1",1,5
"6.S1",1,"S1",0,6
"7.S1",1,"S1",1,7
"8.S1",1,"S1",0,8
"9.S1",1,"S1",1,9
"10.S1",1,"S1",1,10
"11.S1",1,"S1",1,11
"12.S1",1,"S1",1,12
"13.S1",1,"S1",1,13
"14.S1",1,"S1",1,14
"15.S1",1,"S1",1,15
"16.S1",1,"S1",1,16
"17.S1",1,"S1",1,17
"18.S1",1,"S1",1,18
"1.S2",1,"S2",1,1
"2.S2",1,"S2",1,2
"3.S2",1,"S2",0,3
"4.S2",1,"S2",1,4
"5.S2",1,"S2",1,5
"6.S2",1,"S2",0,6
"7.S2",1,"S2",1,7
"8.S2",1,"S2",0,8
"9.S2",1,"S2",1,9
"10.S2",1,"S2",1,10
"11.S2",1,"S2",1,11
"12.S2",1,"S2",1,12
"13.S2",1,"S2",1,13
"14.S2",1,"S2",1,14
"15.S2",1,"S2",1,15
"16.S2",1,"S2",0,16
"17.S2",1,"S2",1,17
"18.S2",1,"S2",1,18
"1.B2",1,"B2",0,1
"2.B2",1,"B2",2,2
"3.B2",1,"B2",0,3
"4.B2",1,"B2",0,4
"5.B2",1,"B2",0,5
"6.B2",1,"B2",0,6
"7.B2",1,"B2",2,7
"8.B2",1,"B2",0,8
"9.B2",1,"B2",0,9
"10.B2",1,"B2",5,10
"11.B2",1,"B2",1,11
"12.B2",1,"B2",7,12
"13.B2",1,"B2",1,13
"14.B2",1,"B2",0,14
"15.B2",1,"B2",0,15
"16.B2",1,"B2",0,16
"17.B2",1,"B2",0,17
"18.B2",1,"B2",0,18
"1.S3",1,"S3",1,1
"2.S3",1,"S3",1,2
"3.S3",1,"S3",0,3
"4.S3",1,"S3",1,4
"5.S3",1,"S3",1,5
"6.S3",1,"S3",0,6
"7.S3",1,"S3",1,7
"8.S3",1,"S3",0,8
"9.S3",1,"S3",1,9
"10.S3",1,"S3",1,10
"11.S3",1,"S3",1,11
"12.S3",1,"S3",1,12
"13.S3",1,"S3",1,13
"14.S3",1,"S3",1,14
"15.S3",1,"S3",1,15
"16.S3",1,"S3",0,16
"17.S3",1,"S3",1,17
"18.S3",1,"S3",1,18
"1.B3",1,"B3",3,1
"2.B3",1,"B3",6,2
"3.B3",1,"B3",0,3
"4.B3",1,"B3",4,4
"5.B3",1,"B3",0,5
"6.B3",1,"B3",0,6
"7.B3",1,"B3",5,7
"8.B3",1,"B3",0,8
"9.B3",1,"B3",7,9
"10.B3",1,"B3",7,10
"11.B3",1,"B3",5,11
"12.B3",1,"B3",6,12
"13.B3",1,"B3",6,13
"14.B3",1,"B3",4,14
"15.B3",1,"B3",6,15
"16.B3",1,"B3",0,16
"17.B3",1,"B3",3,17
"18.B3",1,"B3",0,18
"1.S4",1,"S4",1,1
"2.S4",1,"S4",1,2
"3.S4",1,"S4",0,3
"4.S4",1,"S4",1,4
"5.S4",1,"S4",1,5
"6.S4",1,"S4",0,6
"7.S4",1,"S4",1,7
"8.S4",1,"S4",0,8
"9.S4",1,"S4",1,9
"10.S4",1,"S4",1,10
"11.S4",1,"S4",1,11
"12.S4",1,"S4",1,12
"13.S4",1,"S4",1,13
"14.S4",1,"S4",1,14
"15.S4",1,"S4",1,15
"16.S4",1,"S4",0,16
"17.S4",1,"S4",1,17
"18.S4",1,"S4",1,18
"1.B4",1,"B4",4,1
"2.B4",1,"B4",1,2
"3.B4",1,"B4",0,3
"4.B4",1,"B4",2,4
"5.B4",1,"B4",2,5
"6.B4",1,"B4",0,6
"7.B4",1,"B4",3,7
"8.B4",1,"B4",0,8
"9.B4",1,"B4",2,9
"10.B4",1,"B4",5,10
"11.B4",1,"B4",6,11
"12.B4",1,"B4",6,12
"13.B4",1,"B4",3,13
"14.B4",1,"B4",7,14
"15.B4",1,"B4",4,15
"16.B4",1,"B4",0,16
"17.B4",1,"B4",2,17
"18.B4",1,"B4",2,18
"1.S5",1,"S5",1,1
"2.S5",1,"S5",1,2
"3.S5",1,"S5",0,3
"4.S5",1,"S5",1,4
"5.S5",1,"S5",1,5
"6.S5",1,"S5",0,6
"7.S5",1,"S5",1,7
"8.S5",1,"S5",0,8
"9.S5",1,"S5",1,9
"10.S5",1,"S5",1,10
"11.S5",1,"S5",1,11
"12.S5",1,"S5",1,12
"13.S5",1,"S5",1,13
"14.S5",1,"S5",1,14
"15.S5",1,"S5",1,15
"16.S5",1,"S5",0,16
"17.S5",1,"S5",1,17
"18.S5",1,"S5",1,18
"1.B5",1,"B5",5,1
"2.B5",1,"B5",1,2
"3.B5",1,"B5",0,3
"4.B5",1,"B5",2,4
"5.B5",1,"B5",1,5
"6.B5",1,"B5",0,6
"7.B5",1,"B5",3,7
"8.B5",1,"B5",0,8
"9.B5",1,"B5",3,9
"10.B5",1,"B5",5,10
"11.B5",1,"B5",3,11
"12.B5",1,"B5",6,12
"13.B5",1,"B5",3,13
"14.B5",1,"B5",2,14
"15.B5",1,"B5",5,15
"16.B5",1,"B5",0,16
"17.B5",1,"B5",3,17
"18.B5",1,"B5",2,18
"1.S6",1,"S6",1,1
"2.S6",1,"S6",1,2
"3.S6",1,"S6",0,3
"4.S6",1,"S6",1,4
"5.S6",1,"S6",0,5
"6.S6",1,"S6",0,6
"7.S6",1,"S6",1,7
"8.S6",1,"S6",0,8
"9.S6",1,"S6",1,9
"10.S6",1,"S6",1,10
"11.S6",1,"S6",1,11
"12.S6",1,"S6",1,12
"13.S6",1,"S6",1,13
"14.S6",1,"S6",1,14
"15.S6",1,"S6",1,15
"16.S6",1,"S6",0,16
"17.S6",1,"S6",1,17
"18.S6",1,"S6",1,18
"1.B6",1,"B6",2,1
"2.B6",1,"B6",3,2
"3.B6",1,"B6",0,3
"4.B6",1,"B6",2,4
"5.B6",1,"B6",0,5
"6.B6",1,"B6",0,6
"7.B6",1,"B6",1,7
"8.B6",1,"B6",0,8
"9.B6",1,"B6",3,9
"10.B6",1,"B6",2,10
"11.B6",1,"B6",1,11
"12.B6",1,"B6",3,12
"13.B6",1,"B6",1,13
"14.B6",1,"B6",4,14
"15.B6",1,"B6",0,15
"16.B6",1,"B6",0,16
"17.B6",1,"B6",1,17
"18.B6",1,"B6",2,18
"1.S7",1,"S7",1,1
"2.S7",1,"S7",1,2
"3.S7",1,"S7",0,3
"4.S7",1,"S7",1,4
"5.S7",1,"S7",0,5
"6.S7",1,"S7",0,6
"7.S7",1,"S7",1,7
"8.S7",1,"S7",0,8
"9.S7",1,"S7",1,9
"10.S7",1,"S7",1,10
"11.S7",1,"S7",1,11
"12.S7",1,"S7",1,12
"13.S7",1,"S7",0,13
"14.S7",1,"S7",1,14
"15.S7",1,"S7",0,15
"16.S7",1,"S7",0,16
"17.S7",1,"S7",1,17
"18.S7",1,"S7",1,18
"1.B7",1,"B7",1,1
"2.B7",1,"B7",2,2
"3.B7",1,"B7",0,3
"4.B7",1,"B7",1,4
"5.B7",1,"B7",0,5
"6.B7",1,"B7",0,6
"7.B7",1,"B7",1,7
"8.B7",1,"B7",0,8
"9.B7",1,"B7",0,9
"10.B7",1,"B7",2,10
"11.B7",1,"B7",0,11
"12.B7",1,"B7",3,12
"13.B7",1,"B7",0,13
"14.B7",1,"B7",3,14
"15.B7",1,"B7",0,15
"16.B7",1,"B7",0,16
"17.B7",1,"B7",3,17
"18.B7",1,"B7",0,18
"1.S8",1,"S8",1,1
"2.S8",1,"S8",1,2
"3.S8",1,"S8",0,3
"4.S8",1,"S8",1,4
"5.S8",1,"S8",0,5
"6.S8",1,"S8",0,6
"7.S8",1,"S8",1,7
"8.S8",1,"S8",0,8
"9.S8",1,"S8",0,9
"10.S8",1,"S8",1,10
"11.S8",1,"S8",1,11
"12.S8",1,"S8",0,12
"13.S8",1,"S8",0,13
"14.S8",1,"S8",1,14
"15.S8",1,"S8",0,15
"16.S8",1,"S8",0,16
"17.S8",1,"S8",1,17
"18.S8",1,"S8",1,18
"1.B8",1,"B8",1,1
"2.B8",1,"B8",0,2
"3.B8",1,"B8",0,3
"4.B8",1,"B8",0,4
"5.B8",1,"B8",0,5
"6.B8",1,"B8",0,6
"7.B8",1,"B8",0,7
"8.B8",1,"B8",0,8
"9.B8",1,"B8",0,9
"10.B8",1,"B8",1,10
"11.B8",1,"B8",0,11
"12.B8",1,"B8",0,12
"13.B8",1,"B8",0,13
"14.B8",1,"B8",2,14
"15.B8",1,"B8",0,15
"16.B8",1,"B8",0,16
"17.B8",1,"B8",0,17
"18.B8",1,"B8",0,18
"1.S9",1,"S9",0,1
"2.S9",1,"S9",1,2
"3.S9",1,"S9",0,3
"4.S9",1,"S9",1,4
"5.S9",1,"S9",0,5
"6.S9",1,"S9",0,6
"7.S9",1,"S9",1,7
"8.S9",1,"S9",0,8
"9.S9",1,"S9",0,9
"10.S9",1,"S9",1,10
"11.S9",1,"S9",0,11
"12.S9",1,"S9",0,12
"13.S9",1,"S9",0,13
"14.S9",1,"S9",1,14
"15.S9",1,"S9",0,15
"16.S9",1,"S9",0,16
"17.S9",1,"S9",0,17
"18.S9",1,"S9",1,18
"1.B9",1,"B9",0,1
"2.B9",1,"B9",0,2
"3.B9",1,"B9",0,3
"4.B9",1,"B9",0,4
"5.B9",1,"B9",0,5
"6.B9",1,"B9",0,6
"7.B9",1,"B9",0,7
"8.B9",1,"B9",0,8
"9.B9",1,"B9",0,9
"10.B9",1,"B9",0,10
"11.B9",1,"B9",0,11
"12.B9",1,"B9",0,12
"13.B9",1,"B9",0,13
"14.B9",1,"B9",1,14
"15.B9",1,"B9",0,15
"16.B9",1,"B9",0,16
"17.B9",1,"B9",0,17
"18.B9",1,"B9",0,18
"1.S10",1,"S10",0,1
"2.S10",1,"S10",1,2
"3.S10",1,"S10",0,3
"4.S10",1,"S10",0,4
"5.S10",1,"S10",0,5
"6.S10",1,"S10",0,6
"7.S10",1,"S10",1,7
"8.S10",1,"S10",0,8
"9.S10",1,"S10",0,9
"10.S10",1,"S10",0,10
"11.S10",1,"S10",0,11
"12.S10",1,"S10",0,12
"13.S10",1,"S10",0,13
"14.S10",1,"S10",0,14
"15.S10",1,"S10",0,15
"16.S10",1,"S10",0,16
"17.S10",1,"S10",0,17
"18.S10",1,"S10",1,18
"1.S11",1,"S11",0,1
"2.S11",1,"S11",1,2
"3.S11",1,"S11",0,3
"4.S11",1,"S11",0,4
"5.S11",1,"S11",0,5
"6.S11",1,"S11",0,6
"7.S11",1,"S11",1,7
"8.S11",1,"S11",0,8
"9.S11",1,"S11",0,9
"10.S11",1,"S11",0,10
"11.S11",1,"S11",0,11
"12.S11",1,"S11",0,12
"13.S11",1,"S11",0,13
"14.S11",1,"S11",0,14
"15.S11",1,"S11",0,15
"16.S11",1,"S11",0,16
"17.S11",1,"S11",0,17
"18.S11",1,"S11",1,18
"1.S12",1,"S12",0,1
"2.S12",1,"S12",0,2
"3.S12",1,"S12",0,3
"4.S12",1,"S12",0,4
"5.S12",1,"S12",0,5
"6.S12",1,"S12",0,6
"7.S12",1,"S12",0,7
"8.S12",1,"S12",0,8
"9.S12",1,"S12",0,9
"10.S12",1,"S12",0,10
"11.S12",1,"S12",0,11
"12.S12",1,"S12",0,12
"13.S12",1,"S12",0,13
"14.S12",1,"S12",0,14
"15.S12",1,"S12",0,15
"16.S12",1,"S12",0,16
"17.S12",1,"S12",0,17
"18.S12",1,"S12",1,18
"1.S13",1,"S13",0,1
"2.S13",1,"S13",0,2
"3.S13",1,"S13",0,3
"4.S13",1,"S13",0,4
"5.S13",1,"S13",0,5
"6.S13",1,"S13",0,6
"7.S13",1,"S13",0,7
"8.S13",1,"S13",0,8
"9.S13",1,"S13",0,9
"10.S13",1,"S13",0,10
"11.S13",1,"S13",0,11
"12.S13",1,"S13",0,12
"13.S13",1,"S13",0,13
"14.S13",1,"S13",0,14
"15.S13",1,"S13",0,15
"16.S13",1,"S13",0,16
"17.S13",1,"S13",0,17
"18.S13",1,"S13",0,18
